"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",29359852,29359765,87,0.000,489505.000,489508.000,2083333280.000,2083346048.000,15032199680,250626560.000,250628096.000,2005012480.000,2005024768.000,2005012.480,2005024.768,2005.012,2005.025,144916,72807,542890,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",29359853,29359794,59,0.000,489505.000,489524.000,2083333280.000,2083414144.000,15032214528,250626560.000,250636288.000,2005012480.000,2005090304.000,2005012.480,2005090.304,2005.012,2005.090,145926,73507,241972,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",29359852,29359764,88,0.000,489505.000,489488.500,2083333280.000,2083263056.000,15032199168,250626560.000,250618112.000,2005012480.000,2004944896.000,2005012.480,2004944.896,2005.012,2004.945,144071,71717,241547,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",29359853,29359765,88,0.000,489505.000,489508.000,2083333280.000,2083346048.000,15032199680,250626560.000,250628096.000,2005012480.000,2005024768.000,2005012.480,2005024.768,2005.012,2005.025,146520,73277,545372,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",29359853,29359795,58,0.000,489505.000,489524.000,2083333280.000,2083414144.000,15032215040,250626560.000,250636288.000,2005012480.000,2005090304.000,2005012.480,2005090.304,2005.012,2005.090,144698,72955,240400,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",29359852,29359763,89,0.000,489505.000,489488.500,2083333280.000,2083263056.000,15032198656,250626560.000,250618112.000,2005012480.000,2004944896.000,2005012.480,2004944.896,2005.012,2004.945,145846,72550,243000,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",29359853,29359765,88,0.000,489505.000,489508.000,2083333280.000,2083346048.000,15032199680,250626560.000,250628096.000,2005012480.000,2005024768.000,2005012.480,2005024.768,2005.012,2005.025,146812,73507,546477,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",29359852,29359794,58,0.000,489505.000,489524.000,2083333280.000,2083414144.000,15032214528,250626560.000,250636288.000,2005012480.000,2005090304.000,2005012.480,2005090.304,2005.012,2005.090,146318,74640,241612,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",29359852,29359763,89,0.000,489505.000,489488.500,2083333280.000,2083263056.000,15032198656,250626560.000,250618112.000,2005012480.000,2004944896.000,2005012.480,2004944.896,2005.012,2004.945,146085,74292,242882,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",29359853,29359765,88,0.000,489505.000,489508.000,2083333280.000,2083346048.000,15032199680,250626560.000,250628096.000,2005012480.000,2005024768.000,2005012.480,2005024.768,2005.012,2005.025,145669,72597,547157,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",29359853,29359794,59,0.000,489505.000,489524.000,2083333280.000,2083414144.000,15032214528,250626560.000,250636288.000,2005012480.000,2005090304.000,2005012.480,2005090.304,2005.012,2005.090,147167,74600,242185,"00:00:00.101","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",29359852,29359763,89,0.000,489505.000,489488.500,2083333280.000,2083263056.000,15032198656,250626560.000,250618112.000,2005012480.000,2004944896.000,2005012.480,2004944.896,2005.012,2004.945,146720,72977,243257,"00:00:00.101","00:01:00.080"
