"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",58721642,58721366,276,0.000,979010.000,979003.500,4166666560.000,4166638896.000,30065339392,501253120.000,501249792.000,4010024960.000,4009998336.000,4010024.960,4009998.336,4010.025,4009.998,118076,74395,522932,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",58721643,58721540,103,0.000,979010.000,979027.500,4166666560.000,4166741040.000,30065428480,501253120.000,501262080.000,4010024960.000,4010096640.000,4010024.960,4010096.640,4010.025,4010.097,119058,75150,367607,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",58721642,58721552,90,0.000,979010.000,979028.500,4166666560.000,4166745296.000,30065434624,501253120.000,501262592.000,4010024960.000,4010100736.000,4010024.960,4010100.736,4010.025,4010.101,117749,71875,371365,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",58721643,58721367,276,0.000,979010.000,979007.500,4166666560.000,4166655920.000,30065339904,501253120.000,501251840.000,4010024960.000,4010014720.000,4010024.960,4010014.720,4010.025,4010.015,118327,73925,523877,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",58721643,58721541,102,0.000,979010.000,979027.500,4166666560.000,4166741040.000,30065428992,501253120.000,501262080.000,4010024960.000,4010096640.000,4010024.960,4010096.640,4010.025,4010.097,119016,73607,368032,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",58721642,58721552,90,0.000,979010.000,979028.500,4166666560.000,4166745296.000,30065434624,501253120.000,501262592.000,4010024960.000,4010100736.000,4010024.960,4010100.736,4010.025,4010.101,118052,72207,371545,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",58721643,58721366,277,0.000,979010.000,979007.500,4166666560.000,4166655920.000,30065339392,501253120.000,501251840.000,4010024960.000,4010014720.000,4010024.960,4010014.720,4010.025,4010.015,118675,74137,524092,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",58721643,58721540,103,0.000,979010.500,979027.500,4166668688.000,4166741040.000,30065428480,501253376.000,501262080.000,4010027008.000,4010096640.000,4010027.008,4010096.640,4010.027,4010.097,119773,75715,368180,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",58721642,58721552,90,0.000,979010.000,979028.500,4166666560.000,4166745296.000,30065434624,501253120.000,501262592.000,4010024960.000,4010100736.000,4010024.960,4010100.736,4010.025,4010.101,118362,72555,371765,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",58721643,58721367,276,0.000,979010.000,979007.500,4166666560.000,4166655920.000,30065339904,501253120.000,501251840.000,4010024960.000,4010014720.000,4010024.960,4010014.720,4010.025,4010.015,119485,72927,524645,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",58721643,58721541,102,0.000,979010.000,979027.500,4166666560.000,4166741040.000,30065428992,501253120.000,501262080.000,4010024960.000,4010096640.000,4010024.960,4010096.640,4010.025,4010.097,120024,73955,368730,"00:00:00.084","00:01:00.065"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",58721642,58721552,90,0.000,979010.000,979028.500,4166666560.000,4166745296.000,30065434624,501253120.000,501262592.000,4010024960.000,4010100736.000,4010024.960,4010100.736,4010.025,4010.101,119187,73060,372097,"00:00:00.084","00:01:00.065"
