"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",93954304,72238074,21716230,23.114,1566416.000,1213250.000,6666666496.000,5163592000.000,36985893888,802004992.000,621184000.000,6416039936.000,4969472000.000,6416039.936,4969472.000,6416.040,4969.472,16709130,68522,32604592,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",93954304,74752594,19201710,20.437,1566416.000,1240101.000,6666666496.000,5277869856.000,38273328128,802004992.000,634931712.000,6416039936.000,5079453696.000,6416039.936,5079453.696,6416.040,5079.454,15779438,67612,30436105,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",93954304,73154661,20799643,22.138,1566416.000,1198723.000,6666666496.000,5101765088.000,37455186432,802004992.000,613746176.000,6416039936.000,4909969408.000,6416039.936,4909969.408,6416.040,4909.969,16378481,67767,31407265,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",93954305,72235277,21719028,23.117,1566416.500,1213215.000,6666668624.000,5163443040.000,36984461824,802005248.000,621166080.000,6416041984.000,4969328640.000,6416041.984,4969328.640,6416.042,4969.329,16707204,67707,32583315,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",93954305,74754228,19200077,20.436,1566416.000,1240113.500,6666666496.000,5277923056.000,38274164736,802004992.000,634938112.000,6416039936.000,5079504896.000,6416039.936,5079504.896,6416.040,5079.505,15777821,66077,30438915,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",93954304,73157993,20796311,22.134,1566416.000,1198768.500,6666666496.000,5101958736.000,37456892416,802004992.000,613769472.000,6416039936.000,4910155776.000,6416039.936,4910155.776,6416.040,4910.156,16377609,66195,31394815,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",93954304,72238950,21715354,23.113,1566416.000,1213251.000,6666666496.000,5163596256.000,36986342400,802004992.000,621184512.000,6416039936.000,4969476096.000,6416039.936,4969476.096,6416.040,4969.476,16706364,68440,32587442,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",93954304,74751490,19202814,20.438,1566416.000,1240115.000,6666666496.000,5277929440.000,38272762880,802004992.000,634938880.000,6416039936.000,5079511040.000,6416039.936,5079511.040,6416.040,5079.511,15776639,65155,30420617,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",93954304,73158751,20795553,22.134,1566416.000,1198797.000,6666666496.000,5102080032.000,37457280512,802004992.000,613784064.000,6416039936.000,4910272512.000,6416039.936,4910272.512,6416.040,4910.273,16376275,66062,31397592,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",93954305,72239047,21715258,23.113,1566416.000,1213288.000,6666666496.000,5163753728.000,36986392064,802004992.000,621203456.000,6416039936.000,4969627648.000,6416039.936,4969627.648,6416.040,4969.628,16704229,66637,32573372,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",93954304,74755918,19198386,20.434,1566416.000,1240185.500,6666666496.000,5278229488.000,38275030016,802004992.000,634974976.000,6416039936.000,5079799808.000,6416039.936,5079799.808,6416.040,5079.800,15775053,66745,30449385,"00:00:00.099","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",93954304,73158635,20795669,22.134,1566416.000,1198764.500,6666666496.000,5101941712.000,37457221120,802004992.000,613767424.000,6416039936.000,4910139392.000,6416039.936,4910139.392,6416.040,4910.139,16375110,67640,31401945,"00:00:00.099","00:01:00.080"
