"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",66060605,66057081,3524,0.005,1101386.000,1101479.000,4687498816.000,4687894624.000,33821225472,563909632.000,563957248.000,4511277056.000,4511657984.000,4511277.056,4511657.984,4511.277,4511.658,3120848,74070,6290892,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",66060604,65681158,379446,0.574,1101386.000,1096934.500,4687498816.000,4668553232.000,33628752896,563909632.000,561630464.000,4511277056.000,4493043712.000,4511277.056,4493043.712,4511.277,4493.044,3282220,78762,6753802,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",66060605,65787289,273316,0.414,1101386.500,1097561.000,4687500944.000,4671219616.000,33683091968,563909888.000,561951232.000,4511279104.000,4495609856.000,4511279.104,4495609.856,4511.279,4495.610,3272610,75910,6712862,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",66060605,65951344,109261,0.165,1101386.500,1100462.000,4687500944.000,4683566272.000,33767088128,563909888.000,563436544.000,4511279104.000,4507492352.000,4511279.104,4507492.352,4511.279,4507.492,3316456,80270,6775297,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",66060605,66057090,3515,0.005,1101386.000,1101484.500,4687498816.000,4687918032.000,33821230080,563909632.000,563960064.000,4511277056.000,4511680512.000,4511277.056,4511680.512,4511.277,4511.681,3120917,74755,6292680,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",66060605,65683719,376886,0.571,1101386.000,1096982.500,4687498816.000,4668757520.000,33630064128,563909632.000,561655040.000,4511277056.000,4493240320.000,4511277.056,4493240.320,4511.277,4493.240,3283162,79975,6755490,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",66060605,65784176,276429,0.418,1101386.500,1097516.000,4687500944.000,4671028096.000,33681498112,563909888.000,561928192.000,4511279104.000,4495425536.000,4511279.104,4495425.536,4511.279,4495.426,3272898,76507,6721642,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",66060605,65951150,109455,0.166,1101386.500,1100454.500,4687500944.000,4683534352.000,33766988800,563909888.000,563432704.000,4511279104.000,4507461632.000,4511279.104,4507461.632,4511.279,4507.462,3316760,80677,6773917,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",66060605,66057093,3512,0.005,1101386.000,1101488.000,4687498816.000,4687932928.000,33821231616,563909632.000,563961856.000,4511277056.000,4511694848.000,4511277.056,4511694.848,4511.277,4511.695,3120056,75432,6294125,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",66060605,65684341,376264,0.570,1101386.500,1096993.000,4687500944.000,4668802208.000,33630382592,563909888.000,561660416.000,4511279104.000,4493283328.000,4511279.104,4493283.328,4511.279,4493.283,3283342,80440,6751442,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",66060605,65787333,273272,0.414,1101386.500,1097563.500,4687500944.000,4671230256.000,33683114496,563909888.000,561952512.000,4511279104.000,4495620096.000,4511279.104,4495620.096,4511.279,4495.620,3273431,77090,6726807,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",66060605,65950479,110126,0.167,1101386.500,1100446.000,4687500944.000,4683498176.000,33766645248,563909888.000,563428352.000,4511279104.000,4507426816.000,4511279.104,4507426.816,4511.279,4507.427,3317593,81337,6775195,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",66060605,66057094,3511,0.005,1101386.000,1101488.500,4687498816.000,4687935056.000,33821232128,563909632.000,563962112.000,4511277056.000,4511696896.000,4511277.056,4511696.896,4511.277,4511.697,3120004,76200,6296127,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",66060605,65684306,376299,0.570,1101386.000,1096990.000,4687498816.000,4668789440.000,33630364672,563909632.000,561658880.000,4511277056.000,4493271040.000,4511277.056,4493271.040,4511.277,4493.271,3283162,81555,6752765,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",66060605,65787361,273244,0.414,1101386.500,1097569.500,4687500944.000,4671255792.000,33683128832,563909888.000,561955584.000,4511279104.000,4495644672.000,4511279.104,4495644.672,4511.279,4495.645,3273531,77657,6759445,"00:00:00.100","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",66060605,65947581,113024,0.171,1101386.500,1100397.500,4687500944.000,4683291760.000,33765161472,563909888.000,563403520.000,4511279104.000,4507228160.000,4511279.104,4507228.160,4511.279,4507.228,3317073,81980,6776257,"00:00:00.100","00:01:00.079"
