Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408693880.00,3017337069.00,2212713888.00,423.00,1884.00,16100.00,0.00,
38,0.14,408359488.00,3017335182.00,2212712392.00,416.00,1957.00,15796.00,0.00,
39,0.14,408826001.00,3017335665.00,2212712744.00,404.00,1864.00,16426.00,0.00,
40,0.14,408461462.00,3017340781.00,2212716616.00,438.00,1878.00,15440.00,0.00,
51,0.14,408533516.00,3017368597.00,2212736944.00,345.00,1998.00,19343.00,0.00,
52,0.14,408722876.00,3017364974.00,2212734304.00,363.00,2000.00,15456.00,0.00,
53,0.14,408725184.00,3017377253.00,2212743368.00,362.00,1945.00,15469.00,0.00,
54,0.14,408597055.00,3017372159.00,2212739584.00,358.00,1876.00,20221.00,0.00,
*,0.14,35852298857.00,260698145204.00,247824048032.00,1087613.00,2249853.00,1582091202.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407017116.00,3002990434.00,2202192960.00,144.00,1654.00,3117.00,0.00,
38,0.14,406945154.00,3002991253.00,2202193576.00,145.00,1689.00,3061.00,0.00,
39,0.14,407149580.00,3002987041.00,2202190496.00,145.00,1674.00,4010.00,0.00,
40,0.14,407052934.00,3002983447.00,2202187856.00,167.00,1626.00,2598.00,0.00,
51,0.14,406946142.00,3002958306.00,2202169464.00,124.00,1721.00,3452.00,0.00,
52,0.14,407006342.00,3002957070.00,2202168496.00,131.00,1741.00,2989.00,0.00,
53,0.14,406852607.00,3002945993.00,2202160400.00,118.00,1742.00,3383.00,0.00,
54,0.14,407090242.00,3002949456.00,2202162952.00,131.00,1468.00,3426.00,0.00,
*,0.14,36218747077.00,259455889994.00,246643382392.00,155473.00,250281.00,1235183847.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408643688.00,3002672632.00,2201959936.00,137.00,1462.00,6100.00,0.00,
38,0.14,408613922.00,3002676502.00,2201962840.00,128.00,1499.00,5426.00,0.00,
39,0.14,408115510.00,3002677161.00,2201963280.00,140.00,1510.00,2945.00,0.00,
40,0.14,408676997.00,3002677306.00,2201963280.00,140.00,1456.00,4729.00,0.00,
51,0.14,408175775.00,3002671587.00,2201959144.00,128.00,1459.00,4976.00,0.00,
52,0.14,408017152.00,3002670290.00,2201958176.00,122.00,1500.00,3931.00,0.00,
53,0.14,408442537.00,3002670815.00,2201958528.00,127.00,1496.00,3396.00,0.00,
54,0.14,408800506.00,3002669933.00,2201958000.00,129.00,1237.00,3650.00,0.00,
*,0.14,35357053659.00,259430884378.00,246619494000.00,92384.00,239731.00,372155347.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408885728.00,2999643613.00,2199738640.00,134.00,1280.00,6048.00,0.00,
38,0.14,408618738.00,2999642476.00,2199737760.00,132.00,1339.00,4212.00,0.00,
39,0.14,408915911.00,2999642397.00,2199737760.00,147.00,1345.00,5391.00,0.00,
40,0.14,408748256.00,2999642849.00,2199738112.00,138.00,1284.00,4488.00,0.00,
51,0.14,408500720.00,2999640022.00,2199736000.00,126.00,1310.00,5077.00,0.00,
52,0.14,408626002.00,2999638899.00,2199735208.00,131.00,1350.00,4896.00,0.00,
53,0.14,408485183.00,2999639147.00,2199735384.00,127.00,1356.00,3959.00,0.00,
54,0.14,408519434.00,2999640319.00,2199736176.00,126.00,1271.00,6533.00,0.00,
*,0.14,35497313260.00,259169755059.00,246371238784.00,67581.00,150214.00,6803120.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.85,2551450690.00,2999706407.00,2199784752.00,542.00,12891.00,759994.00,0.00,
38,0.80,2412944828.00,2999716852.00,2199792408.00,334.00,13046.00,843922.00,0.00,
39,0.85,2542557803.00,2999730118.00,2199802176.00,298.00,16452.00,5487447.00,0.00,
40,0.85,2552142798.00,2999738145.00,2199807984.00,285.00,13637.00,859720.00,0.00,
51,1.02,3065080330.00,2999737283.00,2199807368.00,463.00,12676.00,732294.00,0.00,
52,1.02,3067618397.00,2999750156.00,2199816784.00,322.00,14620.00,756560.00,0.00,
53,0.83,2490575222.00,2999764961.00,2199827696.00,273.00,13003.00,788467.00,0.00,
54,1.02,3067017103.00,2999766002.00,2199828488.00,327.00,12132.00,740282.00,0.00,
*,0.21,53882365466.00,259175507546.00,246376608720.00,1072240.00,634221.00,1081664643.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.89,5671526023.00,2999732167.00,2199803584.00,4949.00,2541.00,12498.00,0.00,
38,1.82,5469932868.00,2999726245.00,2199799272.00,186.00,2121.00,35470.00,0.00,
39,1.88,5650018049.00,2999721748.00,2199795840.00,219.00,8150.00,12591739.00,0.00,
40,1.89,5676051336.00,2999722474.00,2199796544.00,201.00,2181.00,19829.00,0.00,
51,2.34,7030309534.00,2999736235.00,2199806576.00,185.00,2200.00,12998.00,0.00,
52,2.34,7026866268.00,2999727391.00,2199800064.00,196.00,2317.00,14741.00,0.00,
53,1.83,5502117021.00,2999725904.00,2199798920.00,172.00,2442.00,11564.00,0.00,
54,2.34,7031532781.00,2999728029.00,2199800504.00,172.00,2112.00,10035.00,0.00,
*,0.31,81079309322.00,259177196040.00,246378340384.00,46341.00,145153.00,15077700.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.67,4995279497.00,2999731694.00,2199803408.00,412.00,18688.00,1678594.00,0.00,
38,1.66,4984379068.00,2999736420.00,2199806752.00,208.00,18083.00,1612995.00,0.00,
39,1.66,4970647043.00,2999732792.00,2199804112.00,166.00,22581.00,12271683.00,0.00,
40,1.66,4991832371.00,2999734662.00,2199805432.00,179.00,18457.00,1585139.00,0.00,
51,1.99,5961394724.00,2999731124.00,2199802792.00,309.00,17748.00,945027.00,0.00,
