Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408460387.00,3015420807.00,2211308616.00,393.00,1891.00,20852.00,0.00,
38,0.14,408046267.00,3015418821.00,2211307208.00,416.00,1825.00,13541.00,0.00,
39,0.14,408197623.00,3015422529.00,2211309760.00,394.00,1772.00,13763.00,0.00,
40,0.14,408369587.00,3015422336.00,2211309672.00,426.00,1808.00,9777.00,0.00,
51,0.14,408304078.00,3015447800.00,2211328416.00,353.00,1933.00,9879.00,0.00,
52,0.14,408158969.00,3015449651.00,2211329736.00,360.00,1812.00,18620.00,0.00,
53,0.14,408245001.00,3015454844.00,2211333608.00,364.00,1819.00,12564.00,0.00,
54,0.14,408417689.00,3015453608.00,2211332728.00,364.00,1811.00,12572.00,0.00,
*,0.14,35826513601.00,260532969650.00,247667020568.00,1087689.00,2243226.00,1580020743.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406295158.00,2999964047.00,2199973600.00,162.00,1647.00,3229.00,0.00,
38,0.14,406491370.00,2999968053.00,2199976504.00,163.00,1635.00,3082.00,0.00,
39,0.14,406599532.00,2999964280.00,2199973864.00,150.00,1639.00,2459.00,0.00,
40,0.14,406633867.00,2999963560.00,2199973336.00,163.00,1642.00,2542.00,0.00,
51,0.14,406633012.00,2999937048.00,2199953800.00,121.00,1742.00,3155.00,0.00,
52,0.14,406966997.00,2999938266.00,2199954680.00,125.00,1714.00,2898.00,0.00,
53,0.14,406581296.00,2999931814.00,2199949928.00,112.00,1655.00,3607.00,0.00,
54,0.14,406577752.00,2999930868.00,2199949224.00,133.00,1699.00,3759.00,0.00,
*,0.14,36184321455.00,259195213340.00,246395536816.00,155468.00,246397.00,1232097858.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408274506.00,2999694800.00,2199776216.00,132.00,1459.00,4657.00,0.00,
38,0.14,407569314.00,2999691592.00,2199773928.00,130.00,1460.00,3694.00,0.00,
39,0.14,407955474.00,2999691726.00,2199773928.00,129.00,1486.00,3303.00,0.00,
40,0.14,407613993.00,2999694279.00,2199775776.00,130.00,1458.00,5258.00,0.00,
51,0.14,407840766.00,2999682463.00,2199767152.00,132.00,1504.00,2927.00,0.00,
52,0.14,407756865.00,2999684918.00,2199769000.00,119.00,1292.00,3796.00,0.00,
53,0.14,408355231.00,2999685115.00,2199769088.00,117.00,1402.00,4484.00,0.00,
54,0.14,408041519.00,2999688479.00,2199771552.00,128.00,1496.00,3967.00,0.00,
