"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",45803595,45242494,561101,1.225,763628.000,763622.500,3250000768.000,3249977360.000,23164156928,390977536.000,390974720.000,3127820288.000,3127797760.000,3127820.288,3127797.760,3127.820,3127.798,151693,75925,8294490,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",45803594,45240884,562710,1.229,763627.500,763629.000,3249998640.000,3250005024.000,23163332608,390977280.000,390978048.000,3127818240.000,3127824384.000,3127818.240,3127824.384,3127.818,3127.824,152824,76505,8196110,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",45803595,45242329,561266,1.225,763628.000,763607.000,3250000768.000,3249911392.000,23164072448,390977536.000,390966784.000,3127820288.000,3127734272.000,3127820.288,3127734.272,3127.820,3127.734,152184,76470,8314570,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",45803595,45242606,560989,1.225,763628.000,763630.500,3250000768.000,3250011408.000,23164214272,390977536.000,390978816.000,3127820288.000,3127830528.000,3127820.288,3127830.528,3127.820,3127.831,153032,75702,8219440,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",45803595,45242613,560982,1.225,763628.000,763622.000,3250000768.000,3249975232.000,23164217856,390977536.000,390974464.000,3127820288.000,3127795712.000,3127820.288,3127795.712,3127.820,3127.796,151734,76712,8296360,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",45803595,45240922,562673,1.228,763628.000,763629.000,3250000768.000,3250005024.000,23163352064,390977536.000,390978048.000,3127820288.000,3127824384.000,3127820.288,3127824.384,3127.820,3127.824,153838,75737,8202257,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",45803595,45242233,561362,1.226,763628.000,763607.000,3250000768.000,3249911392.000,23164023296,390977536.000,390966784.000,3127820288.000,3127734272.000,3127820.288,3127734.272,3127.820,3127.734,153171,76900,8315277,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",45803594,45242475,561119,1.225,763627.500,763630.500,3249998640.000,3250011408.000,23164147200,390977280.000,390978816.000,3127818240.000,3127830528.000,3127818.240,3127830.528,3127.818,3127.831,154029,76670,8219785,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",42280242,41762430,517812,1.225,704887.500,704881.500,3000001200.000,2999975664.000,21382364160,360902400.000,360899328.000,2887219200.000,2887194624.000,2887219.200,2887194.624,2887.219,2887.195,151776,74047,8289280,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",42280242,41760941,519301,1.228,704887.500,704881.000,3000001200.000,2999973536.000,21381601792,360902400.000,360899072.000,2887219200.000,2887192576.000,2887219.200,2887192.576,2887.219,2887.193,153221,76962,8196022,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",42280241,41762314,517927,1.225,704887.000,704868.000,2999999072.000,2999918208.000,21382304768,360902144.000,360892416.000,2887217152.000,2887139328.000,2887217.152,2887139.328,2887.217,2887.139,152677,74680,8317135,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",42280241,41762471,517770,1.225,704887.000,704889.500,2999999072.000,3000009712.000,21382385152,360902144.000,360903424.000,2887217152.000,2887227392.000,2887217.152,2887227.392,2887.217,2887.227,153463,77407,8161982,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",42280242,41762576,517666,1.224,704887.500,704882.000,3000001200.000,2999977792.000,21382438912,360902400.000,360899584.000,2887219200.000,2887196672.000,2887219.200,2887196.672,2887.219,2887.197,151756,74712,8304600,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",42280242,41761028,519214,1.228,704887.500,704879.000,3000001200.000,2999965024.000,21381646336,360902400.000,360898048.000,2887219200.000,2887184384.000,2887219.200,2887184.384,2887.219,2887.184,153547,76280,8200495,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",42280241,41762406,517835,1.225,704887.000,704868.000,2999999072.000,2999918208.000,21382351872,360902144.000,360892416.000,2887217152.000,2887139328.000,2887217.152,2887139.328,2887.217,2887.139,152778,75002,8318015,"00:00:00.183","00:01:00.156"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",42280241,41762574,517667,1.224,704887.000,704889.500,2999999072.000,3000009712.000,21382437888,360902144.000,360903424.000,2887217152.000,2887227392.000,2887217.152,2887227.392,2887.217,2887.227,153592,75922,8162910,"00:00:00.183","00:01:00.156"
