Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408258981.00,3015131722.00,2211096624.00,353.00,1816.00,18803.00,0.00,
38,0.14,408450273.00,3015126678.00,2211092840.00,354.00,1936.00,15948.00,0.00,
39,0.14,408150566.00,3015135146.00,2211099088.00,384.00,1930.00,16724.00,0.00,
40,0.14,408178055.00,3015137932.00,2211101112.00,369.00,1901.00,17485.00,0.00,
51,0.14,408257628.00,3015170635.00,2211125136.00,352.00,1937.00,15445.00,0.00,
52,0.14,408306816.00,3015168639.00,2211123640.00,364.00,1921.00,18823.00,0.00,
53,0.14,408318798.00,3015179133.00,2211131384.00,375.00,1966.00,20076.00,0.00,
54,0.14,408124384.00,3015177528.00,2211130240.00,348.00,2017.00,21448.00,0.00,
*,0.14,35823785645.00,260509033522.00,247644226192.00,1085278.00,2245549.00,1580629095.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406374761.00,3000068547.00,2200050248.00,138.00,1534.00,2656.00,0.00,
38,0.14,406580379.00,3000072090.00,2200052888.00,143.00,1672.00,3500.00,0.00,
39,0.14,406658344.00,3000066446.00,2200048752.00,134.00,1706.00,3034.00,0.00,
40,0.14,406734602.00,3000065812.00,2200048312.00,150.00,1686.00,3227.00,0.00,
51,0.14,406570280.00,3000039468.00,2200028952.00,124.00,1751.00,2907.00,0.00,
52,0.14,406467734.00,3000041214.00,2200030184.00,121.00,1689.00,2379.00,0.00,
53,0.14,406758961.00,3000030001.00,2200022176.00,127.00,1724.00,3249.00,0.00,
54,0.14,406573207.00,3000030722.00,2200022528.00,121.00,1754.00,2611.00,0.00,
*,0.14,36186445406.00,259202903429.00,246402849528.00,153719.00,245436.00,1222419524.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407626939.00,2999732058.00,2199803496.00,125.00,1369.00,2824.00,0.00,
38,0.14,407877954.00,2999730024.00,2199802000.00,113.00,1549.00,2807.00,0.00,
39,0.14,407708869.00,2999732000.00,2199803408.00,114.00,1546.00,3965.00,0.00,
40,0.14,407711808.00,2999727532.00,2199800152.00,123.00,1541.00,2939.00,0.00,
51,0.14,407969914.00,2999725900.00,2199799008.00,117.00,1545.00,2690.00,0.00,
52,0.14,407902260.00,2999746343.00,2199813968.00,130.00,1528.00,3878.00,0.00,
53,0.14,408663127.00,2999752660.00,2199818368.00,124.00,1529.00,3407.00,0.00,
54,0.14,407904745.00,2999755549.00,2199820744.00,115.00,1545.00,4550.00,0.00,
*,0.14,35316170421.00,259177708645.00,246378806872.00,90855.00,239433.00,385191721.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408493750.00,2999720187.00,2199794872.00,116.00,1243.00,2916.00,0.00,
38,0.14,408390292.00,2999720486.00,2199795048.00,110.00,1394.00,3061.00,0.00,
39,0.14,408787568.00,2999718774.00,2199793816.00,119.00,1388.00,3649.00,0.00,
40,0.14,408579277.00,2999720037.00,2199794696.00,120.00,1383.00,3851.00,0.00,
51,0.14,408655573.00,2999716546.00,2199792144.00,126.00,1395.00,3046.00,0.00,
52,0.14,408656069.00,2999695996.00,2199777096.00,108.00,1361.00,3545.00,0.00,
53,0.14,408616990.00,2999688675.00,2199771728.00,120.00,1367.00,3503.00,0.00,
54,0.14,409078090.00,2999688820.00,2199771728.00,114.00,1395.00,4391.00,0.00,
*,0.14,35402261661.00,259174906060.00,246376145400.00,32232.00,128388.00,3126474.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.83,2502055312.00,2999717167.00,2199792672.00,623.00,13035.00,808934.00,0.00,
38,0.83,2492738476.00,2999726051.00,2199799272.00,360.00,12199.00,845082.00,0.00,
39,0.84,2514811207.00,2999731942.00,2199803408.00,309.00,11596.00,842366.00,0.00,
40,0.84,2510845412.00,2999741637.00,2199810624.00,311.00,13594.00,845386.00,0.00,
51,1.00,3012870009.00,2999748329.00,2199815376.00,429.00,13291.00,738811.00,0.00,
52,1.00,3014695573.00,2999757046.00,2199821888.00,376.00,9855.00,668730.00,0.00,
53,1.00,3011209607.00,2999768589.00,2199830424.00,333.00,12504.00,737305.00,0.00,
54,1.00,3012076345.00,2999772350.00,2199833152.00,345.00,13046.00,786780.00,0.00,
*,0.21,54194591550.00,259180190306.00,246381035736.00,1077004.00,609431.00,1076142645.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.89,5664563904.00,2999892509.00,2199921152.00,4926.00,2581.00,17495.00,0.00,
38,1.88,5647783340.00,2999890008.00,2199919128.00,150.00,2129.00,39342.00,0.00,
