"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Last Sequence Number","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",45803520,45245464,558056,1.218,763627.500,763625.500,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,16498,0,4318685,17134,43352323,45803402,152446,75535,5490612,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",45803520,45244697,558823,1.220,763628.000,763629.500,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,16319,0,1949595,16552,43448868,45803421,152282,75180,5413055,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",45803520,45245349,558171,1.219,763627.500,763603.500,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,14646,0,2349497,15073,43473307,45803371,152952,75790,5426717,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",45803520,45245683,557837,1.218,763628.000,763629.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,15791,0,4523637,16491,43471700,45803416,153678,76187,5426112,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",45803520,45245611,557909,1.218,763627.500,763625.500,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,16539,0,4318585,17178,43352714,45803402,153188,75927,5491070,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",45803520,45244735,558785,1.220,763627.500,763628.000,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,13609,0,1730290,13697,43545050,45803409,153286,75955,5428202,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",45803520,45245270,558250,1.219,763628.000,763603.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,16599,0,2349580,16743,43348604,45803371,153945,78637,5432345,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",45803520,45245606,557914,1.218,763628.000,763629.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,16168,0,4523760,16683,43444291,45803416,154277,76420,5427437,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",42280173,41764568,515605,1.219,704887.500,704885.500,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,24065,0,3944587,25498,40985001,42280063,152434,75100,5517970,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",42280173,41764413,515760,1.220,704887.500,704896.500,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,27299,0,2067210,26350,41018125,42280083,152702,75950,5439090,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",42280172,41764588,515584,1.219,704887.000,704869.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,25123,0,2026457,24713,40993582,42280064,153424,78112,5455425,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",42280172,41765338,514834,1.218,704887.000,704888.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,24345,0,2097077,25637,40942100,42280075,153633,76502,5477422,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",42280173,41764696,515477,1.219,704887.500,704885.500,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,24143,0,2018880,25601,40985177,42280063,153187,75502,5523560,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",42280173,41764486,515687,1.220,704887.500,704897.500,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,19939,0,2067655,18913,41031041,42280083,153011,76500,5440975,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",42280173,41764676,515497,1.219,704887.500,704864.500,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,17825,0,2164427,16570,41018851,42280037,153532,78045,5455772,"00:00:00.101","00:01:00.072"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",42280172,41765480,514692,1.217,704887.000,704888.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,22819,0,2098762,23473,40946460,42280075,154310,77205,5478257,"00:00:00.101","00:01:00.072"
