Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408278826.00,3015660340.00,2211484264.00,344.00,1862.00,24395.00,0.00,
38,0.14,408248559.00,3015657061.00,2211481888.00,320.00,1743.00,18212.00,0.00,
39,0.14,408227276.00,3015657841.00,2211482416.00,324.00,1923.00,14505.00,0.00,
40,0.14,408200773.00,3015662861.00,2211486112.00,326.00,1813.00,18344.00,0.00,
51,0.14,408326234.00,3015694790.00,2211509520.00,297.00,1890.00,17056.00,0.00,
52,0.14,408150573.00,3015697361.00,2211511368.00,305.00,1942.00,19136.00,0.00,
53,0.14,408150057.00,3015701454.00,2211514360.00,320.00,1811.00,24458.00,0.00,
54,0.14,407882330.00,3015703644.00,2211516032.00,317.00,1838.00,13951.00,0.00,
*,0.14,35818658943.00,260555769589.00,247688737384.00,968099.00,2342255.00,1611522460.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406723766.00,3000133702.00,2200098120.00,99.00,1727.00,5623.00,0.00,
38,0.14,407168506.00,3000139168.00,2200102080.00,103.00,1670.00,4889.00,0.00,
39,0.14,406593878.00,3000139239.00,2200102168.00,95.00,1758.00,6188.00,0.00,
40,0.14,406271323.00,3000135425.00,2200099352.00,104.00,1745.00,6787.00,0.00,
51,0.14,406586906.00,3000113010.00,2200082896.00,81.00,1788.00,5945.00,0.00,
52,0.14,406770151.00,3000109459.00,2200080256.00,76.00,1743.00,4746.00,0.00,
53,0.14,406680185.00,3000106668.00,2200078232.00,99.00,1713.00,5062.00,0.00,
54,0.14,406644774.00,3000102903.00,2200075416.00,66.00,1581.00,7702.00,0.00,
*,0.14,36189418681.00,259207718123.00,246407359000.00,175901.00,259652.00,1230686050.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407763029.00,2999761118.00,2199824792.00,82.00,1539.00,4857.00,0.00,
38,0.14,408026630.00,2999760434.00,2199824264.00,72.00,1494.00,5946.00,0.00,
39,0.14,408194687.00,2999762465.00,2199825760.00,83.00,1540.00,6559.00,0.00,
40,0.14,407857653.00,2999761468.00,2199825056.00,78.00,1558.00,5240.00,0.00,
51,0.14,407810885.00,2999757097.00,2199821888.00,77.00,1387.00,4874.00,0.00,
52,0.14,408035008.00,2999754569.00,2199820040.00,76.00,1529.00,6152.00,0.00,
53,0.14,407608077.00,2999752966.00,2199818896.00,81.00,1530.00,5673.00,0.00,
54,0.14,407677697.00,2999757577.00,2199822240.00,70.00,1505.00,6192.00,0.00,
*,0.14,35363014062.00,259199390309.00,246400396616.00,123009.00,249289.00,337565524.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
