"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",31709935,31331911,378024,1.192,528665.000,528674.500,2249998240.000,2250038672.000,16041938432,270676480.000,270681344.000,2165411840.000,2165450752.000,2165411.840,2165450.752,2165.412,2165.451,172851,79415,8304357,"00:00:00.107","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",45803238,45239997,563241,1.230,763627.500,763634.500,3249998640.000,3250028432.000,23162878464,390977280.000,390980864.000,3127818240.000,3127846912.000,3127818.240,3127846.912,3127.818,3127.847,151778,75157,8223695,"00:00:00.106","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",45803239,45242582,560657,1.224,763628.000,763633.000,3250000768.000,3250022048.000,23164201984,390977536.000,390980096.000,3127820288.000,3127840768.000,3127820.288,3127840.768,3127.820,3127.841,151459,77552,8342602,"00:00:00.107","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",59896544,58200948,1695596,2.831,998590.000,981529.000,4249999040.000,4177387424.000,29798885376,511278080.000,502542848.000,4090224640.000,4020342784.000,4090224.640,4020342.784,4090.225,4020.343,882239,77540,9152932,"00:00:00.106","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",31709936,31331963,377973,1.192,528665.500,528674.000,2250000368.000,2250036544.000,16041965056,270676736.000,270681088.000,2165413888.000,2165448704.000,2165413.888,2165448.704,2165.414,2165.449,172547,77940,8305632,"00:00:00.107","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",45803239,45240059,563180,1.230,763627.500,763634.500,3249998640.000,3250028432.000,23162910208,390977280.000,390980864.000,3127818240.000,3127846912.000,3127818.240,3127846.912,3127.818,3127.847,152776,74872,8225280,"00:00:00.106","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",45803239,45242496,560743,1.224,763628.000,763631.000,3250000768.000,3250013536.000,23164157952,390977536.000,390979072.000,3127820288.000,3127832576.000,3127820.288,3127832.576,3127.820,3127.833,152122,77840,8342922,"00:00:00.107","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",59896544,58197226,1699318,2.837,998590.500,981485.500,4250001168.000,4177202288.000,29796979712,511278336.000,502520576.000,4090226688.000,4020164608.000,4090226.688,4020164.608,4090.227,4020.165,883975,78090,9173057,"00:00:00.106","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",28186609,27850512,336097,1.192,469924.500,469932.500,1999998672.000,2000032720.000,14259462144,240601344.000,240605440.000,1924810752.000,1924843520.000,1924810.752,1924843.520,1924.811,1924.844,173001,75835,8366175,"00:00:00.108","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",42279913,41760076,519837,1.230,704887.000,704893.500,2999999072.000,3000026736.000,21381158912,360902144.000,360905472.000,2887217152.000,2887243776.000,2887217.152,2887243.776,2887.217,2887.244,152212,76732,8414142,"00:00:00.106","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",42279913,41762770,517143,1.223,704887.500,704900.000,3000001200.000,3000054400.000,21382538240,360902400.000,360908800.000,2887219200.000,2887270400.000,2887219.200,2887270.400,2887.219,2887.270,151546,77832,8317090,"00:00:00.107","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",56373217,54770346,1602871,2.843,939849.500,923434.500,3999999472.000,3930137232.000,28042417152,481202944.000,472798464.000,3849623552.000,3782387712.000,3849623.552,3782387.712,3849.624,3782.388,980527,78227,9191627,"00:00:00.106","00:01:00.078"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",28186609,27850537,336072,1.192,469924.500,469933.000,1999998672.000,2000034848.000,14259474944,240601344.000,240605696.000,1924810752.000,1924845568.000,1924810.752,1924845.568,1924.811,1924.846,172692,76352,8382942,"00:00:00.108","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",42279913,41760106,519807,1.229,704887.000,704893.500,2999999072.000,3000026736.000,21381174272,360902144.000,360905472.000,2887217152.000,2887243776.000,2887217.152,2887243.776,2887.217,2887.244,152513,75060,8415125,"00:00:00.106","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",42279913,41762830,517083,1.223,704887.000,704900.000,2999999072.000,3000054400.000,21382568960,360902144.000,360908800.000,2887217152.000,2887270400.000,2887217.152,2887270.400,2887.217,2887.270,152288,78427,8317720,"00:00:00.107","00:01:00.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",56373217,54773626,1599591,2.838,939849.500,923469.000,3999999472.000,3930284064.000,28044096512,481202944.000,472816128.000,3849623552.000,3782529024.000,3849623.552,3782529.024,3849.624,3782.529,982347,72660,9192492,"00:00:00.106","00:01:00.078"
