"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Last Sequence Number","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",31709518,31331765,377753,1.191,528665.500,528658.000,2250000368.000,270676736.000,2165413888.000,2165413.888,2165.414,23331,0,2057060,22897,29814848,31709440,173268,78072,8061610,"00:00:00.157","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",45802635,45241244,561391,1.226,763627.500,763618.000,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,15676,0,1738990,15695,43336252,45802511,153536,74837,8193680,"00:00:00.154","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",45802636,45241331,561305,1.225,763628.000,763606.500,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,14688,0,1710775,14951,43467190,45802495,152477,76427,8062135,"00:00:00.154","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",59895756,58109180,1786576,2.983,998590.500,981191.000,4250001168.000,511278336.000,4090226688.000,4090226.688,4090.227,17651,0,3332147,19283,58042456,59895437,885978,77725,9149782,"00:00:00.155","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",31709518,31331800,377718,1.191,528665.500,528658.000,2250000368.000,270676736.000,2165413888.000,2165413.888,2165.414,19393,0,2057017,19908,29901448,31709440,172963,78527,8062082,"00:00:00.157","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",45802636,45241322,561314,1.226,763627.500,763618.000,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,11140,0,1427145,11117,43520082,45802511,154195,75497,8195270,"00:00:00.154","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",45802636,45241258,561378,1.226,763628.000,763609.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,16654,0,1663080,16642,43343131,45802494,153467,78760,8062277,"00:00:00.154","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",59895755,58105372,1790383,2.989,998590.000,981139.500,4249999040.000,511278080.000,4090224640.000,4090224.640,4090.225,16475,0,3331695,15941,58038138,59895437,887715,77940,9150175,"00:00:00.155","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",28186238,27850309,335929,1.192,469924.500,469921.500,1999998672.000,240601344.000,1924810752.000,1924810.752,1924.811,34355,0,1757400,31758,27395578,28186165,173387,77252,8070860,"00:00:00.157","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",42279356,41761361,517995,1.225,704887.000,704878.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,25014,0,2155525,24896,40978937,42279239,153614,74347,8221155,"00:00:00.154","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",42279356,41761166,518190,1.226,704887.000,704890.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,25076,0,2103290,24841,40995436,42279223,153044,76962,8066597,"00:00:00.154","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",56372475,54682486,1689989,2.998,939849.500,922704.000,3999999472.000,481202944.000,3849623552.000,3849623.552,3849.624,12802,0,2203485,12127,54620121,56370796,987652,76912,9112022,"00:00:00.155","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",28186238,27850341,335897,1.192,469924.500,469923.500,1999998672.000,240601344.000,1924810752.000,1924810.752,1924.811,26716,0,1757440,23932,27441548,28186165,173076,77382,8071582,"00:00:00.157","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",42279357,41761421,517936,1.225,704887.500,704878.000,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,21627,0,2157055,21799,40987738,42279239,154218,75062,8222572,"00:00:00.154","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",42279356,41761246,518110,1.225,704887.000,704889.500,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,17838,0,2104612,16838,41020353,42279223,153147,74912,8067395,"00:00:00.154","00:01:00.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",56372475,54685917,1686558,2.992,939849.500,922741.500,3999999472.000,481202944.000,3849623552.000,3849623.552,3849.624,12211,0,2203662,12404,54624907,56370782,989472,77252,9112667,"00:00:00.155","00:01:00.128"
