Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408515760.00,3015788763.00,2211578424.00,321.00,1791.00,15697.00,0.00,
38,0.14,408447593.00,3015782429.00,2211573848.00,296.00,1821.00,11718.00,0.00,
39,0.14,408175502.00,3015785612.00,2211576136.00,268.00,1655.00,21818.00,0.00,
40,0.14,408492299.00,3015786017.00,2211576400.00,288.00,1860.00,18655.00,0.00,
51,0.14,408407405.00,3015818146.00,2211599984.00,278.00,2007.00,17476.00,0.00,
52,0.14,408408100.00,3015818996.00,2211600600.00,298.00,2006.00,16275.00,0.00,
53,0.14,408001204.00,3015827318.00,2211606672.00,294.00,1960.00,15939.00,0.00,
54,0.14,408318152.00,3015830058.00,2211608696.00,304.00,1990.00,13828.00,0.00,
*,0.14,35823852946.00,260565269957.00,247697751664.00,959336.00,2332483.00,1610952430.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406721917.00,3000155657.00,2200114136.00,76.00,1716.00,2494.00,0.00,
38,0.14,406969242.00,3000159428.00,2200116864.00,81.00,1654.00,2801.00,0.00,
39,0.14,406579615.00,3000158975.00,2200116600.00,70.00,1717.00,5179.00,0.00,
40,0.14,406585152.00,3000158537.00,2200116248.00,84.00,1717.00,4704.00,0.00,
51,0.14,406875442.00,3000130181.00,2200095480.00,67.00,1845.00,5448.00,0.00,
52,0.14,406320279.00,3000128446.00,2200094160.00,86.00,1784.00,6488.00,0.00,
53,0.14,406546987.00,3000120028.00,2200088000.00,88.00,1736.00,4718.00,0.00,
54,0.14,406786252.00,3000116091.00,2200085096.00,80.00,1848.00,4797.00,0.00,
*,0.14,36188581674.00,259210907087.00,246410441904.00,177306.00,264906.00,1229899611.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408220614.00,3002873242.00,2202107072.00,53.00,1553.00,3262.00,0.00,
38,0.14,407732487.00,3002875872.00,2202109008.00,51.00,1487.00,3543.00,0.00,
39,0.14,407969763.00,3002875883.00,2202109008.00,60.00,1565.00,5228.00,0.00,
40,0.14,408543546.00,3002876473.00,2202109448.00,57.00,1560.00,5293.00,0.00,
51,0.14,407999458.00,3002868715.00,2202103728.00,55.00,1566.00,5954.00,0.00,
52,0.14,407931766.00,3002869303.00,2202104168.00,62.00,1569.00,4647.00,0.00,
53,0.14,408273379.00,3002869442.00,2202104256.00,69.00,1515.00,6639.00,0.00,
54,0.14,408526000.00,3002870671.00,2202105224.00,58.00,1577.00,5628.00,0.00,
*,0.14,35415220315.00,259448043854.00,246635814392.00,127657.00,245330.00,338565178.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408641607.00,3002817254.00,2202065976.00,48.00,1400.00,4016.00,0.00,
38,0.14,408839788.00,3002815731.00,2202064832.00,47.00,1341.00,3382.00,0.00,
39,0.14,408675256.00,3002815715.00,2202064832.00,56.00,1399.00,6764.00,0.00,
40,0.14,409289127.00,3002817028.00,2202065800.00,49.00,1421.00,6415.00,0.00,
51,0.14,408872897.00,3002830029.00,2202075392.00,49.00,1412.00,6959.00,0.00,
52,0.14,409664449.00,3002830135.00,2202075480.00,49.00,1417.00,7593.00,0.00,
53,0.14,408850441.00,3002826400.00,2202072752.00,49.00,1384.00,6383.00,0.00,
54,0.14,409308341.00,3002827528.00,2202073544.00,50.00,1429.00,7301.00,0.00,
*,0.14,35440555307.00,259444318535.00,246632225048.00,44444.00,163290.00,11455773.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.89,2661230219.00,3002791682.00,2202047232.00,472.00,11732.00,778254.00,0.00,
38,0.89,2659753999.00,3002797992.00,2202051984.00,313.00,12356.00,779128.00,0.00,
39,0.88,2651592433.00,3002810727.00,2202061928.00,223.00,12630.00,856439.00,0.00,
40,0.88,2645918568.00,3002813650.00,2202063336.00,296.00,13021.00,813586.00,0.00,
51,1.07,3199991614.00,3002811341.00,2202061576.00,393.00,12468.00,801046.00,0.00,
52,1.03,3097527555.00,3002816810.00,2202065624.00,359.00,11268.00,803432.00,0.00,
53,1.07,3202399868.00,3002826148.00,2202072488.00,254.00,12093.00,786755.00,0.00,
54,1.06,3197288621.00,3002836888.00,2202080408.00,277.00,13457.00,803988.00,0.00,
*,0.21,55460066234.00,259441927461.00,246629885040.00,1082947.00,632892.00,1070838324.00,0.00,

Time elapsed: 999 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.90,5687457190.00,3000705790.00,2200517704.00,3461.00,2442.00,16660.00,0.00,
38,1.90,5697571344.00,3000699487.00,2200512864.00,101.00,2171.00,42561.00,0.00,
39,1.89,5674033956.00,3000697957.00,2200511104.00,91.00,2202.00,19431.00,0.00,
40,1.89,5666028521.00,3000698268.00,2200512072.00,86.00,2149.00,13974.00,0.00,
51,2.34,7036402766.00,3000700368.00,2200513656.00,89.00,2156.00,18102.00,0.00,
52,2.30,6903192624.00,3000704609.00,2200516736.00,80.00,2207.00,14118.00,0.00,
53,2.35,7043910930.00,3000706141.00,2200517880.00,86.00,2142.00,9908.00,0.00,
54,2.34,7036387412.00,3000703852.00,2200516120.00,88.00,2226.00,12557.00,0.00,
*,0.32,82752908881.00,259256320956.00,246453312600.00,64490.00,131043.00,3319204.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
