Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408261249.00,3015175331.00,2211128568.00,413.00,1785.00,21563.00,0.00,
38,0.14,408207769.00,3015167015.00,2211122496.00,401.00,1847.00,13686.00,0.00,
39,0.14,408272799.00,3015175604.00,2211128744.00,393.00,1764.00,18587.00,0.00,
40,0.14,408255865.00,3015173588.00,2211127336.00,398.00,1706.00,10330.00,0.00,
51,0.14,408408856.00,3015210395.00,2211154264.00,351.00,1828.00,9200.00,0.00,
52,0.14,408493215.00,3015207063.00,2211151888.00,358.00,1813.00,17049.00,0.00,
53,0.14,408433195.00,3015215333.00,2211157872.00,369.00,1854.00,16014.00,0.00,
54,0.14,408465131.00,3015216697.00,2211158928.00,377.00,1837.00,14569.00,0.00,
*,0.14,35824511355.00,260512336495.00,247647382928.00,1084142.00,2239771.00,1580963009.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406511356.00,3000085016.00,2200062392.00,164.00,1754.00,4284.00,0.00,
38,0.14,406780558.00,3000089963.00,2200065912.00,157.00,1763.00,5504.00,0.00,
39,0.14,406946929.00,3000086518.00,2200063448.00,154.00,1763.00,4796.00,0.00,
40,0.14,406742631.00,3000086262.00,2200063184.00,163.00,1724.00,3231.00,0.00,
51,0.14,406596158.00,3000057890.00,2200042504.00,134.00,1760.00,2368.00,0.00,
52,0.14,406416110.00,3000059294.00,2200043472.00,120.00,1763.00,3302.00,0.00,
53,0.14,406404979.00,3000056105.00,2200041184.00,130.00,1791.00,3175.00,0.00,
54,0.14,406910283.00,3000054022.00,2200039600.00,133.00,1768.00,2766.00,0.00,
*,0.14,36189558718.00,259205082136.00,246404915416.00,157240.00,248487.00,1232211099.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407834800.00,2999760976.00,2199824704.00,144.00,1507.00,4973.00,0.00,
38,0.14,407746960.00,2999761600.00,2199825232.00,134.00,1518.00,6410.00,0.00,
39,0.14,407733795.00,2999759325.00,2199823560.00,139.00,1510.00,3799.00,0.00,
40,0.14,407848705.00,2999760727.00,2199824616.00,145.00,1450.00,4036.00,0.00,
51,0.14,407914541.00,2999752828.00,2199818720.00,132.00,1467.00,3480.00,0.00,
52,0.14,408064714.00,2999750739.00,2199817224.00,128.00,1496.00,5555.00,0.00,
53,0.14,407802046.00,2999748808.00,2199815728.00,144.00,1503.00,3325.00,0.00,
54,0.14,407627291.00,2999752723.00,2199818720.00,133.00,1466.00,4896.00,0.00,
*,0.14,35320076661.00,259178706524.00,246379775840.00,96973.00,242774.00,376595149.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408380380.00,3002711140.00,2201988184.00,144.00,1343.00,3523.00,0.00,
38,0.14,408684418.00,3002711445.00,2201988360.00,124.00,1353.00,7263.00,0.00,
39,0.14,409095557.00,3002714840.00,2201990912.00,138.00,1326.00,4871.00,0.00,
40,0.14,409274727.00,3002714610.00,2201990648.00,129.00,1295.00,4410.00,0.00,
51,0.14,408582349.00,3002715983.00,2201991704.00,126.00,1298.00,3868.00,0.00,
52,0.14,408767376.00,3002716303.00,2201991968.00,131.00,1298.00,3653.00,0.00,
53,0.14,409354214.00,3002714312.00,2201990560.00,126.00,1348.00,4282.00,0.00,
54,0.14,409271163.00,3002712647.00,2201989240.00,136.00,1310.00,4541.00,0.00,
*,0.14,35435767997.00,259434624367.00,246623050608.00,34322.00,134513.00,3165241.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

