Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408407992.00,3015411820.00,2211302016.00,392.00,1843.00,15200.00,0.00,
38,0.14,408195587.00,3015408867.00,2211299816.00,371.00,1709.00,14703.00,0.00,
39,0.14,408175564.00,3015402368.00,2211295064.00,354.00,1856.00,16047.00,0.00,
40,0.14,408334030.00,3015401947.00,2211294712.00,375.00,1878.00,16462.00,0.00,
51,0.14,408442601.00,3015425194.00,2211311784.00,367.00,1977.00,15738.00,0.00,
52,0.14,408250996.00,3015426371.00,2211312664.00,362.00,1866.00,15716.00,0.00,
53,0.14,408339379.00,3015430277.00,2211315480.00,374.00,1972.00,9827.00,0.00,
54,0.14,408352256.00,3015430275.00,2211315568.00,356.00,1980.00,16239.00,0.00,
*,0.14,35823229776.00,260530726440.00,247664906016.00,1084838.00,2238801.00,1580265777.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406528189.00,2999952064.00,2199964888.00,142.00,1567.00,3422.00,0.00,
38,0.14,406274701.00,2999954602.00,2199966736.00,122.00,1481.00,3729.00,0.00,
39,0.14,406623077.00,2999961204.00,2199971488.00,120.00,1662.00,2300.00,0.00,
40,0.14,406801162.00,2999961138.00,2199971576.00,164.00,1708.00,3203.00,0.00,
51,0.14,406713619.00,2999940548.00,2199956352.00,133.00,1725.00,3382.00,0.00,
52,0.14,406556287.00,2999941113.00,2199956792.00,132.00,1797.00,3856.00,0.00,
53,0.14,406707033.00,2999933713.00,2199951424.00,117.00,1776.00,3945.00,0.00,
54,0.14,406666161.00,2999933632.00,2199951248.00,125.00,1792.00,4247.00,0.00,
*,0.14,36190015312.00,259194697091.00,246395029408.00,157045.00,249081.00,1230089323.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408348340.00,2999691700.00,2199773840.00,111.00,1356.00,3190.00,0.00,
38,0.14,407811153.00,2999693845.00,2199775424.00,113.00,1293.00,3354.00,0.00,
39,0.14,407521383.00,2999692318.00,2199774368.00,123.00,1504.00,3879.00,0.00,
40,0.14,407627599.00,2999690387.00,2199772960.00,125.00,1573.00,4559.00,0.00,
51,0.14,407506762.00,2999677538.00,2199763544.00,121.00,1502.00,3350.00,0.00,
52,0.14,407737105.00,2999679365.00,2199764952.00,133.00,1545.00,3863.00,0.00,
53,0.14,408177061.00,2999678378.00,2199764160.00,114.00,1513.00,3150.00,0.00,
54,0.14,407801929.00,2999677720.00,2199763720.00,115.00,1557.00,2999.00,0.00,
*,0.14,35312597749.00,259172637824.00,246374020640.00,91474.00,246470.00,378931973.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408208482.00,2999649720.00,2199743128.00,121.00,1185.00,3453.00,0.00,
38,0.14,408199318.00,2999651439.00,2199744448.00,109.00,1115.00,3637.00,0.00,
39,0.14,407931756.00,2999651811.00,2199744712.00,115.00,1322.00,3878.00,0.00,
40,0.14,408561121.00,2999652473.00,2199745152.00,116.00,1362.00,4959.00,0.00,
51,0.14,408331831.00,2999653048.00,2199745592.00,115.00,1349.00,3474.00,0.00,
52,0.14,408186516.00,2999649854.00,2199743128.00,116.00,1391.00,3783.00,0.00,
53,0.14,408342524.00,2999653115.00,2199745592.00,115.00,1360.00,3963.00,0.00,
54,0.14,408283384.00,2999650812.00,2199743920.00,116.00,1394.00,3832.00,0.00,
*,0.14,35396965263.00,259170712005.00,246372148968.00,34681.00,133806.00,3134711.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

