Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408352071.00,3015220231.00,2211161480.00,423.00,1843.00,22223.00,0.00,
38,0.14,408168607.00,3015215444.00,2211157960.00,419.00,1896.00,12702.00,0.00,
39,0.14,408262546.00,3015213923.00,2211156904.00,423.00,1834.00,17289.00,0.00,
40,0.14,408322458.00,3015209902.00,2211153912.00,434.00,1742.00,11245.00,0.00,
51,0.14,408092198.00,3015238426.00,2211174856.00,361.00,1898.00,16190.00,0.00,
52,0.14,408165468.00,3015233326.00,2211171072.00,357.00,1935.00,18544.00,0.00,
53,0.14,408306699.00,3015244865.00,2211179520.00,362.00,1951.00,20204.00,0.00,
54,0.14,408419066.00,3015238737.00,2211175120.00,395.00,1921.00,16368.00,0.00,
*,0.14,35826331380.00,260515756833.00,247650671752.00,1089608.00,2254961.00,1581508304.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406559894.00,2999930887.00,2199949312.00,177.00,1677.00,2617.00,0.00,
38,0.14,406613099.00,2999936065.00,2199953096.00,144.00,1699.00,2729.00,0.00,
39,0.14,406425261.00,2999938632.00,2199955032.00,149.00,1659.00,2739.00,0.00,
40,0.14,407038355.00,2999942261.00,2199957584.00,173.00,1577.00,2578.00,0.00,
51,0.14,406596672.00,2999916793.00,2199939016.00,119.00,1729.00,3090.00,0.00,
52,0.14,406329710.00,2999920530.00,2199941744.00,116.00,1745.00,2894.00,0.00,
53,0.14,406601009.00,2999908833.00,2199933208.00,119.00,1627.00,2424.00,0.00,
54,0.14,406754697.00,2999913554.00,2199936552.00,126.00,1722.00,3949.00,0.00,
*,0.14,36186358843.00,259192296476.00,246392773264.00,158444.00,248802.00,1232678261.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407532244.00,2999598423.00,2199705552.00,146.00,1511.00,3685.00,0.00,
38,0.14,407642709.00,2999596688.00,2199704232.00,128.00,1517.00,3607.00,0.00,
39,0.14,407472898.00,2999599443.00,2199706256.00,132.00,1521.00,3263.00,0.00,
40,0.14,407993024.00,2999598471.00,2199705552.00,122.00,1291.00,3369.00,0.00,
51,0.14,408015090.00,2999587602.00,2199697544.00,120.00,1514.00,3303.00,0.00,
52,0.14,407993448.00,2999587164.00,2199697280.00,127.00,1503.00,3209.00,0.00,
53,0.14,407872580.00,2999589787.00,2199699128.00,121.00,1302.00,4024.00,0.00,
54,0.14,407728440.00,2999591156.00,2199700184.00,127.00,1505.00,3469.00,0.00,
*,0.14,35314989379.00,259165459745.00,246367173800.00,91642.00,248342.00,374818232.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408001111.00,2999631753.00,2199729928.00,140.00,1350.00,4409.00,0.00,
