Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408156567.00,3015694501.00,2211509344.00,385.00,1869.00,18872.00,0.00,
38,0.14,408332204.00,3015691097.00,2211506792.00,376.00,1627.00,13041.00,0.00,
39,0.14,408383999.00,3015681866.00,2211500104.00,369.00,1925.00,13037.00,0.00,
40,0.14,408374773.00,3015682555.00,2211500544.00,414.00,1906.00,9283.00,0.00,
51,0.14,408682333.00,3015709064.00,2211519992.00,367.00,1845.00,18520.00,0.00,
52,0.14,408453587.00,3015706198.00,2211517880.00,379.00,1965.00,20490.00,0.00,
53,0.14,408649841.00,3015715535.00,2211524744.00,381.00,2002.00,10797.00,0.00,
54,0.14,408438751.00,3015715355.00,2211524656.00,440.00,1960.00,21735.00,0.00,
*,0.14,35833026623.00,260555743690.00,247688641552.00,1085937.00,2246701.00,1579965162.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406463622.00,3000047203.00,2200034584.00,142.00,1653.00,2939.00,0.00,
38,0.14,406463189.00,3000053230.00,2200039072.00,146.00,1441.00,3515.00,0.00,
39,0.14,406820193.00,3000057542.00,2200042152.00,133.00,1710.00,3015.00,0.00,
40,0.14,406786230.00,3000054541.00,2200040040.00,134.00,1698.00,2795.00,0.00,
51,0.14,406337540.00,3000038188.00,2200027984.00,125.00,1577.00,3164.00,0.00,
52,0.14,406236691.00,3000040777.00,2200029920.00,118.00,1749.00,3142.00,0.00,
53,0.14,406620272.00,3000033585.00,2200024640.00,127.00,1788.00,3589.00,0.00,
54,0.14,406566911.00,3000028720.00,2200021032.00,138.00,1601.00,3683.00,0.00,
*,0.14,36188484673.00,259203112572.00,246403032040.00,157102.00,250948.00,1233026647.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408185269.00,3002693572.00,2201975248.00,122.00,1561.00,3736.00,0.00,
38,0.14,408129236.00,3002689502.00,2201972256.00,120.00,1321.00,3794.00,0.00,
39,0.14,408353535.00,3002691709.00,2201973928.00,113.00,1556.00,3615.00,0.00,
40,0.14,408173582.00,3002693209.00,2201974984.00,127.00,1499.00,4378.00,0.00,
51,0.14,408358366.00,3002677359.00,2201963368.00,110.00,1334.00,3959.00,0.00,
52,0.14,407673727.00,3002679227.00,2201964776.00,123.00,1500.00,4571.00,0.00,
53,0.14,408465975.00,3002678996.00,2201964600.00,121.00,1538.00,3843.00,0.00,
54,0.14,408653528.00,3002680317.00,2201965568.00,163.00,1486.00,4091.00,0.00,
*,0.14,35358875073.00,259431547251.00,246620160952.00,92700.00,240462.00,377538885.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408526858.00,3002531634.00,2201856536.00,128.00,1381.00,3035.00,0.00,
38,0.14,408778711.00,3002532623.00,2201857240.00,111.00,1136.00,4364.00,0.00,
39,0.14,409078285.00,3002531313.00,2201856272.00,122.00,1379.00,5482.00,0.00,
40,0.14,409054167.00,3002529849.00,2201855216.00,125.00,1336.00,4004.00,0.00,
51,0.14,408832579.00,3002533000.00,2201857504.00,116.00,1148.00,3779.00,0.00,
52,0.14,408719678.00,3002531182.00,2201856184.00,112.00,1333.00,5002.00,0.00,
53,0.14,409068402.00,3002530910.00,2201856008.00,118.00,1389.00,4536.00,0.00,
54,0.14,409385695.00,3002532587.00,2201857240.00,128.00,1328.00,3214.00,0.00,
*,0.14,35439795511.00,259419360302.00,246608532808.00,37009.00,135211.00,3181448.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.84,2523208407.00,2999690541.00,2199773048.00,485.00,10826.00,787966.00,0.00,
38,0.81,2444286235.00,2999702391.00,2199781760.00,370.00,9308.00,820737.00,0.00,
39,0.84,2524390327.00,2999707777.00,2199785720.00,311.00,10516.00,841079.00,0.00,
40,0.84,2512097271.00,2999717862.00,2199793112.00,330.00,9751.00,853797.00,0.00,
51,1.01,3018247593.00,2999723350.00,2199797248.00,401.00,9735.00,756200.00,0.00,
52,1.01,3020234867.00,2999734498.00,2199805256.00,384.00,8583.00,735942.00,0.00,
53,1.01,3023016175.00,2999740702.00,2199809832.00,439.00,10523.00,869123.00,0.00,
54,1.00,3013531600.00,2999749866.00,2199816608.00,286.00,10047.00,785822.00,0.00,
*,0.21,54205054799.00,259174737812.00,246375859224.00,1063879.00,605249.00,1076252535.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.90,5694056531.00,2999733644.00,2199804728.00,4957.00,2651.00,10928.00,0.00,
38,1.83,5491039080.00,2999727132.00,2199799976.00,165.00,2115.00,31296.00,0.00,
39,1.89,5672214345.00,2999730067.00,2199802000.00,166.00,2231.00,29407.00,0.00,
40,1.89,5673041847.00,2999734359.00,2199805168.00,162.00,2191.00,18372.00,0.00,
51,2.34,7031573164.00,2999732708.00,2199803936.00,149.00,2292.00,9390.00,0.00,
52,2.35,7038363428.00,2999730507.00,2199802352.00,145.00,2201.00,7527.00,0.00,
53,2.35,7042286437.00,2999738820.00,2199808424.00,143.00,2470.00,13720.00,0.00,
54,2.34,7033792785.00,2999730548.00,2199802352.00,140.00,2206.00,9448.00,0.00,
*,0.32,82688880193.00,259177659318.00,246378790768.00,45127.00,139916.00,2440016.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.67,5000463620.00,2999751224.00,2199817576.00,489.00,14269.00,1655301.00,0.00,
38,1.62,4863519399.00,2999759772.00,2199823824.00,191.00,13075.00,1557613.00,0.00,
39,1.66,4979471621.00,2999759043.00,2199823384.00,196.00,13961.00,1539874.00,0.00,
40,1.66,4985707325.00,2999755106.00,2199820480.00,234.00,13883.00,1590317.00,0.00,
51,1.98,5949628032.00,2999753321.00,2199819072.00,217.00,13054.00,1122441.00,0.00,
52,1.98,5942225272.00,2999752699.00,2199818720.00,253.00,13266.00,1130791.00,0.00,
53,1.97,5923733289.00,2999751167.00,2199817576.00,205.00,12626.00,1081731.00,0.00,
54,1.98,5946175240.00,2999753565.00,2199819248.00,174.00,12836.00,1039726.00,0.00,
*,0.29,75615121140.00,259178204968.00,246379275648.00,45273.00,266366.00,17588073.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5986210541.00,2999726582.00,2199799448.00,245.00,1420.00,4860464.00,0.00,
38,1.98,5930344902.00,2999722160.00,2199796192.00,127.00,1596.00,4861995.00,0.00,
39,2.00,5986609853.00,2999718272.00,2199793376.00,132.00,1747.00,4588497.00,0.00,
40,2.00,5987849033.00,2999722941.00,2199796808.00,123.00,1668.00,4672100.00,0.00,
51,2.34,7027578694.00,2999722284.00,2199796368.00,128.00,1476.00,6004.00,0.00,
52,2.34,7029615411.00,2999724460.00,2199797952.00,130.00,1478.00,6237.00,0.00,
53,2.26,6776743321.00,2999717660.00,2199792936.00,114.00,1582.00,10055.00,0.00,
54,2.34,7028932792.00,2999719825.00,2199794520.00,126.00,1492.00,6772.00,0.00,
*,0.32,83750595912.00,259175687026.00,246376918920.00,23636.00,130801.00,20771385.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5984231839.00,2999665326.00,2199754568.00,263.00,1377.00,4862888.00,0.00,
38,1.98,5930317142.00,2999669578.00,2199757736.00,136.00,1500.00,4857041.00,0.00,
39,2.00,5985815811.00,2999670421.00,2199758352.00,133.00,1653.00,4592729.00,0.00,
40,2.00,5986275291.00,2999668096.00,2199756592.00,141.00,1615.00,4695163.00,0.00,
51,2.35,7035235218.00,2999671124.00,2199758792.00,130.00,1468.00,8052.00,0.00,
52,2.34,7031235629.00,2999668616.00,2199756944.00,125.00,1430.00,5136.00,0.00,
53,2.27,6801918626.00,2999674761.00,2199761520.00,133.00,1541.00,11551.00,0.00,
54,2.35,7034463263.00,2999670191.00,2199758176.00,135.00,1368.00,8955.00,0.00,
*,0.32,83891394035.00,259172149624.00,246373516840.00,59216.00,158456.00,24889448.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5983197357.00,2999866628.00,2199902232.00,283.00,1497.00,4865998.00,0.00,
38,1.97,5923013525.00,2999865158.00,2199901088.00,1153.00,3445.00,4836121.00,0.00,
39,2.00,5986218106.00,2999867015.00,2199902408.00,123.00,1855.00,4600789.00,0.00,
40,2.00,5985502246.00,2999864001.00,2199900296.00,118.00,1801.00,4674052.00,0.00,
51,2.34,7025863298.00,2999869488.00,2199904344.00,135.00,1546.00,8714.00,0.00,
52,2.35,7035252742.00,2999872717.00,2199906632.00,138.00,1634.00,7099.00,0.00,
53,2.31,6936285865.00,2999867774.00,2199903024.00,125.00,1746.00,9871.00,0.00,
54,2.34,7033826152.00,2999867928.00,2199903112.00,130.00,1581.00,7791.00,0.00,
*,0.32,83903769440.00,259188203664.00,246388768824.00,26332.00,131316.00,20765304.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5988812574.00,2999755961.00,2199821008.00,275.00,1352.00,4885654.00,0.00,
38,1.97,5919843724.00,2999752752.00,2199818720.00,119.00,1464.00,4803050.00,0.00,
39,2.00,5988242628.00,2999751673.00,2199817928.00,120.00,1652.00,4603321.00,0.00,
40,2.00,5985119841.00,2999755127.00,2199820392.00,123.00,1621.00,4679442.00,0.00,
51,2.35,7035137321.00,2999750312.00,2199816872.00,125.00,1379.00,6497.00,0.00,
52,2.34,7034134374.00,2999746927.00,2199814408.00,125.00,1416.00,6612.00,0.00,
53,2.35,7036984759.00,2999746928.00,2199814408.00,120.00,1635.00,10543.00,0.00,
54,2.34,7032142784.00,2999753646.00,2199819336.00,128.00,1372.00,8771.00,0.00,
*,0.32,84024972378.00,259179118283.00,246380159256.00,30262.00,134704.00,20994553.00,0.00,

Time elapsed: 1000 ms
