Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408227477.00,3015541383.00,2211396968.00,383.00,1853.00,15936.00,0.00,
38,0.14,408185449.00,3015537833.00,2211394416.00,367.00,1840.00,12042.00,0.00,
39,0.14,408155074.00,3015538498.00,2211394856.00,351.00,1830.00,12651.00,0.00,
40,0.14,408173357.00,3015543810.00,2211398816.00,364.00,1876.00,22561.00,0.00,
51,0.14,408418724.00,3015581361.00,2211426360.00,332.00,2001.00,19427.00,0.00,
52,0.14,408429200.00,3015586317.00,2211429968.00,332.00,1981.00,23109.00,0.00,
53,0.14,408204527.00,3015592786.00,2211434720.00,326.00,1900.00,22269.00,0.00,
54,0.14,408361037.00,3015594644.00,2211436040.00,330.00,1879.00,18559.00,0.00,
*,0.14,35855555188.00,260544021465.00,247677495032.00,975822.00,2342186.00,1591592384.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407126455.00,3002983464.00,2202187856.00,104.00,1714.00,3268.00,0.00,
38,0.14,406777495.00,3002987416.00,2202190760.00,105.00,1734.00,3140.00,0.00,
39,0.14,406964365.00,3002981782.00,2202186624.00,102.00,1757.00,4891.00,0.00,
40,0.14,407001326.00,3002978981.00,2202184512.00,104.00,1744.00,5283.00,0.00,
51,0.14,407129357.00,3002948652.00,2202162336.00,67.00,1818.00,4573.00,0.00,
52,0.14,406904962.00,3002947073.00,2202161192.00,77.00,1858.00,5656.00,0.00,
53,0.14,406995129.00,3002938065.00,2202154592.00,75.00,1849.00,5026.00,0.00,
54,0.14,407147428.00,3002935503.00,2202152744.00,94.00,1630.00,7801.00,0.00,
*,0.14,36273678434.00,259455142304.00,246642646800.00,194511.00,244885.00,1225183038.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
