Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408233204.00,3015817898.00,2211599808.00,289.00,1884.00,17065.00,0.00,
38,0.14,408404339.00,3015818224.00,2211599984.00,292.00,1944.00,14472.00,0.00,
39,0.14,408366100.00,3015824991.00,2211605000.00,286.00,1946.00,13427.00,0.00,
40,0.14,408420177.00,3015824796.00,2211604912.00,298.00,1932.00,20566.00,0.00,
51,0.14,408472456.00,3015860725.00,2211631224.00,307.00,2070.00,16343.00,0.00,
52,0.14,408686623.00,3015861450.00,2211631752.00,307.00,2003.00,15545.00,0.00,
53,0.14,408036450.00,3015873570.00,2211640640.00,312.00,2038.00,20904.00,0.00,
54,0.14,408214041.00,3015871283.00,2211639144.00,323.00,1998.00,13558.00,0.00,
*,0.14,35825709331.00,260567933538.00,247700195600.00,963044.00,2332773.00,1611449397.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406271762.00,3000197997.00,2200145200.00,87.00,1680.00,5608.00,0.00,
38,0.14,406732574.00,3000202446.00,2200148456.00,69.00,1678.00,3827.00,0.00,
39,0.14,406539771.00,3000192882.00,2200141504.00,76.00,1723.00,5004.00,0.00,
40,0.14,406498063.00,3000195364.00,2200143264.00,84.00,1723.00,5834.00,0.00,
51,0.14,406635130.00,3000172179.00,2200126280.00,83.00,1831.00,4510.00,0.00,
52,0.14,406748210.00,3000169955.00,2200124608.00,105.00,1769.00,6877.00,0.00,
53,0.14,407154634.00,3000162378.00,2200119064.00,82.00,1805.00,7203.00,0.00,
54,0.14,406461641.00,3000157858.00,2200115632.00,68.00,1795.00,4848.00,0.00,
*,0.14,36181506884.00,259213925587.00,246413331120.00,170123.00,249676.00,1234250384.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407957914.00,2999840237.00,2199882872.00,68.00,1543.00,5802.00,0.00,
38,0.14,407734383.00,2999841137.00,2199883576.00,59.00,1557.00,5692.00,0.00,
39,0.14,408315723.00,2999841840.00,2199884016.00,63.00,1573.00,5743.00,0.00,
40,0.14,407956782.00,2999841070.00,2199883400.00,69.00,1589.00,5872.00,0.00,
51,0.14,407844749.00,2999825958.00,2199872400.00,63.00,1609.00,4223.00,0.00,
52,0.14,408326730.00,2999828902.00,2199874512.00,60.00,1600.00,6113.00,0.00,
53,0.14,407893094.00,2999827392.00,2199873368.00,65.00,1566.00,5229.00,0.00,
54,0.14,407844358.00,2999828925.00,2199874512.00,58.00,1561.00,5814.00,0.00,
*,0.14,35322440086.00,259185493476.00,246386234952.00,115596.00,238719.00,329889127.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408622079.00,2999810257.00,2199860784.00,40.00,1331.00,6079.00,0.00,
38,0.14,408379765.00,2999809755.00,2199860432.00,38.00,1372.00,5992.00,0.00,
39,0.14,408236852.00,2999807774.00,2199859024.00,43.00,1356.00,4597.00,0.00,
40,0.14,408720175.00,2999808570.00,2199859640.00,42.00,1382.00,6619.00,0.00,
51,0.14,408341991.00,2999830982.00,2199876008.00,41.00,1420.00,6008.00,0.00,
52,0.14,409138590.00,2999829303.00,2199874864.00,42.00,1376.00,4303.00,0.00,
53,0.14,408576280.00,2999829119.00,2199874688.00,54.00,1365.00,6259.00,0.00,
54,0.14,408385582.00,2999829178.00,2199874776.00,57.00,1399.00,4217.00,0.00,
*,0.14,35396691306.00,259185269605.00,246385945696.00,41950.00,161072.00,14198778.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.88,2650841610.00,2999783926.00,2199841600.00,323.00,10111.00,785045.00,0.00,
38,0.88,2652568091.00,2999792217.00,2199847848.00,225.00,10046.00,844042.00,0.00,
39,0.88,2650071385.00,2999804135.00,2199856384.00,350.00,10388.00,817328.00,0.00,
40,0.88,2652219188.00,2999813790.00,2199863424.00,204.00,9505.00,806920.00,0.00,
51,1.07,3199742582.00,2999806437.00,2199858056.00,396.00,8681.00,743667.00,0.00,
52,1.07,3196658139.00,2999813220.00,2199862984.00,249.00,10676.00,714234.00,0.00,
53,1.07,3196598036.00,2999826862.00,2199873104.00,213.00,9020.00,776216.00,0.00,
54,1.07,3200018533.00,2999831191.00,2199876360.00,211.00,10742.00,799957.00,0.00,
*,0.22,55882035472.00,259182380258.00,246383180384.00,1154561.00,636225.00,1078346677.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.89,5667468472.00,2999886256.00,2199916576.00,3700.00,2501.00,19199.00,0.00,
38,1.89,5675467399.00,2999881575.00,2199912968.00,136.00,2225.00,48869.00,0.00,
39,1.89,5679041464.00,2999880798.00,2199912528.00,137.00,2279.00,18120.00,0.00,
40,1.89,5667276154.00,2999879041.00,2199911296.00,140.00,2198.00,14813.00,0.00,
51,2.35,7041969269.00,2999878625.00,2199911032.00,132.00,2145.00,13875.00,0.00,
52,2.34,7027727110.00,2999882532.00,2199913848.00,127.00,2307.00,15324.00,0.00,
53,2.34,7032465868.00,2999875363.00,2199908568.00,126.00,2347.00,10443.00,0.00,
54,2.34,7032155560.00,2999880452.00,2199912176.00,124.00,2424.00,8513.00,0.00,
*,0.32,82832721886.00,259190582627.00,246391064568.00,64376.00,133006.00,3313979.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4983245573.00,2999879130.00,2199911384.00,434.00,13590.00,1636462.00,0.00,
38,1.66,4972297046.00,2999884585.00,2199915344.00,110.00,11631.00,1682518.00,0.00,
39,1.66,4982417265.00,2999883590.00,2199914640.00,127.00,13198.00,1728001.00,0.00,
40,1.66,4987674435.00,2999878714.00,2199911120.00,93.00,13372.00,1782312.00,0.00,
51,1.97,5914265466.00,2999872861.00,2199906720.00,221.00,13005.00,1071055.00,0.00,
52,1.98,5944881409.00,2999873369.00,2199907160.00,232.00,13076.00,1088314.00,0.00,
53,1.98,5946205789.00,2999867730.00,2199903024.00,244.00,13282.00,980660.00,0.00,
54,1.98,5944302358.00,2999868568.00,2199903640.00,160.00,13167.00,1152750.00,0.00,
*,0.29,75698422532.00,259188906256.00,246389444136.00,51703.00,265911.00,18713752.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5982104064.00,3002839946.00,2202082608.00,282.00,1425.00,4662603.00,0.00,
38,1.97,5927661196.00,3002842280.00,2202084368.00,67.00,1577.00,4878201.00,0.00,
39,2.00,5996518381.00,3002844232.00,2202085776.00,73.00,1752.00,4701318.00,0.00,
40,2.00,5992928529.00,3002849264.00,2202089384.00,66.00,1771.00,4647504.00,0.00,
51,2.25,6765329185.00,3002856749.00,2202094928.00,62.00,1548.00,9591.00,0.00,
52,2.34,7037063096.00,3002849497.00,2202089648.00,67.00,1549.00,7431.00,0.00,
53,2.35,7046995682.00,3002854183.00,2202092992.00,56.00,1645.00,6743.00,0.00,
54,2.35,7042837040.00,3002857127.00,2202095192.00,59.00,1643.00,6725.00,0.00,
*,0.32,83818962587.00,259446684737.00,246634513048.00,33507.00,128737.00,21466940.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5978022728.00,3002825449.00,2202071960.00,268.00,1329.00,4665238.00,0.00,
38,1.97,5928044087.00,3002824672.00,2202071432.00,74.00,1491.00,4875839.00,0.00,
39,2.00,5998785637.00,3002822639.00,2202069936.00,68.00,1672.00,4681317.00,0.00,
40,2.00,5995292727.00,3002822939.00,2202070200.00,60.00,1686.00,4672916.00,0.00,
51,2.26,6773055933.00,3002822566.00,2202069936.00,58.00,1513.00,7783.00,0.00,
52,2.35,7044359184.00,3002827256.00,2202073368.00,62.00,1556.00,8633.00,0.00,
53,2.35,7045400764.00,3002829246.00,2202074776.00,64.00,1565.00,9343.00,0.00,
54,2.34,7039601927.00,3002828687.00,2202074336.00,59.00,1640.00,7420.00,0.00,
*,0.32,83822049679.00,259444619611.00,246632536744.00,36429.00,131691.00,21511311.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5981268363.00,3003005772.00,2202204224.00,217.00,1488.00,4667828.00,0.00,
38,1.97,5928733700.00,3003007544.00,2202205456.00,923.00,3401.00,4890350.00,0.00,
39,2.00,5991160726.00,3003012639.00,2202209240.00,67.00,1738.00,4676145.00,0.00,
40,2.00,5995653097.00,3003011758.00,2202208624.00,70.00,1725.00,4672913.00,0.00,
51,2.31,6924378122.00,3003013711.00,2202210032.00,64.00,1586.00,9794.00,0.00,
52,2.35,7044957093.00,3003012456.00,2202209064.00,59.00,1603.00,8788.00,0.00,
53,2.35,7047403935.00,3003014316.00,2202210560.00,66.00,1707.00,7998.00,0.00,
54,2.35,7042662362.00,3003013968.00,2202210296.00,60.00,1741.00,10716.00,0.00,
*,0.32,83976187344.00,259460473520.00,246647592312.00,34857.00,132066.00,21519004.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5979976827.00,3002889453.00,2202118952.00,188.00,1318.00,4671479.00,0.00,
38,1.97,5926473619.00,3002888874.00,2202118512.00,73.00,1496.00,4876727.00,0.00,
39,2.00,5993200710.00,3002883639.00,2202114728.00,65.00,1609.00,4669969.00,0.00,
40,2.00,5991100986.00,3002885548.00,2202116048.00,70.00,1618.00,4645064.00,0.00,
51,2.35,7047773078.00,3002884856.00,2202115520.00,61.00,1412.00,10315.00,0.00,
