time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000756686,2.20000044,3.62750988,0.00317409,0.32731334,1.13144588,3.05517639,1.9e-07,1.091e-05,0.29534771,3.46e-06,4.62e-06,4.9e-07,2.1e-07,0.0,8.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00179329,0.0,0.0,61.86902808,33.24226695,100.0,0.0,0.0,15.27971264,0.00192631,0.01295879,0.06992862,0.04726805,0.00755396,0.0150974,13.60552574,3.97252895,0.13050954,0.11252654,0.017983,8.90954345,1.08327302,3.56170252,0.0,0.00067091,0.00025205,0.00360854,0.00137685,0.0,0.00157667,6.8e-07,7.82627043,26.24965787,68.3368103,75.67850323,67.75634285,0.19649803,0.13108901,0.06534962,7.92216038
    10.001484792,2.20000019,3.63235307,0.00318924,0.32430297,1.13732633,3.08353637,1.9e-07,6.5e-07,0.29534057,3.47e-06,3.476e-05,4.6e-07,2e-07,1e-08,8.9e-07,0.0,2e-08,0.0,0.0,0.0,0.0,74.94243208,0.0,20.28044076,0.0,0.0,62.14823498,32.97169314,100.0,0.0,0.0,15.37101612,0.00187115,0.01290233,0.03711611,0.01467628,0.00729755,0.01514252,13.62705275,3.96138353,0.09433425,0.06300565,0.0313286,8.13750013,0.99844122,3.42252726,0.0,0.00067641,0.00023932,0.00339553,0.00138866,0.0,0.00190471,0.0,7.13905891,24.39615247,68.22537643,76.39717999,68.67870328,0.19424262,0.12958375,0.06459883,7.71847671
    15.002148802,2.19999988,3.63052686,0.00322721,0.32432835,1.13699978,3.08329502,1.9e-07,1.14e-06,0.29533883,3.43e-06,1.509e-05,4.9e-07,2.1e-07,0.0,8.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.10256843,0.0,0.0,62.07685406,33.04242254,100.0,0.0,0.0,15.37305125,0.00184995,0.0126913,0.03705902,0.0146205,0.00735698,0.01508119,13.71074086,3.96942489,0.09541394,0.06347403,0.03193991,8.08356702,1.01294984,3.47142562,0.0,0.00067316,0.02167924,0.00797627,0.00718659,0.0,0.0016474,0.0,7.07061717,24.43556208,68.31475172,76.44792235,68.73227218,0.19433306,0.129644,0.06462896,7.71565016
    20.002799207,2.20000004,3.63169105,0.00316743,0.32395828,1.13274589,3.08681725,1.9e-07,6.2e-07,0.29533764,3.4e-06,2.8e-07,4.7e-07,2e-07,0.0,8.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.92577026,0.0,0.0,61.98373478,33.13050793,100.0,0.0,0.0,15.24159606,0.00191359,0.01304334,0.0368994,0.01453283,0.00732909,0.0150369,13.71558733,3.94692844,0.09536481,0.06339429,0.03197052,8.26807981,1.03154481,3.41753782,0.0,0.00067529,0.03020147,0.01452501,0.01085772,0.0,0.0016559,6.63e-06,7.236535,24.33192577,68.28460241,76.39478488,68.67999239,0.19444098,0.12971607,0.06466489,7.71479249
    25.003446352,2.20000002,3.6303342,0.00320487,0.32407524,1.13434619,3.08570315,1.9e-07,9.8e-07,0.29534112,3.36e-06,3.1e-07,5.1e-07,2e-07,0.0,8.886e-05,0.0,3e-08,0.0,0.0,0.0,0.0,88.41577465,0.0,19.95624369,0.0,0.0,62.079585,33.0328147,100.0,0.0,0.0,15.342767,0.00190242,0.01261432,0.0369101,0.01463552,0.00720951,0.01506523,13.60861484,3.95513151,0.0939789,0.06296306,0.03101584,8.1500795,0.99944303,3.39782291,0.0,0.00067639,0.00616145,0.00584367,0.00315242,0.0,0.00146295,0.0,7.15063646,24.37345811,68.31980715,76.41320126,68.68359857,0.19448142,0.12974298,0.06467837,7.72960269
    30.004064185,2.19999965,3.63194042,0.00244515,0.39170844,1.16321877,2.55291918,0.00028006,0.00902077,0.29533817,0.00026069,3e-07,0.00460158,0.00043227,9.61e-06,0.00030892,0.0,2.4e-07,1e-08,0.0,0.0,1e-08,93.36230697,79.88377193,19.99855765,0.0,0.0,60.71218065,32.48576471,100.0,0.0,0.0,15.3780547,0.06523375,0.00893409,0.13801634,0.01460148,0.00739108,0.11603006,10.36135328,3.55473888,0.0947748,0.06292366,0.03185114,8.18906754,0.98225458,3.33371169,0.0,0.01197715,0.00025456,0.00344996,0.00129514,0.0,0.02396126,0.0,7.20681296,24.07059266,56.34415641,76.33761692,71.35254994,0.15778117,0.06535487,0.03252,4.98506698
    35.004696541,2.20000065,3.63150299,0.00171762,0.57093224,1.22532946,1.75152135,0.0007732,0.03288228,0.31249597,0.00073137,0.00794881,0.0127059,0.00119196,2.623e-05,6.853e-05,0.0,1e-08,1e-08,0.0,0.0,4e-08,873.47589099,60.15516108,20.03457476,0.0,0.0,59.01337079,31.49060591,100.0,0.0,0.0,13.83560974,0.11805644,0.00667067,1.91099029,1.17726613,0.04902272,0.68646314,7.09755502,3.12657745,5.27360375,5.0627836,0.21082015,31.35259378,12.47242212,9.57048358,0.0,0.18189942,1.00009016,5.20183346,0.03659897,0.0,0.05449788,3.14163879,18.88017166,24.10136755,44.58741193,49.53802193,40.78816527,0.09646443,0.00142468,0.00052448,8.74985666
    40.005343818,2.19999992,3.63084215,0.00177037,0.57083341,1.23863825,1.75182457,0.00178505,0.03296445,0.31305899,0.00074016,0.00799871,0.01269411,0.00119347,2.542e-05,4.4e-07,0.0,1e-08,2e-08,0.0,0.0,1e-08,894.86363636,195.15348837,40.62849356,0.0,0.0,58.96145067,31.54215975,100.0,0.0,0.0,13.82791906,0.11751328,0.00695287,1.40147857,1.16552336,0.0496609,0.18633473,7.09655358,3.1318135,5.18925967,4.97719036,0.21206931,31.54505448,12.58523723,9.53763697,0.0,0.3733644,1.00522619,5.25341604,0.03319698,0.0,0.04943334,3.16334536,18.95981724,24.0391594,44.3944901,49.43740449,40.70888762,0.09599111,0.00143316,0.00052753,8.72851686
    45.005947140,2.19999915,3.63221756,0.00170319,0.57009279,1.21503275,1.75410042,0.0013884,0.03279089,0.31198711,0.00072814,0.00792089,0.0126675,0.00118398,2.609e-05,3.9e-07,0.0,1e-08,1e-08,0.0,0.0,1e-08,1089.84787472,103.1670282,40.53828413,0.0,0.0,59.13017909,31.37204878,100.0,0.0,0.0,13.82732452,0.11736006,0.00643963,1.38448932,1.18623824,0.04937078,0.14887779,7.06575832,3.13341316,5.26106152,5.05084719,0.21021433,31.35167603,12.4951973,9.59340434,0.0,0.30289719,0.99383752,5.21875099,0.03114321,0.0,0.04720245,3.15506846,18.85647873,24.06488111,44.48221716,49.55999435,40.83123386,0.09630545,0.00142614,0.00052529,8.72876049
    50.006549913,2.20000115,3.63077044,0.00183664,0.56841555,1.26406399,1.75927629,0.00077382,0.03275851,0.31244331,0.0007338,0.00795722,0.01273552,0.00119491,2.586e-05,4.1e-07,0.0,1e-08,2e-08,0.0,0.0,1e-08,909.78324226,111.45566502,39.27741331,0.0,0.0,58.99322872,31.50423595,100.0,0.0,0.0,13.83113777,0.11521161,0.00669483,1.35195719,1.15762245,0.04947815,0.14485285,7.09184644,3.13451155,5.27361986,5.05745812,0.21616173,31.4024911,12.51807053,9.57691918,0.0,0.18201315,0.99805985,5.24421435,0.02857053,0.0,0.04285663,3.14340751,18.88442057,24.06699748,42.18089359,49.4927588,40.66136925,0.11723738,0.01749378,0.00563191,8.83138955
    55.007166003,2.20000017,3.63186571,0.00171869,0.57175173,1.22709206,1.74901089,0.00077159,0.03304093,0.31316792,0.00073063,0.00800835,0.01275584,0.00119026,2.554e-05,3.6e-07,0.0,1e-08,1e-08,0.0,0.0,1e-08,988.62992126,118.37962963,39.31918542,0.0,0.0,58.93055047,31.54607091,100.0,0.0,0.0,13.84767582,0.10017593,0.00616367,1.35961196,1.16348119,0.04946763,0.14666539,7.0934908,3.12787919,5.18337262,4.97197939,0.21139323,31.44828058,12.57874301,9.67261419,0.0,0.181371,1.00564766,5.20242826,0.03008643,0.0,0.04773865,3.16678044,18.86953758,24.00957669,44.54573319,49.52029553,40.77001673,0.24000955,0.1100565,0.03505485,8.7502788
