metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.19999997,2.200000813,2.1999985,2.20000125
metric_CPU utilization %,3.6301534650000002,3.632453367,3.61482737,3.63297524
metric_CPU utilization% in kernel mode,0.01247813,0.099207128,0.00175258,0.10520007
metric_CPI,0.4695376079999999,0.5797125114999999,0.32172705,0.58913597
metric_kernel_CPI,1.2236284364999999,1.3441359449999999,0.95004076,1.3467303
metric_IPC,2.2729503620000004,3.104375049,1.69740103,3.10822481
metric_locks retired per instr,0.00017933750000000002,0.00034638350000000003,1.9e-07,0.00036241
metric_L1D MPI (includes data+rfo w/ prefetches),0.020694203999999997,0.03625768,3.7e-07,0.03634584
metric_L1D demand data read hits per instr,0.3032275135,0.30969147049999995,0.29537104,0.309712
metric_L1-I code read misses (w/ prefetches) per instr,0.000445204,0.0007606350000000001,3.25e-06,0.00076738
metric_L2 demand data read hits per instr,0.0059828195,0.010125157,1e-07,0.01017032
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.00618083,0.0106109395,4.9e-07,0.01061682
metric_L2 demand data read MPI,0.0004340295000000001,0.0007540079999999999,2.1e-07,0.00075435
metric_L2 demand code MPI,2.3516499999999998e-05,4.4338e-05,0.0,4.468e-05
metric_ITLB MPI,2.2355e-06,3.770500000000017e-06,4.7e-07,2.677e-05
metric_ITLB large page MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB load MPI,3.3499999999999996e-08,6.200000000000003e-08,0.0,1e-07
metric_DTLB 4KB page load MPI,2.9e-08,6.05e-08,0.0,7e-08
metric_DTLB 2MB large page load MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,4.049999999999999e-08,1.2e-07,0.0,1.2e-07
metric_DTLB load miss latency (in core clks),282.7191818365,579.7583016345001,0.0,662.95560109
metric_DTLB store miss latency (in core clks),54.820603796499995,122.378880375,0.0,122.7491082
metric_ITLB miss latency (in core clks),34.222066498,50.956640472000004,19.53324551,52.38706425
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),56.356722477999995,62.10945317149999,50.05891703,62.11612296
metric_% Uops delivered from legacy decode pipeline (MITE),31.356837893500007,33.330898626,29.68848561,33.47228249
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),17.483223479,18.354029361,16.05894597,18.36145382
metric_TMA_....ICache_Misses(%),0.091680946,0.15821781899999998,0.00197004,0.16406239
metric_TMA_....ITLB_Misses(%),0.037519186999999996,0.07154104950000024,0.01049136,0.40541968
metric_TMA_....Branch_Resteers(%),0.5252413469999999,0.8943624950000001,0.03162888,0.91428181
metric_TMA_......Mispredicts_Resteers(%),0.4676772810000001,0.7714087869999999,0.01485156,0.77317231
metric_TMA_......Clears_Resteers(%),0.015994713,0.022376352,0.00792809,0.0235675
metric_TMA_......Unknown_Branches_Resteers(%),0.0415434915,0.10067121250000002,0.00858749,0.13076745
metric_TMA_....MITE(%),9.335437719,13.9344832195,5.93323428,13.98281921
metric_TMA_....DSB(%),3.2688594244999996,4.03072481,2.73605788,4.03293337
metric_TMA_Bad_Speculation(%),2.6583902195,4.428137297,0.09771177,4.45669823
metric_TMA_..Branch_Mispredicts(%),2.5578129909999996,4.3117554555,0.06372024,4.33829001
metric_TMA_..Machine_Clears(%),0.10057722900000002,0.14713482950000012,0.00390388,0.27094528
metric_TMA_Backend_Bound(%),16.8187352625,22.293350556000004,6.57055044,22.93212231
metric_TMA_..Memory_Bound(%),3.999374693000001,6.271674647999999,0.71041959,6.42475818
metric_TMA_....L1_Bound(%),5.011235606,6.385115034,2.76284166,6.63983215
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.033864186000000004,0.06790051100000001,0.00063928,0.067998
metric_TMA_....L2_Bound(%),0.6924886485000001,1.1814008635,0.00010309,1.18858027
metric_TMA_....L3_Bound(%),1.178955641,2.242107832,0.0031563,2.26674213
metric_TMA_....MEM_Bound(%),0.032686453000000004,0.0689361305,0.00130534,0.07203998
metric_TMA_......MEM_Bandwidth(%),0.0,0.0,0.0,0.0
metric_TMA_......MEM_Latency(%),0.048803728000000005,0.09953825200000001,0.00152703,0.10468824
metric_TMA_....Store_Bound(%),1.2641964445,2.179905186,0.0,2.1829301
metric_TMA_..Core_Bound(%),12.819360569999997,16.547244932,5.8162983,17.30498017
metric_TMA_....Ports_Utilization(%),26.0948190035,27.36658605,21.93245184,28.22286703
metric_TMA_......Ports_Utilized_3m(%),57.038908005500005,69.33083879799999,48.59131624,69.37166463
metric_TMA_Retiring(%),63.036864650000005,76.81593794950001,54.92462206,76.81857153
metric_TMA_..Light_Operations(%),51.1759361225,69.231767189,38.09549406,72.05343095
metric_TMA_....FP_Arith(%),0.20574207500000002,0.227013818,0.16467828,0.23489783
metric_TMA_......FP_Scalar(%),0.056243748999999996,0.14103397450000002,0.001357,0.15672122
metric_TMA_......FP_Vector(%),0.027867095499999994,0.07030672650000001,0.00050874,0.07812725
metric_TMA_..Heavy_Operations(%),11.860928528499999,14.303908803000004,4.72956947,16.82912799
