time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000727654,2.20000044,3.60757075,0.00322752,0.4150257,1.15735434,2.40948936,1.9e-07,0.00018237,0.29540403,3.77e-06,1.4e-07,5e-07,2.1e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54468565,0.0,0.0,61.99676384,33.13909578,100.0,0.0,0.0,16.14548244,0.00235859,0.0137413,0.03787815,0.01638774,0.00782835,0.01366226,13.80270478,4.01802116,0.10141902,0.06863325,0.03278577,7.03916967,0.76797191,2.93111466,0.0,0.00065677,0.0001611,0.00322207,0.00132275,0.0,0.00147266,0.0,6.27119777,23.92054762,69.3126925,76.71396057,68.99663635,0.19306244,0.12879767,0.06420668,7.71732422
    10.001453159,2.19999991,3.62144755,0.00323276,0.36504533,1.15951256,2.7393858,1.9e-07,9.048e-05,0.29539796,3.77e-06,1.8e-07,4.8e-07,2.1e-07,0.0,9.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,623.32098765,156.625,19.67116713,0.0,0.0,61.80922023,33.31801613,100.0,0.0,0.0,15.99979729,0.00225498,0.01382849,0.07046138,0.04847998,0.0082623,0.01371139,13.8021702,4.01569047,0.16198259,0.13839614,0.02358645,8.24774451,0.88504966,2.86962249,0.0,0.00065287,0.00017946,0.00341554,0.00125476,0.0,0.00151949,0.0,7.36269485,23.84536955,69.40277656,75.58324984,67.49442352,0.19610378,0.13082732,0.06521851,8.08882632
    15.002114402,2.20000046,3.63021098,0.00324072,0.32210769,1.16085699,3.10455179,1.9e-07,2.11e-06,0.2953993,3.74e-06,1.5e-07,5.1e-07,2.1e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6427816,0.0,0.0,61.75417737,33.37846478,100.0,0.0,0.0,15.9717903,0.00232649,0.01370595,0.03858411,0.01688193,0.0078836,0.0138178,13.89252227,4.00347002,0.78613755,0.53588672,0.25025083,19.68333277,2.28649935,2.86384944,0.0,0.00066199,0.00017437,0.0031303,0.00126913,0.0,0.00157728,0.0,17.39683342,21.73649219,69.36759392,63.46867606,51.57195592,0.23476524,0.15663401,0.07808343,11.89672014
    20.002754070,2.19999958,3.63212371,0.00323177,0.32217935,1.15816424,3.10386121,1.9e-07,4.3e-07,0.29540387,3.81e-06,1.7e-07,4.9e-07,2.1e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.49023989,0.0,0.0,62.00678778,33.12806864,100.0,0.0,0.0,16.08887038,0.00231486,0.01374597,0.03783382,0.01605094,0.00796232,0.013821,13.85223441,4.00707323,0.47695716,0.31880763,0.15814953,13.96143047,1.63008535,3.13915461,0.0,0.00066659,0.00017019,0.00345845,0.00142712,0.0,0.00163194,0.0,12.33134512,22.97370526,69.40991792,69.43336367,59.39010142,0.21406303,0.1428149,0.07119444,10.04326224
    25.003404261,2.20000015,3.63069901,0.00323507,0.32260985,1.16069354,3.09971936,1.9e-07,2.13e-06,0.29539821,3.81e-06,1.6e-07,4.7e-07,2.1e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,368.91549296,0.0,19.66515271,0.0,0.0,62.26748826,32.87610242,100.0,0.0,0.0,15.90071853,0.00224823,0.01373916,0.03775441,0.01594449,0.00791682,0.01389302,13.85452262,4.01643231,0.10072495,0.06730595,0.033419,7.10660561,0.70218087,2.83025746,0.0,0.00064297,0.00014337,0.00330545,0.00116003,0.0,0.00151913,1.998e-05,6.40442473,27.11461046,69.25970453,76.89198344,69.16998444,0.19276812,0.12860112,0.06410881,7.721999
    30.004040809,2.19999995,3.63161062,0.00258932,0.40717373,1.23406275,2.4559541,0.00020068,0.01599403,0.29588435,0.00027309,1.128e-05,0.0069531,0.00087236,1.587e-05,1.389e-05,0.0,0.0,0.0,0.0,0.0,7e-08,734.33333333,56.00438468,19.92578744,0.0,0.0,61.90935168,31.38675744,100.0,0.0,0.0,16.11840384,0.08455577,0.00925689,0.09718719,0.02772574,0.00815345,0.06133014,9.54919967,3.36022304,0.10176771,0.07864128,0.02312643,7.02582009,0.71477056,2.83805125,0.0,0.00821564,0.00230153,0.00351792,0.00151512,3.002e-05,0.38231289,7.38e-06,6.31104953,25.8762424,59.21495821,76.75400551,72.05156014,0.11865311,0.07088074,0.03350749,4.70244537
    35.004676791,2.2,3.63141299,0.00193091,0.54829505,1.38066384,1.82383553,0.00027739,0.04319363,0.32644371,0.00072597,0.00943639,0.01844654,0.00230991,3.369e-05,1.9e-07,0.0,0.0,5e-08,1e-08,0.0,1e-08,1447.96296296,99.8400703,42.28058114,0.0,0.0,61.51767893,28.91814633,100.0,0.0,0.0,8.45424241,0.15151001,0.00508866,0.52843798,0.46244037,0.05515643,0.01084178,5.2944374,2.70573946,2.89801193,2.58919243,0.3088195,36.39429494,16.58967051,10.44586637,0.0,0.06178538,1.16812669,4.50384992,0.46653082,0.0,0.55787875,4.30519879,19.80462443,20.44845274,49.36518593,52.25327045,42.98771027,0.02701206,0.00134981,0.00049467,9.26556018
    40.005296342,2.19999997,3.63145743,0.00193424,0.54940236,1.38372117,1.82015963,0.00027926,0.04308421,0.32545348,0.00072491,0.00942945,0.01875743,0.00234053,2.822e-05,2e-07,0.0,0.0,5e-08,0.0,0.0,1e-08,0.0,100.2763466,42.45821042,0.0,0.0,61.84117102,28.47012735,100.0,0.0,0.0,8.09681346,0.13970792,0.00570751,0.51335187,0.45355393,0.0495003,0.01029764,5.27109173,2.71028633,2.93118671,2.64275933,0.28842738,36.47293122,16.76632949,10.36624858,0.0,0.0638934,1.2539657,4.97812813,0.35831454,0.0,0.55476284,4.14396703,19.70660173,20.47869178,49.20073081,52.49907468,43.27231296,0.02111982,0.00133676,0.00048975,9.22676173
    45.005905802,2.19999997,3.6315938,0.00195887,0.54756856,1.40154594,1.82625533,0.00027889,0.04312641,0.32570042,0.0007262,0.00949144,0.01876432,0.0023445,3.802e-05,2.1e-07,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,116.04098361,41.07582227,0.0,0.0,61.09022379,28.60382924,100.0,0.0,0.0,8.18723113,0.13858922,0.44706086,0.53648672,0.47485122,0.05164537,0.00998915,5.30234422,2.70125185,2.93212307,2.64450375,0.28761932,36.70624831,16.82359645,10.12247711,0.0,0.06351792,1.26796781,4.93314343,0.36258458,0.0,0.52930393,4.13607295,19.88265186,20.29544004,49.15066219,52.17442021,43.02205279,0.02234226,0.00134621,0.00049306,9.15236742
    50.006527178,2.20000002,3.63069882,0.00194476,0.54867554,1.39199158,1.82257077,0.00027446,0.04320375,0.32640856,0.00072498,0.0094405,0.01882159,0.00235999,3.848e-05,2.1e-07,0.0,0.0,0.0,0.0,0.0,1e-08,5334.1,106.25369458,45.05722294,0.0,0.0,59.87788616,28.53511891,100.0,0.0,0.0,8.47409877,0.14548542,1.56157106,0.52765643,0.46230528,0.05531669,0.01003498,5.37072457,2.70205956,2.85482035,2.54973436,0.305086,36.45460695,16.58144595,10.04845862,0.0,0.06215151,1.21817519,4.81426271,0.38831754,0.0,0.63064878,4.30576806,19.87316099,20.4561657,49.40492834,52.2163175,43.01566464,0.02444239,0.00134254,0.00049141,9.20065286
