metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.2000000495000003,2.200001489,2.19999804,2.20000166
metric_CPU utilization %,3.6309245769999996,3.632464028,3.62225638,3.63292474
metric_CPU utilization% in kernel mode,0.005738109999999999,0.006690903500000046,0.00169593,0.06843204
metric_CPI,0.44852065999999996,0.535459291,0.32202698,0.54072326
metric_kernel_CPI,1.1774747195,1.22819263,0.95115044,1.25007835
metric_IPC,2.356116373,3.1038297265,1.84937484,3.1053299
metric_locks retired per instr,0.0006698804999999999,0.0013014090000000003,2e-07,0.00159095
metric_L1D MPI (includes data+rfo w/ prefetches),0.019133879,0.0327978095,4.8e-07,0.03291807
metric_L1D demand data read hits per instr,0.30933400800000005,0.319407292,0.29535812,0.31975579
metric_L1-I code read misses (w/ prefetches) per instr,0.0004289115,0.000735627,3.31e-06,0.00074146
metric_L2 demand data read hits per instr,0.0043452939999999995,0.0073378125,2e-07,0.00736902
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0079667265,0.013780127999999999,4.7e-07,0.01387851
metric_L2 demand data read MPI,0.0008483375000000002,0.001468654,2.1e-07,0.00147671
metric_L2 demand code MPI,1.4525999999999998e-05,2.7047e-05,0.0,2.737e-05
metric_ITLB MPI,3.16795e-05,0.00015925350000000002,1.8e-07,0.00016787
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,1.5500000000000003e-08,4.150000000000002e-08,0.0,7e-08
metric_DTLB 4KB page load MPI,1.0500000000000001e-08,3e-08,0.0,3e-08
metric_DTLB 2MB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,1e-09,1.0000000000000143e-09,0.0,2e-08
metric_DTLB load miss latency (in core clks),429.9912249940001,1025.468179551001,0.0,2359.41891892
metric_DTLB store miss latency (in core clks),152.74450262099998,760.92900433,0.0,785.81818182
metric_ITLB miss latency (in core clks),28.090510821499997,40.901235726500005,20.00201433,41.27374586
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),60.909706705,62.1251668105,58.19677208,62.13622881
metric_% Uops delivered from legacy decode pipeline (MITE),33.691142617000004,35.154555169,32.9997098,35.18490271
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),12.879924806,16.343683712500003,10.04300283,16.91269481
metric_TMA_....ICache_Misses(%),0.0792206235,0.13355657,0.00191551,0.134354
metric_TMA_....ITLB_Misses(%),0.070199498,0.07726690300000084,0.00496197,1.21958515
metric_TMA_....Branch_Resteers(%),0.4165205285,0.6631488005000001,0.03717654,0.71980054
metric_TMA_......Mispredicts_Resteers(%),0.33268287750000003,0.5405540115,0.01579392,0.54329878
metric_TMA_......Clears_Resteers(%),0.0399453275,0.06302421849999999,0.0075997,0.06315111
metric_TMA_......Unknown_Branches_Resteers(%),0.043892352499999995,0.06416499200000005,0.01362462,0.12475565
metric_TMA_....MITE(%),9.867510772,13.9164282925,7.11153495,13.91901348
metric_TMA_....DSB(%),3.46147062,4.026892834,3.06395874,4.0409949
metric_TMA_Bad_Speculation(%),1.764340449,2.9090673989999996,0.09659207,2.92914791
metric_TMA_..Branch_Mispredicts(%),1.5643999905000003,2.6138505765,0.06512062,2.64509183
metric_TMA_..Machine_Clears(%),0.1999404575,0.304357987,0.00553404,0.3052477
metric_TMA_Backend_Bound(%),25.395093666,37.129850071999996,7.01921411,37.18547337
metric_TMA_..Memory_Bound(%),10.281888110500002,17.46356013,0.70782986,17.46614736
metric_TMA_....L1_Bound(%),7.943623123499998,11.931159623000003,0.0,14.01188882
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.17609431899999997,0.3452160295000001,0.00065897,0.41415201
metric_TMA_....L2_Bound(%),0.5584562630000001,0.9243056304999999,0.00024202,0.92471281
metric_TMA_....L3_Bound(%),3.7722643920000003,6.507917065,0.00347436,6.60081158
metric_TMA_....MEM_Bound(%),0.015179264000000001,0.025225711500000022,0.00126803,0.05495865
metric_TMA_......MEM_Bandwidth(%),0.0,0.0,0.0,0.0
metric_TMA_......MEM_Latency(%),0.018554997,0.0357384185,0.00156804,0.03964764
metric_TMA_....Store_Bound(%),2.3447999084999998,3.9915087655,0.0,4.00129292
metric_TMA_..Core_Bound(%),15.113205553,20.476825535499998,6.28688052,21.05580675
metric_TMA_....Ports_Utilization(%),22.724253032,24.6947347675,21.57083118,25.37498906
metric_TMA_......Ports_Utilized_3m(%),54.53937118699999,69.24165253400001,42.94096653,69.33469409
metric_TMA_Retiring(%),59.962440861000005,76.788365259,49.99471091,76.80766259
metric_TMA_..Light_Operations(%),52.5300575505,69.1774653925,41.00753743,71.56502805
metric_TMA_....FP_Arith(%),0.112247515,0.20163757150000003,0.04746288,0.23479146
metric_TMA_......FP_Scalar(%),0.056369161999999993,0.13452152700000003,0.00141983,0.15665134
metric_TMA_......FP_Vector(%),0.027892773,0.06706027150000002,0.00052424,0.07809227
metric_TMA_..Heavy_Operations(%),7.4323833095,9.402357662000002,5.24263454,11.93628415
