metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.1999999565,2.2000005220000003,2.19999883,2.20000056
metric_CPU utilization %,7.199846911499999,7.203158204,7.17345753,7.20348147
metric_CPU utilization% in kernel mode,0.027557476500000004,0.10142092450000018,0.00540569,0.35457264
metric_CPI,0.38635208150000006,0.43821041250000003,0.32276309,0.47107856
metric_kernel_CPI,1.2057388375,1.3210945614999998,0.9049494,1.32989615
metric_IPC,2.63127968,3.0979623760000004,2.12278817,3.09824768
metric_locks retired per instr,5.5985e-05,9.18205e-05,1.9e-07,0.00010627
metric_L1D MPI (includes data+rfo w/ prefetches),0.009080782499999999,0.015581999000000001,5.7e-07,0.01563784
metric_L1D demand data read hits per instr,0.301401846,0.306433518,0.29431377,0.30651727
metric_L1-I code read misses (w/ prefetches) per instr,0.000181941,0.000307892,3.06e-06,0.00031686
metric_L2 demand data read hits per instr,0.0018964654999999997,0.0031813300000000004,2.4e-07,0.0031819
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0045174415,0.0076847174999999995,5.1e-07,0.00769474
metric_L2 demand data read MPI,0.000731617,0.0012436285,2.1e-07,0.00124379
metric_L2 demand code MPI,1.2757999999999999e-05,2.1626e-05,0.0,2.174e-05
metric_ITLB MPI,1.0054999999999997e-06,4.203500000000003e-06,3.5e-07,7.5e-06
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,1e-09,1.0000000000000143e-09,0.0,2e-08
metric_DTLB 4KB page load MPI,2.9999999999999996e-09,1.2000000000000028e-08,0.0,5e-08
metric_DTLB 2MB large page load MPI,1e-09,1.0000000000000143e-09,0.0,2e-08
metric_DTLB 1GB large page load MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB store MPI,1.4999999999999998e-09,1.500000000000021e-09,0.0,3e-08
metric_DTLB load miss latency (in core clks),8687.449717523003,26379.09812500002,0.0,50938.7
metric_DTLB store miss latency (in core clks),107.82379636150002,208.4851753410001,0.0,288.975
metric_ITLB miss latency (in core clks),29.618670244500002,38.139458998500004,19.91576439,41.92378758
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),61.807568423,62.708804723,59.7627767,62.70988588
metric_% Uops delivered from legacy decode pipeline (MITE),32.348904247,34.054072326500005,30.89734989,34.08767813
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),13.539441014500003,17.120278168000002,11.28005968,17.20238055
metric_TMA_....ICache_Misses(%),0.10630819299999998,0.178042397,0.0015755,0.17910254
metric_TMA_....ITLB_Misses(%),0.23937439250000003,1.0617266275000004,0.00767544,1.65955778
metric_TMA_....Branch_Resteers(%),0.216899614,0.3372205405,0.03585134,0.38959766
metric_TMA_......Mispredicts_Resteers(%),0.082555506,0.12359825250000003,0.01455706,0.1719666
metric_TMA_......Clears_Resteers(%),0.06704635,0.11030821800000001,0.00733912,0.11671498
metric_TMA_......Unknown_Branches_Resteers(%),0.067288138,0.1016727755,0.01391836,0.11217988
metric_TMA_....MITE(%),11.234903015,14.067012760499999,9.29208862,14.11116782
metric_TMA_....DSB(%),3.4794843175,3.941751358,3.0912817,3.94333402
metric_TMA_Bad_Speculation(%),0.6530436115,1.0453601255,0.09875096,1.07422066
metric_TMA_..Branch_Mispredicts(%),0.354369077,0.5560110560000001,0.06554159,0.63990947
metric_TMA_..Machine_Clears(%),0.29867453499999996,0.492829271,0.00982397,0.50391522
metric_TMA_Backend_Bound(%),18.4479565665,26.321452335500002,6.1305646,27.14445625
metric_TMA_..Memory_Bound(%),6.5999121590000005,10.521119125,0.81207177,10.89128197
metric_TMA_....L1_Bound(%),5.925453868999999,7.5796086965,3.26480736,7.58072925
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.018236038000000003,0.02537134300000013,0.00029204,0.20027913
metric_TMA_....L2_Bound(%),0.48816835350000004,0.819661719,0.00024832,0.82031017
metric_TMA_....L3_Bound(%),0.9894992049999999,1.656273224,0.00244614,1.6576926
metric_TMA_....MEM_Bound(%),1.444607752,2.424316236,0.00065883,2.42913
metric_TMA_......MEM_Bandwidth(%),0.1567306215,0.270054418,0.0,0.27255098
metric_TMA_......MEM_Latency(%),1.9942024379999999,3.3322027769999996,0.00079874,3.33280673
metric_TMA_....Store_Bound(%),1.9623539664999998,3.3261053955,0.0,3.33226397
metric_TMA_..Core_Bound(%),11.848044406,16.272996778499998,5.30926281,16.64962425
metric_TMA_....Ports_Utilization(%),22.2952942005,24.4645512955,20.81503109,25.41090511
metric_TMA_......Ports_Utilized_3m(%),61.18450950900001,69.06109092199999,55.33680813,69.10443148
metric_TMA_Retiring(%),67.36212640549999,76.56172850699998,60.45551376,76.60533782
metric_TMA_..Light_Operations(%),59.70953745749999,69.02532413600001,52.30211964,70.45536229
metric_TMA_....FP_Arith(%),0.1529639015,0.19505919000000002,0.12363233,0.19634986
metric_TMA_......FP_Scalar(%),0.10121489849999998,0.13046105,0.08103621,0.13099134
metric_TMA_......FP_Vector(%),0.050369502499999996,0.064708993,0.04032239,0.0653009
metric_TMA_..Heavy_Operations(%),7.652588948,8.024878343000001,6.10407099,9.13415027
