time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.001143473,2.19999888,7.18307609,0.00643358,0.35017728,1.14980151,2.85569637,1.9e-07,5.599e-05,0.29436599,3.36e-06,2.3e-07,6.2e-07,2.1e-07,0.0,9.1e-07,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,38.97048406,19.94061121,0.0,0.0,60.91604836,34.21712668,100.0,0.0,0.0,16.71067835,0.00179749,0.01355163,0.09267572,0.0695198,0.00881918,0.01432335,14.04147743,3.92582463,0.09785299,0.08683698,0.01101602,6.6575407,0.8861764,3.61069588,0.0,0.00063166,0.00021028,0.00261551,0.00066951,0.0,0.00073051,0.00011141,5.77136431,23.48405067,68.99233823,76.53402735,68.8812948,0.1943158,0.12963363,0.06462398,7.65273254
    10.001973765,2.19999988,7.20222597,0.00648928,0.323062,1.16539726,3.09538107,1.9e-07,5.6e-07,0.29435912,3.35e-06,2.2e-07,6.3e-07,2.3e-07,0.0,8.9e-07,0.0,2e-08,0.0,0.0,0.0,0.0,63.30422265,0.0,20.47811138,0.0,0.0,61.21294372,33.92626394,100.0,0.0,0.0,16.54708553,0.00179522,0.01398709,0.1368389,0.11338824,0.00914975,0.01427528,14.04256554,3.93150531,0.13250889,0.12261463,0.00989426,7.54308437,1.0028505,3.59224227,0.0,0.00063602,0.00020223,0.00228595,0.00066451,0.0,0.00086448,0.0,6.54023387,23.37548208,69.04594953,75.77267419,67.91875895,0.19623456,0.13091425,0.06526231,7.85391524
    15.002762679,2.20000015,7.20237192,0.00659959,0.32309827,1.18511627,3.09503356,1.9e-07,9.3e-07,0.2943137,3.44e-06,2.1e-07,6.3e-07,2.1e-07,0.0,9.1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96679218,0.0,0.0,61.1091185,34.02805803,100.0,0.0,0.0,16.63806557,0.00183685,0.01381243,0.03698051,0.01502063,0.00756261,0.01439708,14.05380814,3.91531202,0.4819425,0.32055099,0.16139151,14.70629574,2.05419764,3.60102861,0.0,0.00063986,0.00017291,0.00247235,0.00068111,0.0,0.00080615,0.0,12.65209809,22.09939106,69.07293807,68.11478709,57.86540432,0.21925472,0.14628042,0.07292266,10.24938277
    20.003522262,2.20000053,7.2023646,0.00667178,0.32276568,1.19263202,3.09822282,1.9e-07,5.4e-07,0.29431817,3.28e-06,2e-07,5.5e-07,2.1e-07,0.0,9.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.87863425,0.0,0.0,61.48439933,33.66166247,100.0,0.0,0.0,16.70123991,0.00178649,0.01373092,0.03686102,0.01499441,0.00747914,0.0143868,14.02608689,3.92718511,0.30120335,0.20096368,0.10023967,10.88447759,1.49240037,3.6656989,0.0,0.00062457,0.00016705,0.00230447,0.00066392,7.77e-06,0.00126111,1.8e-07,9.39207722,22.76019814,69.08929642,72.08488591,63.06083263,0.20675412,0.13793588,0.06876277,9.02405328
    25.004299396,2.19999975,7.20139136,0.00658975,0.32293237,1.18490802,3.09662356,1.9e-07,8.6e-07,0.29431602,3.28e-06,2.1e-07,5.4e-07,1.9e-07,0.0,9.8e-07,0.0,9e-08,0.0,0.0,0.0,0.0,37.91160127,0.0,20.71509609,0.0,0.0,61.05399394,34.08261048,100.0,0.0,0.0,17.31252552,0.0018285,0.01420098,0.03692966,0.01504508,0.00751521,0.01436938,14.1071659,3.92239124,0.0992482,0.06618696,0.03306123,6.10091548,0.89151315,4.51652499,0.0,0.00064039,0.00017496,0.00237196,0.0006316,0.0,0.00077402,0.0,5.20940233,23.53169921,69.17469971,76.52193564,68.86949553,0.19434144,0.12965077,0.06463247,7.65244011
    30.005053361,2.1999991,7.20349921,0.0059612,0.35851069,1.2218813,2.7893171,2.051e-05,0.00507186,0.29431443,0.0002107,2.1e-07,0.00177759,0.000146,1.664e-05,8.7e-07,0.0,7e-08,1e-08,0.0,0.0,0.0,87.13726178,153.74040219,23.39698524,0.0,0.0,58.59281968,33.97415365,100.0,0.0,0.0,17.90767471,0.07895146,0.01142158,0.06397519,0.01493589,0.00748043,0.04156066,12.33174563,3.64674664,0.09862909,0.06571611,0.03291298,5.43186616,0.83626908,5.21284749,0.0,0.00044456,0.00017082,0.00233389,0.00063284,0.0,0.02660238,0.0,4.59559708,23.76398427,64.86064527,76.62298298,70.43629992,0.19288005,0.09746833,0.04855837,6.18668306
    35.005839232,2.20000181,7.20300954,0.00537075,0.40868236,1.27790083,2.44688807,4.638e-05,0.0121524,0.30477188,0.00051673,0.0033662,0.0039856,0.00034086,3.787e-05,6.8e-07,0.0,2e-08,2e-08,0.0,0.0,1e-08,384.92950899,152.9856,26.60176003,0.0,0.0,56.23903474,33.49069232,100.0,0.0,0.0,17.75431016,0.15904646,0.01314362,0.69928877,0.6435966,0.0140415,0.04164894,10.69412913,3.36652157,3.46778997,3.39374777,0.07404221,12.53546555,2.44862322,4.67092861,0.0,0.00437601,0.47957907,0.56118878,0.02838917,0.0,0.04298697,0.97903491,10.08684233,25.33783928,60.26511462,66.24243334,55.59637688,0.19881513,0.07577197,0.03770194,10.64605646
    40.006592873,2.19999988,7.20218721,0.00534367,0.40858166,1.27786828,2.44749118,4.58e-05,0.01227631,0.30407439,0.00048809,0.00343822,0.00402378,0.00033151,3.838e-05,6.5e-07,0.0,3e-08,3e-08,0.0,0.0,1e-08,425.45805414,126.16223909,25.03817185,0.0,0.0,56.29894232,33.44454218,100.0,0.0,0.0,17.7391827,0.1578387,0.01022855,0.62860184,0.57494831,0.01489352,0.03875998,10.67348047,3.36712198,3.15198977,3.07240193,0.07958784,12.82081835,2.55316141,4.65164401,0.0,0.00445197,0.50204787,0.72318819,0.01635481,0.0,0.03954107,0.99121754,10.26765695,25.48274074,60.22637986,66.28805165,55.62514964,0.20329967,0.07563405,0.03763311,10.66290201
    45.007363368,2.19999955,7.20288561,0.00514511,0.40851765,1.22925059,2.44787466,0.00010242,0.01196154,0.30414376,0.00043453,0.002971,0.00384226,0.00030009,3.395e-05,6.6e-07,0.0,3e-08,4e-08,0.0,0.0,1e-08,646.99035813,172.44362745,23.8590224,0.0,0.0,55.98404802,33.78703338,100.0,0.0,0.0,17.85732616,0.14220209,0.00943788,0.57826571,0.52824432,0.01627833,0.03374252,10.65581659,3.3845824,2.85794244,2.77250515,0.08543728,12.92682814,2.65459815,4.67748652,0.0,0.00995053,0.46345662,0.8011437,0.00769097,0.0,0.0113126,1.097921,10.27222999,25.0806997,59.7771864,66.35784616,55.61299359,0.20755088,0.07541395,0.0375237,10.74485256
    50.008112935,2.20000055,7.20318192,0.00519213,0.40856445,1.23289972,2.44759427,0.00010253,0.01210723,0.30364948,0.00045456,0.00337625,0.00382527,0.00030274,3.4e-05,6.8e-07,0.0,3e-08,2e-08,0.0,0.0,1e-08,527.6155208,179.12348401,26.11840632,0.0,0.0,56.34868891,33.43813432,100.0,0.0,0.0,17.78846664,0.1429892,0.00964681,0.56460537,0.51571242,0.01581452,0.03307705,10.58593451,3.413148,2.87018642,2.78478977,0.08539665,12.97863844,2.67402741,4.72706322,0.0,0.00964448,0.45323238,0.74598798,0.02475183,5.18e-06,0.01134826,1.11113247,10.30461103,25.02291024,59.86263054,66.36265878,55.61628588,0.2074965,0.07542946,0.03753147,10.7463729
