metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.2000002094999997,2.2000017095,2.19999905,2.20000303
metric_CPU utilization %,3.6301924965,3.632234923,3.61437635,3.63228856
metric_CPU utilization% in kernel mode,0.06915887899999999,0.4973383225,0.0020038,0.51510755
metric_CPI,0.46268581299999995,0.554193942,0.32191144,0.55445466
metric_kernel_CPI,1.2600455155000003,1.4546264430000002,0.94757185,1.4564296
metric_IPC,2.287273281,3.1046438085,1.80357399,3.10644441
metric_locks retired per instr,4.094699999999999e-05,6.856350000000002e-05,1.9e-07,0.00010226
metric_L1D MPI (includes data+rfo w/ prefetches),0.0206779065,0.035280019,7.3e-07,0.03528076
metric_L1D demand data read hits per instr,0.2970128504999999,0.298108689,0.29537295,0.29810886
metric_L1-I code read misses (w/ prefetches) per instr,0.000427311,0.0007369865,3.32e-06,0.00073901
metric_L2 demand data read hits per instr,0.006062956499999999,0.010192254,2.5e-07,0.01019575
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.006076861500000001,0.010445799,4.7e-07,0.01045357
metric_L2 demand data read MPI,0.00039377600000000003,0.0006787944999999999,2.1e-07,0.00068268
metric_L2 demand code MPI,3.19085e-05,5.5185e-05,0.0,5.737e-05
metric_ITLB MPI,9.575e-07,1.4265000000000066e-06,2.4e-07,1.048e-05
metric_ITLB large page MPI,1e-09,1e-08,0.0,1e-08
metric_DTLB load MPI,2.15e-08,3.550000000000008e-08,0.0,1.4e-07
metric_DTLB 4KB page load MPI,1.5999999999999998e-08,3.050000000000001e-08,0.0,4e-08
metric_DTLB 2MB large page load MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,1.15e-08,2.0500000000000005e-08,0.0,3e-08
metric_DTLB load miss latency (in core clks),451.0033988925,876.4491892985002,0.0,1156.54590164
metric_DTLB store miss latency (in core clks),124.61722139049998,225.42208426950006,0.0,285.58612975
metric_ITLB miss latency (in core clks),39.640478431999995,58.635638006,19.81107889,59.84602419
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),56.0878526425,62.300129255,48.66266493,62.33692228
metric_% Uops delivered from legacy decode pipeline (MITE),30.766698694000002,33.215615317,28.90357741,33.2540572
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),18.254765201999998,19.635794124,15.96785148,19.63914238
metric_TMA_....ICache_Misses(%),0.09254527099999998,0.15530433300000004,0.00199459,0.1707113
metric_TMA_....ITLB_Misses(%),0.0768915585,0.1137794440000009,0.00633062,1.30685754
metric_TMA_....Branch_Resteers(%),0.4693326654999999,0.712060673,0.03735976,0.78551986
metric_TMA_......Mispredicts_Resteers(%),0.42268079500000005,0.654723516,0.01358987,0.65480894
metric_TMA_......Clears_Resteers(%),0.0121391655,0.014894955000000001,0.00765746,0.01496706
metric_TMA_......Unknown_Branches_Resteers(%),0.0345104825,0.04760750200000006,0.01488655,0.12535953
metric_TMA_....MITE(%),8.999871727999999,13.85010272,5.4602523,13.85092713
metric_TMA_....DSB(%),3.2299980765000003,4.0356747125,2.67622481,4.03972689
metric_TMA_Bad_Speculation(%),2.4491572544999998,3.94922794,0.09559286,3.96235504
metric_TMA_..Branch_Mispredicts(%),2.3730013665000005,3.8632564135,0.05864862,3.87763093
metric_TMA_..Machine_Clears(%),0.07615588799999999,0.16693892100000002,0.003745,0.18144411
metric_TMA_Backend_Bound(%),14.661940558500001,18.332533399000003,5.84705684,18.33301598
metric_TMA_..Memory_Bound(%),2.807821472,4.0293018485,0.72086848,4.0297506
metric_TMA_....L1_Bound(%),4.330026100500001,5.2072365540000005,2.70153225,5.22012604
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.0073652679999999995,0.012322924000000002,0.00062403,0.01812826
metric_TMA_....L2_Bound(%),0.6523157655,1.0896153695,0.0001991,1.09257176
metric_TMA_....L3_Bound(%),0.4451850220000001,0.7486024295,0.00318117,0.75038576
metric_TMA_....MEM_Bound(%),0.0566999455,0.09787262249999999,0.00128094,0.10178515
metric_TMA_......MEM_Bandwidth(%),6.777499999999999e-06,6.777500000000096e-06,0.0,0.00013555
metric_TMA_......MEM_Latency(%),0.08488836500000001,0.14296822050000002,0.00139222,0.15332475
metric_TMA_....Store_Bound(%),1.0217562180000002,1.7425133105000001,0.0,1.74410647
metric_TMA_..Core_Bound(%),11.854119088,14.308113704499998,5.08915757,14.40023187
metric_TMA_....Ports_Utilization(%),26.996927717000005,28.895397266,22.80825378,28.90315337
metric_TMA_......Ports_Utilized_3m(%),57.92046446600001,69.212108622,49.91734345,69.22976365
metric_TMA_Retiring(%),64.631092864,76.8505612535,58.09099278,76.92099052
metric_TMA_..Light_Operations(%),51.943271771,69.27504332199999,39.63519401,72.20547739
metric_TMA_....FP_Arith(%),0.2307188665,0.250763354,0.19317042,0.25871664
metric_TMA_......FP_Scalar(%),0.055591004999999985,0.143702081,0.00127425,0.14550805
metric_TMA_......FP_Vector(%),0.027556236,0.0716370945,0.00047366,0.0725374
metric_TMA_..Heavy_Operations(%),12.687821092000002,15.642230272000003,4.71551313,18.49786932
