time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000711684,2.19999708,3.6193693,0.00321701,0.35913489,1.13241992,2.78446909,1.9e-07,7.297e-05,0.29539505,3.32e-06,2e-07,5.7e-07,2.2e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12585506,0.0,0.0,61.80611616,33.32446253,100.0,0.0,0.0,15.95104556,0.00204777,0.01388185,0.06871583,0.04740618,0.00813235,0.01316972,13.83436909,4.05428248,0.30618172,0.2613484,0.04483332,10.87978438,1.16483162,2.80645489,0.0,0.00066986,0.00019455,0.0038098,0.00141085,0.0,0.00157911,0.0,9.71495276,23.39106685,69.27575508,72.8361531,63.81481435,0.20411931,0.13617795,0.06788631,9.02133875
    10.001409782,2.20000004,3.63214617,0.0032373,0.32212235,1.13875801,3.10441048,2e-07,4.5e-07,0.29538294,3.13e-06,1.8e-07,5.1e-07,2.1e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.83673469,20.43499961,0.0,0.0,61.90259463,33.22785398,100.0,0.0,0.0,16.09061696,0.0020086,0.01604432,0.03763394,0.01594395,0.00805634,0.01363376,13.84884524,4.03523848,0.50145092,0.33312554,0.16832538,14.32077026,1.64299853,3.0381562,0.0,0.0006568,0.00019046,0.00357663,0.00141121,0.0,0.00158857,0.0,12.67777173,22.71332081,69.22937677,69.04168502,58.84583305,0.21567974,0.14389448,0.0717331,10.19585197
    15.002058400,2.19999995,3.63052788,0.00323265,0.32203712,1.13773453,3.10523209,1.9e-07,2.62e-06,0.29538576,3.23e-06,1.9e-07,5.2e-07,2e-07,0.0,9.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.24377884,0.0,0.0,61.99237223,33.14419727,100.0,0.0,0.0,17.4815042,0.00201341,0.01365208,0.03783859,0.01597104,0.0082272,0.01364007,13.85105475,4.04120222,0.09758508,0.06440698,0.0331781,5.63307611,0.72296404,4.66849285,0.0,0.0006764,0.00025892,0.00392486,0.0017686,0.0,0.00157484,0.0,4.91011207,26.65537608,69.49309699,76.86186721,69.11269319,0.19325028,0.12892256,0.06426952,7.74917403
    20.002704830,2.20000004,3.63153548,0.00322771,0.32216453,1.13607217,3.10400401,2e-07,4.3e-07,0.29539439,3.32e-06,1.71e-06,5.6e-07,2.2e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3490685,0.0,0.0,62.09921521,33.03986097,100.0,0.0,0.0,16.02616579,0.00209995,0.01420361,0.0371867,0.01581059,0.00751407,0.01386114,13.8281078,4.02872214,0.09874815,0.06693631,0.03181184,7.0780879,0.70842952,2.85912293,0.0,0.00067315,0.00020651,0.00352072,0.00142203,0.0,0.00161876,0.0,6.36965838,27.01083102,69.22625748,76.79705757,69.06023602,0.1933039,0.12895849,0.06428732,7.73682155
    25.003339829,2.19999996,3.6305304,0.00322271,0.32242813,1.13558889,3.10146634,1.9e-07,2.15e-06,0.29538734,3.29e-06,1.979e-05,4.8e-07,2.1e-07,0.0,3.678e-05,0.0,3e-08,0.0,0.0,0.0,0.0,77.6113307,0.0,20.02842538,0.0,0.0,61.94929374,33.18833432,100.0,0.0,0.0,15.9131677,0.00205387,0.01432308,0.0374979,0.01584484,0.0080694,0.01358377,13.88172388,4.03217336,0.09641215,0.06387973,0.03253242,7.13113646,0.74972649,2.82513832,0.0,0.00068075,0.00295384,0.00339109,0.00229776,0.0,0.00179096,0.0,6.38140997,24.06442361,69.34061242,76.85929541,69.12039928,0.19295086,0.12872301,0.06416968,7.73889613
    30.003983165,2.19999908,3.63154851,0.00253756,0.36886467,1.18540378,2.71102135,0.00021719,0.00914426,0.2953993,0.00033598,1.4e-07,0.00436483,0.00038752,2.443e-05,0.00018764,0.0,1.6e-07,1e-08,0.0,0.0,4e-08,72.78173134,54.74118885,20.01627912,0.0,0.0,62.21243541,32.44568358,100.0,0.0,0.0,16.21347503,0.12726617,0.00937875,0.09034135,0.01593758,0.00741872,0.06698586,11.58100117,3.84951905,0.09895161,0.06752135,0.03143026,6.8763299,0.74054346,2.90825457,0.0,0.00987729,0.00019146,0.00350319,0.00135294,0.0,0.01855405,0.0,6.13578644,23.69281721,60.05142656,76.81145097,71.01006084,0.12050036,0.06502654,0.03235552,5.80139013
    35.004618312,2.2000011,3.63190013,0.00183576,0.47625554,1.26646943,2.09971312,0.00060888,0.03035505,0.30963736,0.00075835,0.00750351,0.01097239,0.00098849,4.205e-05,0.00011255,0.0,4e-08,2e-08,0.0,0.0,4e-08,334.40302539,58.25925926,20.03588167,0.0,0.0,62.80470136,31.45188,100.0,0.0,0.0,13.28742127,0.19448184,0.00578153,0.92864019,0.67526485,0.05615912,0.19742852,9.38524295,3.58993654,3.56620334,3.29238837,0.27381496,28.08436238,10.46548283,7.77180264,0.0,0.14542931,1.0461864,4.15517121,0.02705002,4e-06,0.03006761,3.09515066,17.61887955,23.29150094,50.26579395,55.06187461,48.12994867,0.03936044,0.00151659,0.00058703,6.93192594
    40.005246052,2.19999945,3.6308968,0.00173838,0.47653994,1.2012974,2.09845998,0.00127823,0.03064845,0.31023584,0.00069044,0.00751454,0.01119605,0.0010203,2.191e-05,2e-07,0.0,1e-08,1e-08,0.0,0.0,2e-08,1020.25984252,66.39125152,45.94210302,0.0,0.0,62.65979722,31.87587771,100.0,0.0,0.0,12.63451281,0.13451982,0.00465691,0.92298827,0.55313421,0.05960643,0.31092323,8.86000358,3.56258409,3.0643457,2.76625108,0.29809463,29.68243274,11.65392989,8.35944868,0.0,0.2930802,1.04831806,4.71725596,0.02300188,0.0,0.03577327,3.05111411,18.02850284,23.09894773,49.64998126,54.61872202,47.77325634,0.03902051,0.00141219,0.0005349,6.84546568
    45.005864634,2.19999979,3.63187567,0.00172859,0.47708043,1.19380518,2.09608261,0.00114959,0.03064536,0.3102094,0.0006866,0.00752124,0.01119873,0.00102261,2.226e-05,1.9e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,1327.80874317,0.0,45.43588032,0.0,0.0,62.61903215,31.91609107,100.0,0.0,0.0,12.61095522,0.13110125,0.00504254,0.6947902,0.55081321,0.05925584,0.08471915,8.84408378,3.56507047,3.04837054,2.75228313,0.29608741,29.66521168,11.67646784,8.43239678,0.0,0.26818749,1.04895283,4.72201766,0.02163881,0.0,0.03044187,3.04787827,17.98874383,23.09444251,49.54269906,54.67539298,47.82614608,0.03901972,0.00141186,0.0005348,6.84924689
    50.006496140,2.20000071,3.63148959,0.00172882,0.47699261,1.19531168,2.09646852,0.00068339,0.03057977,0.31002569,0.00068114,0.00750996,0.01117843,0.00101781,2.216e-05,1.9e-07,0.0,0.0,1e-08,0.0,0.0,0.0,2703.31147541,177.83168317,40.94178318,0.0,0.0,62.73087282,31.81592364,100.0,0.0,0.0,12.62248254,0.13127129,0.00490739,0.69673372,0.55604237,0.05855434,0.08213463,8.89119415,3.56480435,3.04514206,2.75502289,0.29011917,29.63796733,11.62136219,8.4175301,0.0,0.16937832,1.04890306,4.63245519,0.02311241,0.0,0.03975564,3.04157509,18.01660513,23.10512784,47.18897353,54.69436789,48.00077577,0.03895734,0.00141037,0.00053349,6.69359212
    55.007123375,2.19999988,3.63155764,0.00173336,0.47710815,1.19754794,2.09596085,0.0006798,0.03056727,0.30996078,0.00066193,0.00749766,0.00985449,0.00089899,2.239e-05,1.9e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,1785.0,260.27777778,44.31785959,0.0,0.0,62.67466766,31.86250972,100.0,0.0,0.0,12.62728256,0.12018876,0.00507428,0.69442335,0.55750937,0.05910434,0.07780872,8.86671237,3.56351634,3.02551841,2.73551306,0.29000535,29.69922648,11.64189861,8.38734932,0.0,0.16876679,1.04922502,4.66635266,0.02301472,0.0,0.03119889,3.03247849,18.05732787,23.12854757,47.31328285,54.64802149,47.94333693,0.11690536,0.06038594,0.0192807,6.70468455
    60.007755534,2.19999977,3.63150158,0.00175891,0.47701312,1.21417588,2.0963784,0.000683,0.03055757,0.30987142,0.00065069,0.00750062,0.00920333,0.00083865,2.197e-05,1.8e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,1378.22413793,180.21138211,41.43895487,0.0,0.0,62.63141295,31.91028556,100.0,0.0,0.0,12.64233956,0.1303864,0.005096,0.7012401,0.56221641,0.05780367,0.08121795,8.8453212,3.5641745,3.0452933,2.76138454,0.28390876,29.55637047,11.56461143,8.41342284,0.0,0.16919515,1.04673313,4.60604213,0.02098757,0.0,0.02942803,3.03424317,17.99175904,23.13764813,49.56545823,54.75603108,47.89544852,0.0390484,0.00140674,0.00053235,6.86058256
    65.008371896,2.20000065,3.63114623,0.00172225,0.4776271,1.18966503,2.09368353,0.00068585,0.03057209,0.30991187,0.00067196,0.00749427,0.01051113,0.0009617,1.917e-05,2e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,841.70789866,289.08196721,42.88826995,0.0,0.0,62.68659051,31.86846695,100.0,0.0,0.0,12.61969638,0.12844738,0.0052401,0.69653913,0.55859129,0.05933383,0.07860889,8.87176303,3.56461491,3.03544216,2.74397575,0.29146641,29.6788282,11.66793377,8.47348383,0.0,0.17001226,1.04755555,4.66988369,0.02037221,0.0,0.03144028,3.03606456,18.01089443,23.09774856,49.54872474,54.66601914,47.82227487,0.03896504,0.00140851,0.0005331,6.84374426
    70.009022223,2.20000001,3.6319004,0.00172625,0.47755666,1.19298283,2.09399235,0.00068309,0.03057465,0.30988628,0.00069034,0.00750617,0.01115349,0.00101353,2.376e-05,2.9e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,1183.35346756,377.36170213,63.83303033,0.0,0.0,62.71047427,31.83864144,100.0,0.0,0.0,12.64710416,0.13753637,0.00710455,0.69644707,0.55700088,0.05856615,0.08088112,8.86915508,3.5618362,3.04670922,2.75683984,0.28986937,29.62579283,11.57465491,8.29697619,0.0,0.16947854,1.04722487,4.65108661,0.02010406,0.0,0.02831332,3.03451786,18.05113792,23.11675419,49.66662449,54.6803969,47.82148723,0.03907692,0.0014115,0.00053388,6.85890967
    75.009630453,2.20000007,3.63084652,0.00172474,0.47763912,1.19266285,2.09363087,0.00068296,0.03057633,0.30989511,0.00068511,0.00749614,0.01118259,0.00102126,2.386e-05,4.8e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,1900.16901408,584.22580645,50.34771551,0.0,0.0,61.35366537,31.16580581,100.0,0.0,0.0,12.64894366,0.13780563,1.13451797,0.69755212,0.55937755,0.05834599,0.07982657,8.88018242,3.5638484,3.06048772,2.77141475,0.28907297,29.68337872,11.61012463,8.31155727,0.0,0.16952186,1.04332744,4.65261694,0.01922832,0.0,0.02928428,3.04097717,18.07325409,23.08236826,49.62081076,54.60738605,47.75568448,0.03897307,0.00141141,0.00053422,6.85170157
    80.010247217,2.2000003,3.63228295,0.00173776,0.47693526,1.20069113,2.09672063,0.00068271,0.030563,0.30999421,0.00067987,0.00749838,0.0111583,0.0010148,2.427e-05,4.7e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,1640.16307692,0.0,49.25194994,0.0,0.0,62.58202002,31.69067589,100.0,0.0,0.0,12.63965653,0.13532116,0.15524411,0.70023571,0.56022712,0.05841161,0.08159241,8.83996725,3.56967637,3.07445535,2.78416655,0.2902888,29.61954878,11.64151176,8.43888654,0.0,0.16971018,1.05035371,4.68868874,0.02260308,0.0,0.03016445,3.03965329,17.97803702,23.10914743,49.61403184,54.66635822,47.81850979,0.03894012,0.00141059,0.00053385,6.84784843
