metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.200000033125,2.2000012895,2.19999831,2.20000208
metric_CPU utilization %,3.63067136453125,3.6324699684999997,3.61638914,3.63295064
metric_CPU utilization% in kernel mode,0.0065388832812499995,0.003647343499999999,0.00202462,0.14571684
metric_CPI,0.42621972343750003,0.530446459,0.32189453,0.57578453
metric_kernel_CPI,1.2943095259375,1.6176672814999995,0.87639925,1.68775273
metric_IPC,2.48121235796875,3.1055473465,1.7367608,3.10660757
metric_locks retired per instr,8.574312499999998e-05,0.00044499999999999857,1.9e-07,0.00087212
metric_L1D MPI (includes data+rfo w/ prefetches),0.016779020625,0.0371006465,4.6e-07,0.03713492
metric_L1D demand data read hits per instr,0.30622747578125,0.318654241,0.2953567,0.31875616
metric_L1-I code read misses (w/ prefetches) per instr,0.00050093984375,0.0020201174999999977,3.21e-06,0.00217034
metric_L2 demand data read hits per instr,0.0042592293750000005,0.009287696500000001,1.7e-07,0.0092956
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.006514918749999999,0.014289800499999998,4.6e-07,0.01439498
metric_L2 demand data read MPI,0.00069078078125,0.001456253,2e-07,0.00152712
metric_L2 demand code MPI,1.63359375e-05,5.0654e-05,0.0,5.211e-05
metric_ITLB MPI,2.754234375e-05,0.00013755299999999992,2.1e-07,0.00067533
metric_ITLB large page MPI,3.125e-10,0.0,0.0,1e-08
metric_DTLB load MPI,7.8125e-09,2.849999999999994e-08,0.0,2.5e-07
metric_DTLB 4KB page load MPI,3.59375e-09,1.8499999999999944e-08,0.0,8e-08
metric_DTLB 2MB large page load MPI,3.125e-10,0.0,0.0,2e-08
metric_DTLB 1GB large page load MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB store MPI,4.687500000000001e-10,0.0,0.0,1e-08
metric_DTLB load miss latency (in core clks),716.7768120879687,2330.9712499999996,0.0,4507.2
metric_DTLB store miss latency (in core clks),82.9511073553125,423.72990741149965,0.0,541.28571429
metric_ITLB miss latency (in core clks),28.896100640468752,54.17926901749998,19.72839127,63.94716603
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),60.245382393125,62.3457790605,46.26479128,63.27399706
metric_% Uops delivered from legacy decode pipeline (MITE),31.6171785553125,39.788045932999964,27.46706017,41.09987842
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),13.6873538753125,17.1874409415,9.54983471,17.927734
metric_TMA_....ICache_Misses(%),0.09931329359374999,0.3038712815,0.00190931,0.32949277
metric_TMA_....ITLB_Misses(%),0.02945416921875,0.016251663999999992,0.00523556,0.87109823
metric_TMA_....Branch_Resteers(%),0.4280197396875,1.2847145524999988,0.0364517,1.55790525
metric_TMA_......Mispredicts_Resteers(%),0.324272410625,1.0543588669999988,0.01457308,1.09212118
metric_TMA_......Clears_Resteers(%),0.03236718609375,0.07492002799999999,0.00749269,0.08858824
metric_TMA_......Unknown_Branches_Resteers(%),0.0714859490625,0.377436058499999,0.01356512,0.53113289
metric_TMA_....MITE(%),9.8048970521875,13.874914922000002,5.22045294,13.98618873
metric_TMA_....DSB(%),3.31297842875,4.0398465095,2.36325122,4.05459871
metric_TMA_Bad_Speculation(%),1.6529250115625,3.9640974735,0.09727068,4.65659963
metric_TMA_..Branch_Mispredicts(%),1.49612719828125,3.6090088355,0.06105868,4.39945538
metric_TMA_..Machine_Clears(%),0.15679781359375,0.293214448,0.00502658,0.35806974
metric_TMA_Backend_Bound(%),18.900297311875,32.019347306,5.29140244,33.46462092
metric_TMA_..Memory_Bound(%),6.01155442546875,12.086650578,0.846553,12.67740241
metric_TMA_....L1_Bound(%),5.7539790696875,7.857885312999999,3.55492668,9.68221885
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.11950978218750001,0.7543267409999986,0.00064266,2.56163487
metric_TMA_....L2_Bound(%),0.67730373046875,1.4975563109999999,0.00018309,1.49967139
metric_TMA_....L3_Bound(%),0.88017316203125,1.8391171210000001,0.00320982,1.87635706
metric_TMA_....MEM_Bound(%),0.2399229821875,0.551068201,0.0012783,0.57388404
metric_TMA_......MEM_Bandwidth(%),5.953125e-08,0.0,0.0,3.81e-06
metric_TMA_......MEM_Latency(%),0.34737256437499997,0.7858715804999999,0.00146495,0.81701287
metric_TMA_....Store_Bound(%),2.407609789375,5.201922335,0.0,5.26262205
metric_TMA_..Core_Bound(%),12.888742885625,19.9704583705,4.44221048,20.87768796
metric_TMA_....Ports_Utilization(%),23.23852038375,26.1677243115,21.13424188,28.50267127
metric_TMA_......Ports_Utilized_3m(%),60.28278770734374,69.407339027,48.95940536,69.5576404
metric_TMA_Retiring(%),65.76549593890626,76.8416310545,53.18168327,76.89006954
metric_TMA_..Light_Operations(%),56.50536720578125,69.2770111925,40.78810588,72.00458563
metric_TMA_....FP_Arith(%),0.13056244671875,0.22156688949999997,0.02033465,0.23622079
metric_TMA_......FP_Scalar(%),0.0702868515625,0.13908046399999996,0.00107512,0.15760541
metric_TMA_......FP_Vector(%),0.034585284375,0.064515891,0.00039262,0.07856783
metric_TMA_..Heavy_Operations(%),9.260128734375002,12.011527658,4.76186036,13.60960929
