time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000713886,2.20000116,3.62088084,0.00326109,0.36115072,1.16357741,2.76892705,1.9e-07,7.547e-05,0.29540428,3.28e-06,2.3e-07,4.7e-07,2e-07,0.0,4.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,21.43424926,0.0,0.0,62.24616131,32.88621323,100.0,0.0,0.0,16.0393639,0.00204477,0.00823038,0.13427567,0.11281614,0.00961874,0.01182132,13.83757746,4.01433718,0.10561714,0.09731964,0.0082975,7.053059,0.76180512,2.93989588,0.0,0.00066765,0.00063574,0.00547587,0.00180722,0.0,0.00151202,0.0,6.29125387,24.26974792,68.83519762,76.80201321,69.07088652,0.19357063,0.1291352,0.06437546,7.73112669
    10.001432441,2.20000013,3.63052848,0.00325679,0.32246435,1.1641696,3.10111797,1.9e-07,4.6e-07,0.29534364,3.3e-06,2e-07,4.7e-07,2.1e-07,0.0,4.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.38574842,0.0,0.0,62.13058118,33.00441225,100.0,0.0,0.0,16.21591045,0.00204532,0.00825533,0.23862587,0.21722028,0.00977943,0.01158571,13.83215713,4.01122305,0.10748038,0.10284999,0.00463039,6.85787238,0.76520782,3.04689792,0.0,0.00066763,0.00017473,0.00343762,0.00132666,0.0,0.00149568,0.0,6.09266456,24.24756401,68.91822469,76.81874303,69.08323472,0.19355442,0.1291244,0.06437004,7.73550831
    15.002108509,2.19999982,3.63187812,0.00325574,0.32276337,1.16406577,3.09824497,1.9e-07,1.08e-06,0.29545936,3.4e-06,2.1e-07,4.7e-07,2e-07,0.0,1.11e-06,0.0,0.0,1e-08,1e-08,0.0,0.0,0.0,0.0,26.97098374,0.0,0.0,62.06287125,33.06821216,100.0,0.0,0.0,16.00606806,0.00199777,0.01027189,0.28562577,0.26230132,0.01001867,0.01325026,13.88242071,4.00225416,0.43806335,0.42194697,0.01611638,13.2703909,1.52581928,3.01585026,0.0,0.00067532,0.00017201,0.00332284,0.00138495,0.0,0.00138966,0.0,11.74457162,23.17067372,68.89208285,70.24137696,60.45222615,0.21217252,0.14155187,0.07056523,9.78915081
    20.002751210,2.20000002,3.63133263,0.00325133,0.32210644,1.16325543,3.10456386,1.9e-07,4.4e-07,0.29537926,3.18e-06,2e-07,5e-07,2e-07,0.0,1.09e-06,0.0,0.0,0.0,0.0,0.0,1e-08,330.55555556,42.14187643,27.05784829,0.0,0.0,61.48870126,33.63107836,100.0,0.0,0.0,16.03828123,0.0019944,0.01282837,0.03835252,0.01452858,0.00921267,0.01461054,13.84386236,4.02244312,0.52662853,0.32227311,0.20435542,14.86845117,1.70441537,2.98574693,0.0,0.00067201,0.00019664,0.00337535,0.00131303,0.0,0.0014903,0.0,13.1640358,22.89188938,68.88384131,68.51544229,58.19803475,0.2175502,0.14514197,0.07235488,10.31740754
    25.003377728,2.20000015,3.63099269,0.00325138,0.32240758,1.16427506,3.10166405,1.9e-07,4.7e-07,0.29537872,3.23e-06,2.1e-07,5.6e-07,2e-07,0.0,1.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.74640434,0.0,0.0,62.00523748,33.12711013,100.0,0.0,0.0,16.8614298,0.00204042,0.01235328,0.03751914,0.01460344,0.0084509,0.01446517,13.83936062,4.02094274,0.10552636,0.06684414,0.03868222,6.16696438,0.7746251,4.15567194,0.0,0.00067201,0.0002111,0.00342144,0.00136594,0.0,0.00162822,9.228e-05,5.39233928,25.46217506,69.05504375,76.90953949,69.1694656,0.19322209,0.12890209,0.06425917,7.74007389
    30.004003323,2.19999932,3.63150763,0.00328223,0.32229687,1.16740255,3.10272947,1.9e-07,1.07e-06,0.2953812,4.83e-06,2.2e-07,1.64e-06,3.3e-07,0.0,1.09e-06,0.0,0.0,0.0,0.0,0.0,1e-08,198.66769231,37.05442903,27.14913459,0.0,0.0,61.97511543,33.1562818,100.0,0.0,0.0,16.03452553,0.0019765,0.01249551,0.03848113,0.01455393,0.0093919,0.0145348,13.82877812,4.00502483,0.09974186,0.06062166,0.0391202,7.14395773,0.70123863,2.93174915,0.0,0.00066113,0.00020637,0.0035503,0.00133514,0.0,0.00154884,7.6e-07,6.4427191,29.14443418,68.88364915,76.72178827,68.9885614,0.19371383,0.12923079,0.06442305,7.73322686
    35.004641802,2.20000068,3.63171939,0.00325517,0.32189369,1.16187836,3.10661575,1.9e-07,4.7e-07,0.29538727,3.11e-06,4.6e-06,5e-07,2e-07,0.0,1.09e-06,0.0,0.0,0.0,0.0,0.0,0.0,2328.95,0.0,26.84897399,0.0,0.0,61.9624175,33.16900316,100.0,0.0,0.0,16.15989772,0.00204749,0.01267397,0.03824401,0.01467979,0.0091363,0.01442729,13.82093259,4.01114492,0.10534971,0.0649356,0.04041411,6.88676786,0.72858465,2.99877991,0.0,0.00066872,0.00545766,0.00352212,0.00291268,0.0,0.00159494,0.0,6.15818321,26.37177292,68.8195724,76.84802018,69.10917782,0.19336015,0.1289947,0.06430535,7.73884237
    40.005280115,2.19999975,3.63179132,0.0032465,0.32186228,1.16443912,3.10691893,1.9e-07,8.2e-07,0.29538771,3.23e-06,2.2e-07,5.6e-07,2e-07,0.0,4.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,326.85802469,0.0,21.37241569,0.0,0.0,62.26373277,32.87218871,100.0,0.0,0.0,16.0436068,0.00202915,0.01452646,0.03775398,0.01457537,0.00885559,0.01432331,13.8938432,4.00411967,0.10779377,0.06705375,0.04074002,6.99019002,0.7495203,2.88100631,0.0,0.00066771,0.02471559,0.01623793,0.00695076,0.0,0.00151495,0.0,6.24066971,24.29729031,68.89484806,76.85842301,69.09958541,0.19343291,0.12904278,0.06432932,7.75883759
    45.005899766,2.20000088,3.63200306,0.00268098,0.33729709,1.28090083,2.9647454,1.9e-07,0.00495876,0.29538279,3.15e-06,2e-07,4.8e-07,2e-07,0.0,0.00013952,0.0,1e-08,0.0,0.0,0.0,0.0,153.56316916,0.0,19.56597026,0.0,0.0,65.36205785,29.53125301,100.0,0.0,0.0,16.24612225,0.00202831,0.01303986,0.16158037,0.01449176,0.00928966,0.13794971,11.33896496,3.92269555,0.10206887,0.06219803,0.03987084,6.86103609,0.75986282,3.01440844,0.0,0.00066879,0.00324197,0.00341603,0.00216842,0.0,0.00148075,0.0,6.10117328,24.22833517,68.84882407,76.7907311,69.04268006,0.19359871,0.12914618,0.06438096,7.74805104
    50.006521730,2.19999935,3.63082724,0.00207362,0.39277773,1.48368338,2.54596919,0.00035344,0.02339583,0.25956864,0.00054916,0.00633672,0.00797819,0.00059593,3.535e-05,1.4e-07,0.0,2e-08,2e-08,0.0,0.0,7e-08,450.4345193,85.88218794,51.65491699,0.0,0.0,71.58986785,26.13347916,100.0,0.0,0.0,9.59286887,0.18695666,0.00638127,0.98888698,0.61406424,0.03183026,0.34371241,8.8885568,3.8380558,4.4153048,4.1977146,0.2175902,22.97026203,7.22476002,5.84862163,0.0,0.06553383,1.20896683,0.82312156,0.58371503,0.00025621,0.8916837,3.35924921,15.74550201,22.44079174,57.3451187,63.02155775,57.49540923,0.00166243,0.00116051,0.0004298,5.52614852
