time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000719103,2.20000033,3.61407068,0.00317353,0.38378923,1.13397076,2.60559682,1.9e-07,0.00012367,0.29538333,3.3e-06,2.7e-07,4.8e-07,2e-07,0.0,9.2e-07,0.0,1.1e-07,0.0,0.0,0.0,0.0,40.8236668,0.0,22.44413172,0.0,0.0,61.74037776,33.3801043,100.0,0.0,0.0,16.12802711,0.00192194,0.01479868,0.08660954,0.0657123,0.00704631,0.01383833,13.83365546,4.03150414,0.09854157,0.08899831,0.00954326,6.85123654,0.78117257,3.07855097,0.0,0.00064253,0.00025619,0.00320749,0.00127441,0.0,0.00140484,0.0,6.07006397,23.95631457,69.17353154,76.92220172,69.17020791,0.19371835,0.1292348,0.06442541,7.75199381
    10.001435414,2.19999974,3.63082691,0.00318354,0.32157053,1.13495301,3.10973766,1.9e-07,5.9e-07,0.29532755,3.63e-06,1.8e-07,5.8e-07,2e-07,1e-08,9.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.92211487,0.0,0.0,61.87790249,33.24496154,100.0,0.0,0.0,16.1036381,0.00185714,0.01505502,0.13786314,0.11719316,0.0071917,0.01345131,13.86155655,4.01309957,0.33456461,0.31522072,0.01934389,11.28821469,1.33681834,3.11592865,0.0,0.00066763,0.00019064,0.00315945,0.00133785,0.0,0.00161858,0.0,9.95139635,23.22756193,69.06318502,72.24240418,63.08830578,0.20671901,0.13791301,0.06875158,9.1540984
    15.002082638,2.19999974,3.63201087,0.00316771,0.32161692,1.13038384,3.10928911,1.9e-07,9.9e-07,0.29537321,3.3e-06,2.2e-07,4.7e-07,2e-07,0.0,9.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.82533882,0.0,0.0,61.95583186,33.17049402,100.0,0.0,0.0,17.57951424,0.00186904,0.01500445,0.03558107,0.01548803,0.00714341,0.01294941,13.75489852,4.04080888,0.22963873,0.15715534,0.07248339,8.02893761,1.17867816,5.31797945,0.0,0.00064803,0.0002191,0.00329139,0.00128004,0.0,0.00147076,0.0,6.85025945,25.03951773,69.34362878,74.22531068,65.68875253,0.20102089,0.13410939,0.06685548,8.53655815
    20.002721072,2.20000036,3.63131851,0.00316014,0.32165691,1.12872554,3.10890258,3.3e-07,6.3e-07,0.29537106,3.48e-06,1.571e-05,4.9e-07,2e-07,0.0,9.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0075739,0.0,0.0,62.31992692,32.81236609,100.0,0.0,0.0,16.06945991,0.00186377,0.0147985,0.03625038,0.01558517,0.00720853,0.01345612,13.81247817,4.01953043,0.0961792,0.06576245,0.03041676,6.93793965,0.76171207,3.09729048,0.0,0.00072875,0.00025482,0.0030465,0.00131533,0.0,0.00149458,1.92e-06,6.17622758,25.91227463,69.1620973,76.89643522,69.14859264,0.19373202,0.12924403,0.06442996,7.74784258
    25.003367437,2.19999988,3.63089951,0.00316765,0.32177422,1.13428944,3.10776921,1.9e-07,5.8e-07,0.2953606,3.28e-06,6.08e-06,4.9e-07,2e-07,0.0,1.425e-05,0.0,0.0,0.0,0.0,0.0,0.0,2202.73684211,0.0,19.55182157,0.0,0.0,62.10096949,33.02881317,100.0,0.0,0.0,15.97847705,0.00184951,0.01498186,0.03630864,0.01566661,0.00736667,0.01327544,13.84432419,4.01191245,0.09646692,0.06561418,0.03085274,6.93744401,0.79449283,3.08289292,0.0,0.0006524,0.01203763,0.00323867,0.00434592,0.0,0.00147786,0.0,6.14295118,23.94575978,69.25938133,76.98761716,69.22502362,0.19353285,0.12911104,0.06436366,7.76259354
    30.003992316,2.19999963,3.63177213,0.00335753,0.32162758,1.19874461,3.10918607,3.142e-05,1.11e-06,0.29537493,1.047e-05,2.4e-07,7.2e-07,2.2e-07,5.8e-07,0.00012293,0.0,1e-07,4e-08,1e-08,0.0,0.0,67.92833052,0.0,19.58028643,0.0,0.0,61.97982587,33.14615601,100.0,0.0,0.0,16.11198017,0.0030844,0.01464541,0.05818671,0.01556587,0.00710066,0.03553308,13.8270026,4.02328228,0.09812686,0.06738703,0.03073983,6.90220631,0.78586782,3.1007165,0.0,0.1146161,0.00023656,0.00292201,0.00126681,0.0,0.00174551,0.0,6.11633848,23.95122908,68.6415979,76.88773694,69.22387262,0.1945055,0.13011072,0.0643367,7.66386432
    35.004630122,2.20000027,3.63241642,0.0695519,0.32164684,0.96109989,3.10899988,1.9e-07,6e-07,0.29537109,3.4e-06,2.1e-07,4.8e-07,2.1e-07,0.0,9.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93622111,0.0,0.0,58.097578,35.86430144,100.0,0.0,0.0,15.87571635,0.00188322,0.15561172,0.03654649,0.0156076,0.00714922,0.01378916,13.80078329,4.02325536,0.09692435,0.06647486,0.03044949,7.0917263,0.81131513,3.09083732,0.0,0.00065893,0.00026574,0.0031485,0.00132078,0.0,0.00154948,0.0,6.28041117,23.91465217,69.10971362,76.9356572,69.17145555,0.19357103,0.12913664,0.06437636,7.76420166
    40.005254979,2.19999991,3.63057623,0.00335293,0.32185587,1.19726073,3.10698074,1.9e-07,9.1e-07,0.29536672,3.31e-06,2.2e-07,4.7e-07,2.1e-07,0.0,9.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9716365,0.0,0.0,59.95136579,34.67013265,100.0,0.0,0.0,15.95920109,0.00187569,0.01473249,0.03672829,0.01561221,0.00711664,0.01399947,13.65506181,4.01729547,0.09667721,0.06640657,0.03027064,6.95522891,0.8050139,3.13655637,0.0,0.00064146,0.00021892,0.00308004,0.00134324,0.0,0.00147241,0.0,6.15021501,23.95182813,69.03866045,76.98892419,69.21528539,0.1937397,0.12924893,0.06443255,7.7736388
    45.005880080,2.19999875,3.63231332,0.00326575,0.38826385,1.24677359,2.57556816,1.9e-07,0.01363985,0.29537386,3.5e-06,2.2e-07,4.7e-07,2e-07,0.0,9e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.06766917,20.1806916,0.0,0.0,63.14955595,31.10835874,100.0,0.0,0.0,16.23185784,0.00184031,0.01448809,0.03682535,0.01555264,0.00709647,0.01417599,10.11832314,3.3687384,0.09632988,0.06614759,0.0301823,6.64714351,0.77223335,3.13597302,0.0,0.00061969,0.00023165,0.00275882,0.00133441,0.0,0.00151812,0.0,5.87491017,23.95474832,69.13181286,77.02476813,69.26983474,0.20266734,0.12911863,0.06436752,7.7549334
    50.006510766,2.20000193,3.63148802,0.00203116,0.52836431,1.45312706,1.8926335,7.825e-05,0.04236474,0.31654975,0.00067889,0.00897245,0.01975861,0.00296865,3.364e-05,2.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,4350.35,131.59259259,51.67812293,0.0,0.0,63.331982,26.96226196,100.0,0.0,0.0,7.76934408,0.18398818,0.00707558,0.4755772,0.405584,0.06118042,0.00881273,7.38176816,2.65980428,2.6623218,2.31336212,0.34895968,35.48466217,14.91273645,8.33860795,0.0,0.01614823,1.58256688,2.9479035,1.10795264,1.691e-05,1.71670746,4.34760018,20.57192571,21.40353096,50.70921464,54.08367279,44.74533181,0.01648434,0.001274,0.00046536,9.33834098
