metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.0000001099999998,3.0000010270000006,2.99999887,3.00000364
metric_CPU utilization %,3.63056277421875,3.632288004,3.61892833,3.63295471
metric_CPU utilization% in kernel mode,0.049108756718749993,0.2414567855,0.00187751,0.81532016
metric_CPI,0.44222557171874993,0.5664932665,0.32173006,0.61829569
metric_kernel_CPI,1.4509889567187502,2.013607727,0.94368276,2.38896624
metric_IPC,2.4210293025,3.1067450525,1.61734913,3.10819569
metric_locks retired per instr,5.827625e-05,0.00012968899999999967,1.4e-07,0.00057936
metric_L1D MPI (includes data+rfo w/ prefetches),0.017421122812500002,0.0401035415,3.9e-07,0.04012574
metric_L1D demand data read hits per instr,0.3052246771875,0.3175844315,0.29537548,0.3179364
metric_L1-I code read misses (w/ prefetches) per instr,0.00048114046875,0.0019228854999999965,2.67e-06,0.00210273
metric_L2 demand data read hits per instr,0.00402783140625,0.008988940499999999,1.6e-07,0.00900346
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0073596878125,0.016094549,3.8e-07,0.01610723
metric_L2 demand data read MPI,0.0010211496875,0.0021518975,1.7e-07,0.00217129
metric_L2 demand code MPI,1.6479218749999996e-05,5.369149999999999e-05,0.0,5.753e-05
metric_ITLB MPI,1.0132968749999999e-05,6.92254999999999e-05,2.3e-07,0.00019418
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,8.90625e-09,6.699999999999989e-08,0.0,1.5e-07
metric_DTLB 4KB page load MPI,7.96875e-09,5.849999999999994e-08,0.0,1.2e-07
metric_DTLB 2MB large page load MPI,4.687500000000001e-10,0.0,0.0,1e-08
metric_DTLB 1GB large page load MPI,3.125e-10,0.0,0.0,1e-08
metric_DTLB store MPI,3.90625e-09,2.6999999999999884e-08,0.0,7e-08
metric_DTLB load miss latency (in core clks),760.3209677037501,4034.5912871869964,0.0,5870.925
metric_DTLB store miss latency (in core clks),215.00514360015626,944.0299999999994,0.0,1854.7
metric_ITLB miss latency (in core clks),36.513527441406254,74.0572805665,19.36012637,84.04326673
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),60.37452652984375,62.310717409,43.78120806,62.96357
metric_% Uops delivered from legacy decode pipeline (MITE),31.552755185312503,35.11982586549999,27.23630531,40.96098919
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),13.14166446,16.9946621285,8.0722097,17.54009673
metric_TMA_....ICache_Misses(%),0.10413209031250001,0.2857362335,0.00146284,0.32289207
metric_TMA_....ITLB_Misses(%),0.0745743696875,0.19837599249999954,0.00628126,1.94221213
metric_TMA_....Branch_Resteers(%),0.4164759575,1.2592505874999986,0.03637056,1.29982672
metric_TMA_......Mispredicts_Resteers(%),0.35835786265625,1.1357101299999988,0.01436884,1.17335331
metric_TMA_......Clears_Resteers(%),0.03057146421875,0.08254457899999999,0.00787626,0.08962731
metric_TMA_......Unknown_Branches_Resteers(%),0.02756076109375,0.11537539499999994,0.00758906,0.17617721
metric_TMA_....MITE(%),9.756582559062501,13.875475118,4.97851274,13.90340902
metric_TMA_....DSB(%),3.25835279109375,4.0283982015,2.33387359,4.03757105
metric_TMA_Bad_Speculation(%),2.0469791471875,5.924592242499994,0.09583219,6.56681812
metric_TMA_..Branch_Mispredicts(%),1.8814562675,5.6339527484999925,0.06112041,6.26611789
metric_TMA_..Machine_Clears(%),0.16552287828125,0.4267836879999999,0.00291103,0.46628976
metric_TMA_Backend_Bound(%),20.810177983750002,37.520895019,6.72309707,37.65941887
metric_TMA_..Memory_Bound(%),7.44062391140625,16.482257708,0.730481,16.53024409
metric_TMA_....L1_Bound(%),5.66500905015625,8.718152515,2.87749098,8.74326646
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.0376757096875,0.11413283099999993,0.00017733,1.05819963
metric_TMA_....L2_Bound(%),0.8970639865625,1.9845260475,1.12e-05,1.99266655
metric_TMA_....L3_Bound(%),1.39014892671875,2.9110662645,0.00334809,2.92177445
metric_TMA_....MEM_Bound(%),0.29185758421874997,0.637694047,0.00169016,0.64456698
metric_TMA_......MEM_Bandwidth(%),3.9296875e-07,0.0,0.0,2.053e-05
metric_TMA_......MEM_Latency(%),0.40194345468750003,0.8634172805,0.00177255,0.87411861
metric_TMA_....Store_Bound(%),3.0463640934375,7.032067350999999,0.0,7.06097963
metric_TMA_..Core_Bound(%),13.36955407125,21.354597195,5.96982919,22.23412002
metric_TMA_....Ports_Utilization(%),22.94447225703125,24.3683682585,20.46775383,26.93729014
metric_TMA_......Ports_Utilized_3m(%),58.30570653421875,68.8286905105,47.94268655,68.99212669
metric_TMA_Retiring(%),64.0017321884375,76.87635206050001,50.77489685,76.94517348
metric_TMA_..Light_Operations(%),55.47251514125,69.2359902355,38.63494255,72.1776674
metric_TMA_....FP_Arith(%),0.120806138125,0.20988458399999996,0.01218917,0.23234475
metric_TMA_......FP_Scalar(%),0.06954746546875,0.13931633049999997,0.00093073,0.15489325
metric_TMA_......FP_Vector(%),0.03455814234375,0.06948797449999998,0.00035745,0.07725722
metric_TMA_..Heavy_Operations(%),8.52921704765625,11.4474282965,4.686383,12.27249747
