"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",113526478,61982164,51544314,45.403,1958020.500,1070176.000,8333335248.000,4554669056.000,31734867968,1002506496.000,547930112.000,8020051968.000,4383440896.000,8020051.968,4383440.896,8020.052,4383.441,20027085,101762,34629772,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",113526478,62414885,51111593,45.022,1958020.000,1041569.500,8333333120.000,4432919792.000,31956421120,1002506240.000,533283584.000,8020049920.000,4266268672.000,8020049.920,4266268.672,8020.050,4266.269,19810188,101552,34104342,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",113526478,61718403,51808075,45.635,1958020.000,1066304.000,8333333120.000,4538189824.000,31599822336,1002506240.000,545947648.000,8020049920.000,4367581184.000,8020049.920,4367581.184,8020.050,4367.581,20321662,124275,34661952,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",113526478,61980687,51545791,45.404,1958020.000,1070184.500,8333333120.000,4554705232.000,31734111744,1002506240.000,547934464.000,8020049920.000,4383475712.000,8020049.920,4383475.712,8020.050,4383.476,20021296,103450,34633810,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",113526478,62413658,51112820,45.023,1958020.000,1041535.000,8333333120.000,4432772960.000,31955792896,1002506240.000,533265920.000,8020049920.000,4266127360.000,8020049.920,4266127.360,8020.050,4266.127,19805181,102022,34094512,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",113526478,61717338,51809140,45.636,1958020.000,1066248.000,8333333120.000,4537951488.000,31599277056,1002506240.000,545918976.000,8020049920.000,4367351808.000,8020049.920,4367351.808,8020.050,4367.352,20318090,125042,34668932,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",113526478,61979255,51547223,45.405,1958020.000,1070232.000,8333333120.000,4554907392.000,31733378560,1002506240.000,547958784.000,8020049920.000,4383670272.000,8020049.920,4383670.272,8020.050,4383.670,20017552,103812,34745122,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",113526478,62412730,51113748,45.024,1958020.000,1041530.500,8333333120.000,4432753808.000,31955317760,1002506240.000,533263616.000,8020049920.000,4266108928.000,8020049.920,4266108.928,8020.050,4266.109,19802237,102595,34216630,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",113526478,61715768,51810710,45.638,1958020.000,1066185.500,8333333120.000,4537685488.000,31598473216,1002506240.000,545886976.000,8020049920.000,4367095808.000,8020049.920,4367095.808,8020.050,4367.096,20313328,125915,34656375,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",113526478,61977931,51548547,45.407,1958020.000,1070167.500,8333333120.000,4554632880.000,31732700672,1002506240.000,547925760.000,8020049920.000,4383406080.000,8020049.920,4383406.080,8020.050,4383.406,20012632,104770,34581052,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",113526478,62411495,51114983,45.025,1958020.000,1041505.000,8333333120.000,4432645280.000,31954685440,1002506240.000,533250560.000,8020049920.000,4266004480.000,8020049.920,4266004.480,8020.050,4266.004,19797950,103600,34222387,"00:00:00.148","00:00:58.128"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",113526478,61714576,51811902,45.639,1958020.000,1066211.000,8333333120.000,4537794016.000,31597862912,1002506240.000,545900032.000,8020049920.000,4367200256.000,8020049.920,4367200.256,8020.050,4367.200,20308718,126572,34655575,"00:00:00.148","00:00:58.128"
