"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",58698961,58698666,295,0.001,979010.500,978996.500,4166668688.000,4166609104.000,30053716992,501253376.000,501246208.000,4010027008.000,4009969664.000,4010027.008,4009969.664,4010.027,4009.970,117440,73280,513437,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",58698961,58698848,113,0.000,979010.000,979014.500,4166666560.000,4166685712.000,30053810176,501253120.000,501255424.000,4010024960.000,4010043392.000,4010024.960,4010043.392,4010.025,4010.043,118872,74895,202182,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",58698961,58698859,102,0.000,979010.000,979031.500,4166666560.000,4166758064.000,30053815808,501253120.000,501264128.000,4010024960.000,4010113024.000,4010024.960,4010113.024,4010.025,4010.113,117820,72167,200055,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",58698961,58698666,295,0.001,979010.000,978996.500,4166666560.000,4166609104.000,30053716992,501253120.000,501246208.000,4010024960.000,4009969664.000,4010024.960,4009969.664,4010.025,4009.970,117793,72727,514385,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",58698961,58698849,112,0.000,979010.000,979015.000,4166666560.000,4166687840.000,30053810688,501253120.000,501255680.000,4010024960.000,4010045440.000,4010024.960,4010045.440,4010.025,4010.045,118841,73997,206165,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",58698961,58698858,103,0.000,979010.000,979031.500,4166666560.000,4166758064.000,30053815296,501253120.000,501264128.000,4010024960.000,4010113024.000,4010024.960,4010113.024,4010.025,4010.113,118720,73557,200875,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",58698961,58698666,295,0.001,979010.000,978996.500,4166666560.000,4166609104.000,30053716992,501253120.000,501246208.000,4010024960.000,4009969664.000,4010024.960,4009969.664,4010.025,4009.970,118769,74442,514645,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",58698961,58698848,113,0.000,979010.000,979014.500,4166666560.000,4166685712.000,30053810176,501253120.000,501255424.000,4010024960.000,4010043392.000,4010024.960,4010043.392,4010.025,4010.043,119587,75522,206070,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",58698961,58698858,103,0.000,979010.000,979031.500,4166666560.000,4166758064.000,30053815296,501253120.000,501264128.000,4010024960.000,4010113024.000,4010024.960,4010113.024,4010.025,4010.113,119155,74837,201477,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",58698961,58698667,294,0.001,979010.000,978996.500,4166666560.000,4166609104.000,30053717504,501253120.000,501246208.000,4010024960.000,4009969664.000,4010024.960,4009969.664,4010.025,4009.970,118875,73190,515200,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",58698961,58698849,112,0.000,979010.000,979015.000,4166666560.000,4166687840.000,30053810688,501253120.000,501255680.000,4010024960.000,4010045440.000,4010024.960,4010045.440,4010.025,4010.045,119853,74455,206850,"00:00:00.167","00:01:00.124"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",58698961,58698858,103,0.000,979010.000,979031.500,4166666560.000,4166758064.000,30053815296,501253120.000,501264128.000,4010024960.000,4010113024.000,4010024.960,4010113.024,4010.025,4010.113,119817,73937,202192,"00:00:00.167","00:01:00.124"
