"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",85144424,82041318,3103106,3.645,1468515.000,1415742.000,6249999840.000,6025397952.000,42005154816,751879680.000,724859904.000,6015037440.000,5798879232.000,6015037.440,5798879.232,6015.037,5798.879,9306621,111120,21090885,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",85144424,70129027,15015397,17.635,1468515.000,1209241.500,6249999840.000,5146531824.000,35906061824,751879680.000,619131648.000,6015037440.000,4953053184.000,6015037.440,4953053.184,6015.037,4953.053,15241289,109022,30532450,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",85144424,69741868,15402556,18.090,1468515.000,1214183.000,6249999840.000,5167562848.000,35707836416,751879680.000,621661696.000,6015037440.000,4973293568.000,6015037.440,4973293.568,6015.037,4973.294,15391391,115662,29772800,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",85144424,70765769,14378655,16.887,1468515.000,1204976.000,6249999840.000,5128377856.000,36232073728,751879680.000,616947712.000,6015037440.000,4935581696.000,6015037.440,4935581.696,6015.037,4935.582,14991365,102015,29012262,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",85144425,82040338,3104087,3.646,1468515.500,1415801.500,6250001968.000,6025651184.000,42004653056,751879936.000,724890368.000,6015039488.000,5799122944.000,6015039.488,5799122.944,6015.039,5799.123,9306481,112290,21082892,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",85144425,70125848,15018577,17.639,1468515.000,1209230.500,6249999840.000,5146485008.000,35904434176,751879680.000,619126016.000,6015037440.000,4953008128.000,6015037.440,4953008.128,6015.037,4953.008,15239653,110297,30537965,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",85144424,69741473,15402951,18.090,1468515.000,1214201.000,6249999840.000,5167639456.000,35707634176,751879680.000,621670912.000,6015037440.000,4973367296.000,6015037.440,4973367.296,6015.037,4973.367,15390875,112920,29778137,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",85144424,70766051,14378373,16.887,1468515.000,1204920.500,6249999840.000,5128141648.000,36232218112,751879680.000,616919296.000,6015037440.000,4935354368.000,6015037.440,4935354.368,6015.037,4935.354,14991301,102652,29022940,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",85144425,82040810,3103615,3.645,1468515.000,1415743.000,6249999840.000,6025402208.000,42004894720,751879680.000,724860416.000,6015037440.000,5798883328.000,6015037.440,5798883.328,6015.037,5798.883,9306518,111812,21096195,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",85144424,70127208,15017216,17.637,1468515.000,1209253.500,6249999840.000,5146582896.000,35905130496,751879680.000,619137792.000,6015037440.000,4953102336.000,6015037.440,4953102.336,6015.037,4953.102,15238686,110725,30543780,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",85144424,69740749,15403675,18.091,1468515.000,1214217.000,6249999840.000,5167707552.000,35707263488,751879680.000,621679104.000,6015037440.000,4973432832.000,6015037.440,4973432.832,6015.037,4973.433,15389557,114297,29761770,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",85144424,70765931,14378493,16.887,1468515.000,1204918.000,6249999840.000,5128131008.000,36232156672,751879680.000,616918016.000,6015037440.000,4935344128.000,6015037.440,4935344.128,6015.037,4935.344,14990088,103205,29031840,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",85144425,82043174,3101251,3.642,1468515.000,1415694.500,6249999840.000,6025195792.000,42006105088,751879680.000,724835584.000,6015037440.000,5798684672.000,6015037.440,5798684.672,6015.037,5798.685,9306520,109262,21106470,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",85144425,70130237,15014188,17.634,1468515.000,1209151.000,6249999840.000,5146146656.000,35906681344,751879680.000,619085312.000,6015037440.000,4952682496.000,6015037.440,4952682.496,6015.037,4952.682,15238361,111957,30530877,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",85144424,69742630,15401794,18.089,1468515.000,1214252.000,6249999840.000,5167856512.000,35708226560,751879680.000,621697024.000,6015037440.000,4973576192.000,6015037.440,4973576.192,6015.037,4973.576,15388870,113235,29765532,"00:00:00.100","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",85144424,70767439,14376985,16.885,1468515.000,1204940.500,6249999840.000,5128226768.000,36232928768,751879680.000,616929536.000,6015037440.000,4935436288.000,6015037.440,4935436.288,6015.037,4935.436,14989205,103890,29052007,"00:00:00.100","00:00:58.079"
