Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408094423.00,3014897518.00,2210924848.00,402.00,1836.00,17610.00,0.00,
38,0.14,408210253.00,3014897140.00,2210924584.00,408.00,1876.00,10851.00,0.00,
39,0.14,408051810.00,3014904205.00,2210929776.00,414.00,1730.00,19833.00,0.00,
40,0.14,408273839.00,3014906645.00,2210931536.00,430.00,1831.00,8445.00,0.00,
51,0.14,408131108.00,3014948115.00,2210961984.00,357.00,1953.00,12324.00,0.00,
52,0.14,408199432.00,3014944110.00,2210959080.00,357.00,1958.00,18782.00,0.00,
53,0.14,408224416.00,3014954043.00,2210966296.00,360.00,1897.00,17316.00,0.00,
54,0.14,408279219.00,3014957576.00,2210968848.00,361.00,1944.00,15442.00,0.00,
*,0.14,35820918381.00,260489413478.00,247625571776.00,1084622.00,2237886.00,1581727484.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406601147.00,3000086949.00,2200063712.00,171.00,1686.00,3186.00,0.00,
38,0.14,406413585.00,3000090092.00,2200066088.00,148.00,1697.00,4915.00,0.00,
39,0.14,406739260.00,3000086553.00,2200063448.00,153.00,1561.00,3612.00,0.00,
40,0.14,406586047.00,3000082913.00,2200060808.00,158.00,1710.00,3605.00,0.00,
51,0.14,406921760.00,3000048417.00,2200035464.00,122.00,1759.00,3681.00,0.00,
52,0.14,406740913.00,3000051400.00,2200037664.00,128.00,1769.00,4143.00,0.00,
53,0.14,406704306.00,3000044523.00,2200032648.00,133.00,1706.00,3405.00,0.00,
54,0.14,406571442.00,3000039453.00,2200028952.00,135.00,1767.00,3150.00,0.00,
*,0.14,36186514882.00,259204627911.00,246404484744.00,156639.00,256772.00,1230520606.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407962824.00,2999774534.00,2199834648.00,140.00,1480.00,3010.00,0.00,
38,0.14,407846493.00,2999773199.00,2199833680.00,136.00,1488.00,4307.00,0.00,
39,0.14,407772797.00,2999771223.00,2199832272.00,129.00,1414.00,3734.00,0.00,
40,0.14,407866900.00,2999774254.00,2199834472.00,150.00,1486.00,3891.00,0.00,
51,0.14,407597085.00,2999770295.00,2199831568.00,124.00,1502.00,5717.00,0.00,
52,0.14,408018073.00,2999769341.00,2199830864.00,138.00,1509.00,3636.00,0.00,
53,0.14,408254026.00,2999768298.00,2199830160.00,123.00,1442.00,6629.00,0.00,
54,0.14,407583984.00,2999768823.00,2199830424.00,126.00,1499.00,6061.00,0.00,
*,0.14,35379706719.00,259180753682.00,246381723808.00,112635.00,252676.00,378695785.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408636995.00,3002749353.00,2202016168.00,140.00,1324.00,5365.00,0.00,
38,0.14,408701661.00,3002748654.00,2202015728.00,140.00,1331.00,4836.00,0.00,
39,0.14,408827180.00,3002751525.00,2202017752.00,141.00,1288.00,3058.00,0.00,
40,0.14,408613142.00,3002752418.00,2202018368.00,156.00,1323.00,4564.00,0.00,
51,0.14,409190246.00,3002749260.00,2202016168.00,119.00,1351.00,3785.00,0.00,
52,0.14,409212679.00,3002747775.00,2202015024.00,137.00,1342.00,4453.00,0.00,
53,0.14,409247210.00,3002747131.00,2202014496.00,127.00,1294.00,6352.00,0.00,
54,0.14,408846873.00,3002749612.00,2202016432.00,123.00,1340.00,4465.00,0.00,
*,0.14,35433863832.00,259437333983.00,246625611144.00,38897.00,139228.00,3132804.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.85,2542411154.00,3002753358.00,2202019160.00,459.00,13440.00,812700.00,0.00,
38,0.85,2541531933.00,3002755960.00,2202021008.00,317.00,12980.00,810578.00,0.00,
39,0.85,2541101468.00,3002767537.00,2202029896.00,385.00,13684.00,764312.00,0.00,
40,0.85,2541363646.00,3002770871.00,2202032008.00,302.00,13195.00,826512.00,0.00,
51,1.02,3048601637.00,3002780567.00,2202039048.00,517.00,12455.00,740162.00,0.00,
52,1.01,3046948349.00,3002786407.00,2202043360.00,331.00,12831.00,769146.00,0.00,
