Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408410604.00,3015275372.00,2211201960.00,376.00,1758.00,20035.00,0.00,
38,0.14,408289925.00,3015268179.00,2211196680.00,400.00,1826.00,11503.00,0.00,
39,0.14,408298236.00,3015271600.00,2211199232.00,391.00,1806.00,12622.00,0.00,
40,0.14,408185044.00,3015277134.00,2211203192.00,421.00,1696.00,11294.00,0.00,
51,0.14,408331479.00,3015318484.00,2211233552.00,347.00,1893.00,12279.00,0.00,
52,0.14,408484001.00,3015315343.00,2211231352.00,350.00,1934.00,19964.00,0.00,
53,0.14,408494662.00,3015320895.00,2211235400.00,348.00,1878.00,10179.00,0.00,
54,0.14,408309746.00,3015323424.00,2211237160.00,375.00,1806.00,19996.00,0.00,
*,0.14,35828682234.00,260521670072.00,247656250600.00,1078826.00,2238420.00,1580733088.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406444477.00,3000025339.00,2200018568.00,164.00,1615.00,4160.00,0.00,
38,0.14,406585765.00,3000031428.00,2200022968.00,158.00,1634.00,4576.00,0.00,
39,0.14,406947742.00,3000030515.00,2200022352.00,160.00,1653.00,3849.00,0.00,
40,0.14,406784310.00,3000024567.00,2200018040.00,165.00,1614.00,4478.00,0.00,
51,0.14,406513665.00,2999993656.00,2199995336.00,139.00,1748.00,2893.00,0.00,
52,0.14,406613350.00,2999992620.00,2199994544.00,140.00,1795.00,3618.00,0.00,
53,0.14,406861793.00,2999987853.00,2199991024.00,129.00,1773.00,4371.00,0.00,
54,0.14,406800359.00,2999986526.00,2199990144.00,138.00,1618.00,3468.00,0.00,
*,0.14,36191034699.00,259199401058.00,246399520048.00,159605.00,265661.00,1233235066.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407739863.00,2999684792.00,2199768912.00,130.00,1478.00,3916.00,0.00,
38,0.14,407960842.00,2999692323.00,2199774368.00,131.00,1488.00,4297.00,0.00,
39,0.14,408017385.00,2999684088.00,2199768296.00,115.00,1477.00,4167.00,0.00,
40,0.14,407794585.00,2999686430.00,2199770056.00,115.00,1471.00,3785.00,0.00,
51,0.14,408017263.00,2999677838.00,2199763720.00,114.00,1501.00,3940.00,0.00,
52,0.14,407729978.00,2999678761.00,2199764424.00,118.00,1542.00,2725.00,0.00,
53,0.14,407665719.00,2999679524.00,2199765040.00,123.00,1533.00,3717.00,0.00,
54,0.14,407662909.00,2999681254.00,2199766272.00,115.00,1338.00,4541.00,0.00,
*,0.14,35377567780.00,259172563837.00,246373946192.00,115739.00,258402.00,377739230.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408640050.00,2999671389.00,2199758968.00,121.00,1289.00,3487.00,0.00,
38,0.14,408462948.00,2999664939.00,2199754304.00,107.00,1288.00,5413.00,0.00,
39,0.14,408319476.00,2999675543.00,2199762048.00,120.00,1321.00,3682.00,0.00,
40,0.14,408685607.00,2999674902.00,2199761520.00,121.00,1350.00,4001.00,0.00,
51,0.14,408423360.00,2999679102.00,2199764688.00,124.00,1320.00,3551.00,0.00,
52,0.14,408235977.00,2999678198.00,2199763984.00,111.00,1373.00,5083.00,0.00,
53,0.14,408143596.00,2999678080.00,2199763896.00,121.00,1360.00,3732.00,0.00,
54,0.14,408463350.00,2999676208.00,2199762488.00,117.00,1155.00,4009.00,0.00,
