"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Last Sequence Number","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",40867866,37697363,3170503,7.758,704887.500,658224.000,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,79135,0,2636195,131180,37665934,40866794,1146091,80792,2867015,"00:00:00.112","00:00:58.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
"Ethernet - 001","Ethernet - 001","Traffic Item 2","",54490488,50263129,4227359,7.758,939849.500,878047.500,3999999472.000,481202944.000,3849623552.000,3849623.552,3849.624,36634,0,2268782,60630,50202398,54489415,933420,76130,2678535,"00:00:00.113","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",54490488,50251616,4238872,7.779,939849.500,877932.500,3999999472.000,481202944.000,3849623552.000,3849623.552,3849.624,31663,0,2314955,47982,50200529,54489415,934541,77310,2678880,"00:00:00.113","00:00:58.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",68113110,62829355,5283755,7.757,1174812.000,1097049.500,4999999872.000,601503744.000,4812029952.000,4812029.952,4812.030,21440,0,2398470,24574,62777477,68112345,948725,77707,2840042,"00:00:00.112","00:00:58.080"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","",0,"","","","",""
