Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408236180.00,3015095318.00,2211069872.00,392.00,1857.00,15485.00,0.00,
38,0.14,408370254.00,3015087753.00,2211064328.00,335.00,1923.00,10822.00,0.00,
39,0.14,408152666.00,3015090544.00,2211066352.00,377.00,1874.00,14478.00,0.00,
40,0.14,408517857.00,3015088141.00,2211064592.00,378.00,1770.00,11273.00,0.00,
51,0.14,408385454.00,3015127073.00,2211093192.00,354.00,1977.00,9915.00,0.00,
52,0.14,408093739.00,3015124147.00,2211091080.00,395.00,1855.00,14591.00,0.00,
53,0.14,408139179.00,3015130210.00,2211095480.00,367.00,2020.00,17808.00,0.00,
54,0.14,408096829.00,3015131722.00,2211096624.00,358.00,1958.00,15387.00,0.00,
*,0.14,35820277091.00,260504696627.00,247640132960.00,1079670.00,2238311.00,1579369405.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406580413.00,3003099641.00,2202273128.00,136.00,1624.00,3329.00,0.00,
38,0.14,407090295.00,3003104182.00,2202276384.00,138.00,1635.00,3219.00,0.00,
39,0.14,406958727.00,3003105482.00,2202277352.00,131.00,1660.00,3081.00,0.00,
40,0.14,407143563.00,3003108584.00,2202279640.00,141.00,1592.00,3495.00,0.00,
51,0.14,407093488.00,3003087042.00,2202263888.00,126.00,1710.00,3583.00,0.00,
52,0.14,406955661.00,3003082881.00,2202260720.00,133.00,1607.00,4421.00,0.00,
53,0.14,407346951.00,3003074663.00,2202254736.00,122.00,1733.00,3064.00,0.00,
54,0.14,406559078.00,3003075454.00,2202255352.00,127.00,1689.00,3166.00,0.00,
*,0.14,36219682739.00,259465859029.00,246652808424.00,158642.00,259483.00,1232780940.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408087938.00,3002812878.00,2202062808.00,115.00,1536.00,5522.00,0.00,
38,0.14,408790475.00,3002815793.00,2202064920.00,118.00,1559.00,3838.00,0.00,
39,0.14,408629320.00,3002813878.00,2202063600.00,120.00,1566.00,3401.00,0.00,
40,0.14,408387970.00,3002815324.00,2202064568.00,126.00,1503.00,5752.00,0.00,
51,0.14,408462705.00,3002801904.00,2202054712.00,105.00,1572.00,4364.00,0.00,
52,0.14,408204792.00,3002803846.00,2202056208.00,108.00,1333.00,3730.00,0.00,
53,0.14,408433659.00,3002802688.00,2202055328.00,117.00,1562.00,5616.00,0.00,
54,0.14,408588816.00,3002803674.00,2202056032.00,126.00,1480.00,4635.00,0.00,
*,0.14,35354013821.00,259442470259.00,246630512832.00,95276.00,243321.00,377440021.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408481656.00,2999717025.00,2199792408.00,126.00,1345.00,4554.00,0.00,
38,0.14,408738570.00,2999715746.00,2199791528.00,120.00,1384.00,4170.00,0.00,
39,0.14,409003708.00,2999715388.00,2199791264.00,122.00,1371.00,3670.00,0.00,
40,0.14,408521696.00,2999716241.00,2199791880.00,119.00,1313.00,5181.00,0.00,
51,0.14,408726675.00,2999713187.00,2199789592.00,118.00,1403.00,3496.00,0.00,
52,0.14,408350495.00,2999710856.00,2199787920.00,107.00,1173.00,3748.00,0.00,
53,0.14,408417440.00,2999714454.00,2199790560.00,110.00,1410.00,4645.00,0.00,
54,0.14,408278332.00,2999711648.00,2199788536.00,112.00,1347.00,4494.00,0.00,
*,0.14,35404452172.00,259175581515.00,246376767912.00,34877.00,137335.00,3243578.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.84,2513550247.00,2999760093.00,2199824088.00,320.00,9880.00,793106.00,0.00,
38,0.84,2506672795.00,2999762823.00,2199826112.00,267.00,10596.00,822170.00,0.00,
39,0.84,2505232249.00,2999764885.00,2199827608.00,249.00,9820.00,782199.00,0.00,
40,0.83,2504584771.00,2999773654.00,2199834208.00,286.00,8703.00,840568.00,0.00,
51,1.00,3014023843.00,2999781767.00,2199840016.00,340.00,8928.00,773291.00,0.00,
52,1.00,3010273605.00,2999794653.00,2199849432.00,354.00,9204.00,737392.00,0.00,
53,1.00,3011735160.00,2999800162.00,2199853480.00,452.00,10006.00,829553.00,0.00,
54,1.00,3007833966.00,2999807936.00,2199859200.00,268.00,10702.00,816911.00,0.00,
*,0.21,54200420058.00,259181350709.00,246382158176.00,1075044.00,610298.00,1077088232.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.90,5686784018.00,2999844149.00,2199885776.00,4787.00,2566.00,20488.00,0.00,
38,1.89,5668751501.00,2999846727.00,2199887624.00,185.00,2308.00,47496.00,0.00,
39,1.89,5673794313.00,2999852932.00,2199892112.00,186.00,2198.00,25148.00,0.00,
40,1.89,5678068516.00,2999851279.00,2199890792.00,218.00,2194.00,27356.00,0.00,
51,2.34,7032002829.00,2999856103.00,2199894488.00,183.00,2199.00,12567.00,0.00,
52,2.34,7029607683.00,2999853609.00,2199892640.00,196.00,2238.00,11209.00,0.00,
53,2.35,7037575978.00,2999852444.00,2199891848.00,179.00,2441.00,11846.00,0.00,
54,2.35,7038102042.00,2999855636.00,2199894048.00,177.00,2250.00,14473.00,0.00,
*,0.32,82855294083.00,259188129796.00,246388738288.00,45689.00,136022.00,2485742.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4990294277.00,2999880515.00,2199912352.00,326.00,12543.00,1532990.00,0.00,
38,1.66,4966227320.00,2999874580.00,2199908040.00,195.00,13698.00,1427571.00,0.00,
39,1.66,4979561040.00,2999877783.00,2199910416.00,181.00,14369.00,1594754.00,0.00,
40,1.65,4952977167.00,2999879971.00,2199912088.00,212.00,12493.00,1864143.00,0.00,
51,1.98,5951879420.00,2999875498.00,2199908656.00,257.00,14739.00,1175004.00,0.00,
52,1.98,5947896284.00,2999873765.00,2199907512.00,244.00,14398.00,1096105.00,0.00,
53,1.98,5930530165.00,2999875111.00,2199908392.00,212.00,13522.00,1136419.00,0.00,
54,1.98,5951429068.00,2999874031.00,2199907688.00,224.00,13995.00,1090428.00,0.00,
*,0.29,75959120379.00,259192279204.00,246392885200.00,78592.00,296738.00,25205698.00,0.00,

Time elapsed: 1000 ms
