"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",45803442,45243812,559630,1.222,763628.000,763624.000,3250000768.000,3249983744.000,23164831744,390977536.000,390975488.000,3127820288.000,3127803904.000,3127820.288,3127803.904,3127.820,3127.804,152017,75437,5580132,"00:00:00.109","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",45803441,45244872,558569,1.219,763627.500,763631.500,3249998640.000,3250015664.000,23165374464,390977280.000,390979328.000,3127818240.000,3127834624.000,3127818.240,3127834.624,3127.818,3127.835,151950,76670,5726120,"00:00:00.109","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",45803442,45244393,559049,1.221,763628.000,763642.000,3250000768.000,3250060352.000,23165129216,390977536.000,390984704.000,3127820288.000,3127877632.000,3127820.288,3127877.632,3127.820,3127.878,152141,75527,5650777,"00:00:00.109","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",45803442,45245425,558017,1.218,763628.000,763634.000,3250000768.000,3250026304.000,23165657600,390977536.000,390980608.000,3127820288.000,3127844864.000,3127820.288,3127844.864,3127.820,3127.845,151360,75942,5593635,"00:00:00.109","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",45803442,45243906,559536,1.222,763628.000,763623.500,3250000768.000,3249981616.000,23164879872,390977536.000,390975232.000,3127820288.000,3127801856.000,3127820.288,3127801.856,3127.820,3127.802,152059,75997,5603520,"00:00:00.109","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",45803442,45244898,558544,1.219,763628.000,763630.000,3250000768.000,3250009280.000,23165387776,390977536.000,390978560.000,3127820288.000,3127828480.000,3127820.288,3127828.480,3127.820,3127.828,152589,75832,5728050,"00:00:00.109","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",45803442,45244306,559136,1.221,763628.000,763642.500,3250000768.000,3250062480.000,23165084672,390977536.000,390984960.000,3127820288.000,3127879680.000,3127820.288,3127879.680,3127.820,3127.880,153123,75677,5651382,"00:00:00.109","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",45803441,45245302,558139,1.219,763627.500,763634.000,3249998640.000,3250026304.000,23165594624,390977280.000,390980608.000,3127818240.000,3127844864.000,3127818.240,3127844.864,3127.818,3127.845,152332,77995,5593692,"00:00:00.109","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",42280100,41763432,516668,1.222,704887.000,704864.500,2999999072.000,2999903312.000,21382877184,360902144.000,360890624.000,2887217152.000,2887124992.000,2887217.152,2887124.992,2887.217,2887.125,152085,77400,5623065,"00:00:00.110","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",42280100,41764692,515408,1.219,704887.000,704896.500,2999999072.000,3000039504.000,21383522304,360902144.000,360907008.000,2887217152.000,2887256064.000,2887217.152,2887256.064,2887.217,2887.256,152016,75942,5692027,"00:00:00.110","00:01:00.079"
