"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Last Sequence Number","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",45799526,45239188,560338,1.223,763628.000,763620.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,17258,0,5444587,17154,43220651,45799405,150050,75207,5605725,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",45799525,45239821,559704,1.222,763627.500,763605.000,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,15705,0,5460872,15565,43346417,45799394,153182,75935,5609012,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",45799526,45239673,559853,1.222,763628.000,763645.500,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,16698,0,1590762,16737,43309694,45799434,151047,76665,5567527,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",45799525,45241565,557960,1.218,763627.500,763603.500,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,16378,0,5430287,16758,43370871,45799380,151666,76635,5572820,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",45799526,45239259,560267,1.223,763628.000,763620.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,17293,0,5444835,17201,43220999,45799405,150739,75937,5606022,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",45799526,45239900,559626,1.222,763628.000,763605.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,11081,0,5461085,10776,43529850,45799395,153828,76197,5610645,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",45799526,45239554,559972,1.223,763628.000,763645.500,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,16934,0,5403035,16792,43290737,45799434,151697,77245,5568145,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",45799525,45241500,558025,1.218,763627.500,763603.500,3249998640.000,390977280.000,3127818240.000,3127818.240,3127.818,16712,0,2893892,16900,43347316,45799380,152229,76827,5587387,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",42276486,41759673,516813,1.222,704887.500,704880.000,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,24868,0,2143237,25324,41061689,42276376,150071,75515,5635715,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",42276485,41759649,516836,1.223,704887.000,704875.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,24845,0,1869255,24753,40971077,42276361,153220,75477,5653460,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",42276485,41759540,516945,1.223,704887.000,704903.500,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,25636,0,2301910,26063,41037316,42276397,151068,77895,5537392,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",42276485,41761367,515118,1.218,704887.000,704865.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,25123,0,1960652,25982,41003422,42276351,151648,76502,5610795,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",42276486,41759776,516710,1.222,704887.500,704880.000,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,24958,0,2143237,25425,41061909,42276376,150779,75932,5636235,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",42276486,41759732,516754,1.222,704887.500,704876.000,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,21594,0,1629387,21923,40979385,42276361,153826,76317,5655022,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",42276485,41759590,516895,1.223,704887.000,704903.500,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,23551,0,2301725,23701,41041528,42276397,151804,78007,5538565,"00:00:00.102","00:01:00.066"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",42276485,41761460,515025,1.218,704887.000,704865.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,23449,0,1961535,23694,41005876,42276351,152292,76780,5611080,"00:00:00.102","00:01:00.066"
