Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408308877.00,3016081047.00,2211792792.00,357.00,1904.00,22089.00,0.00,
38,0.14,408350455.00,3016077616.00,2211790240.00,335.00,1826.00,13930.00,0.00,
39,0.14,408360274.00,3016078244.00,2211790680.00,313.00,1779.00,13248.00,0.00,
40,0.14,408162213.00,3016077763.00,2211790416.00,334.00,1895.00,13148.00,0.00,
51,0.14,408340871.00,3016126472.00,2211826056.00,325.00,2013.00,19432.00,0.00,
52,0.14,408643917.00,3016125843.00,2211825792.00,320.00,1886.00,18223.00,0.00,
53,0.14,408391788.00,3016136163.00,2211833184.00,308.00,1997.00,22369.00,0.00,
54,0.14,408368615.00,3016135644.00,2211832832.00,305.00,1962.00,16395.00,0.00,
*,0.14,35826365441.00,260591207480.00,247722354264.00,969850.00,2336689.00,1610877343.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406666564.00,3000140392.00,2200102960.00,92.00,1712.00,6270.00,0.00,
38,0.14,406396355.00,3000146473.00,2200107448.00,87.00,1666.00,3733.00,0.00,
39,0.14,406975813.00,3000147453.00,2200108152.00,96.00,1672.00,5812.00,0.00,
40,0.14,406738101.00,3000147014.00,2200107800.00,96.00,1684.00,5594.00,0.00,
51,0.14,406685191.00,3000122960.00,2200090112.00,84.00,1796.00,4295.00,0.00,
52,0.14,406877648.00,3000124332.00,2200090992.00,66.00,1704.00,5283.00,0.00,
53,0.14,406771178.00,3000114727.00,2200084128.00,61.00,1756.00,5395.00,0.00,
54,0.14,406705675.00,3000113718.00,2200083336.00,66.00,1720.00,4979.00,0.00,
*,0.14,36181405981.00,259209894080.00,246409484200.00,172937.00,250520.00,1235605947.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407745744.00,2999838785.00,2199881816.00,76.00,1565.00,6509.00,0.00,
38,0.14,408205896.00,2999837228.00,2199880584.00,71.00,1498.00,3533.00,0.00,
39,0.14,407963852.00,2999835196.00,2199879176.00,74.00,1488.00,6292.00,0.00,
40,0.14,408163838.00,2999835245.00,2199879176.00,69.00,1515.00,8454.00,0.00,
51,0.14,407351503.00,2999808008.00,2199859288.00,83.00,1511.00,5644.00,0.00,
52,0.14,408024054.00,2999806317.00,2199857968.00,76.00,1467.00,6316.00,0.00,
53,0.14,407799631.00,2999807112.00,2199858584.00,86.00,1509.00,4394.00,0.00,
54,0.14,408264249.00,2999807751.00,2199859024.00,83.00,1481.00,4391.00,0.00,
*,0.14,35382039189.00,259185543990.00,246386294000.00,128123.00,247520.00,334249935.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408732497.00,3002789212.00,2202045384.00,70.00,1361.00,6519.00,0.00,
38,0.14,408977494.00,3002788796.00,2202045120.00,62.00,1336.00,6484.00,0.00,
39,0.14,408765741.00,3002792189.00,2202047584.00,67.00,1374.00,5488.00,0.00,
40,0.14,408942583.00,3002793187.00,2202048288.00,58.00,1361.00,8124.00,0.00,
51,0.14,408648171.00,3002809392.00,2202060168.00,75.00,1358.00,4811.00,0.00,
52,0.14,409020951.00,3002810596.00,2202061136.00,59.00,1308.00,5050.00,0.00,
53,0.14,408961810.00,3002809886.00,2202060608.00,65.00,1373.00,5318.00,0.00,
54,0.14,408713676.00,3002808543.00,2202059640.00,53.00,1313.00,4552.00,0.00,
*,0.14,35431614187.00,259441742457.00,246629772664.00,47847.00,153182.00,6269575.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.88,2644310133.00,3002761179.00,2202024880.00,420.00,11994.00,820505.00,0.00,
38,0.88,2642776923.00,3002771747.00,2202032800.00,232.00,12342.00,795882.00,0.00,
39,0.88,2639113015.00,3002778422.00,2202037464.00,308.00,12499.00,822094.00,0.00,
40,0.88,2639750038.00,3002790674.00,2202046528.00,225.00,13495.00,839906.00,0.00,
51,1.06,3174137280.00,3002784278.00,2202042304.00,406.00,12653.00,790313.00,0.00,
52,1.06,3175927053.00,3002796900.00,2202051192.00,267.00,12765.00,726377.00,0.00,
53,1.06,3176818559.00,3002802253.00,2202054976.00,282.00,11573.00,820204.00,0.00,
54,1.06,3177319630.00,3002816023.00,2202065096.00,219.00,13171.00,775894.00,0.00,
*,0.21,55409443442.00,259439793499.00,246627865968.00,1091741.00,614172.00,1077130404.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.90,5695919287.00,2999846708.00,2199887624.00,360.00,1747.00,36539.00,0.00,
38,1.90,5691480325.00,2999849993.00,2199889824.00,112.00,2238.00,30891.00,0.00,
39,1.90,5697374668.00,2999851597.00,2199891144.00,129.00,2508.00,26014.00,0.00,
40,1.90,5689318984.00,2999847844.00,2199888416.00,116.00,2462.00,17634.00,0.00,
51,2.35,7035677986.00,2999855343.00,2199893608.00,3699.00,2614.00,9983.00,0.00,
52,2.34,7034258345.00,2999850190.00,2199890000.00,102.00,2147.00,11196.00,0.00,
53,2.35,7045028493.00,2999856863.00,2199895016.00,115.00,2219.00,10456.00,0.00,
54,2.34,7033176567.00,2999851391.00,2199890968.00,113.00,2146.00,11374.00,0.00,
