"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",31709467,31332364,377103,1.189,528665.500,528666.000,2250000368.000,2250002496.000,16042170368,270676736.000,270676992.000,2165413888.000,2165415936.000,2165413.888,2165415.936,2165.414,2165.416,170924,78175,7985942,"00:00:00.146","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",45802562,45243673,558889,1.220,763628.000,763639.000,3250000768.000,3250047584.000,23164760576,390977536.000,390983168.000,3127820288.000,3127865344.000,3127820.288,3127865.344,3127.820,3127.865,152643,74165,8100602,"00:00:00.143","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",45802562,45242712,559850,1.222,763627.500,763643.000,3249998640.000,3250064608.000,23164268544,390977280.000,390985216.000,3127818240.000,3127881728.000,3127818.240,3127881.728,3127.818,3127.882,153259,77010,7998162,"00:00:00.143","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",59895659,58122781,1772878,2.960,998590.000,980755.500,4249999040.000,4174095408.000,29758863872,511278080.000,502146816.000,4090224640.000,4017174528.000,4090224.640,4017174.528,4090.225,4017.175,884786,78625,8743117,"00:00:00.142","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",31709467,31332381,377086,1.189,528665.500,528666.000,2250000368.000,2250002496.000,16042179072,270676736.000,270676992.000,2165413888.000,2165415936.000,2165413.888,2165415.936,2165.414,2165.416,171623,78672,7986475,"00:00:00.146","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",45802563,45243722,558841,1.220,763628.000,763637.000,3250000768.000,3250039072.000,23164785664,390977536.000,390982144.000,3127820288.000,3127857152.000,3127820.288,3127857.152,3127.820,3127.857,153293,75457,8030872,"00:00:00.143","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",45802562,45242601,559961,1.223,763627.500,763642.500,3249998640.000,3250062480.000,23164211712,390977280.000,390984960.000,3127818240.000,3127879680.000,3127818.240,3127879.680,3127.818,3127.880,154251,78572,8002750,"00:00:00.143","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",59895659,58123260,1772399,2.959,998590.000,980750.500,4249999040.000,4174074128.000,29759109120,511278080.000,502144256.000,4090224640.000,4017154048.000,4090224.640,4017154.048,4090.225,4017.154,886713,79082,8759115,"00:00:00.142","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",28186193,27851088,335105,1.189,469925.000,469926.000,2000000800.000,2000005056.000,14259757056,240601600.000,240602112.000,1924812800.000,1924816896.000,1924812.800,1924816.896,1924.813,1924.817,171079,76290,8033505,"00:00:00.147","00:01:00.118"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",42279289,41763531,515758,1.220,704887.500,704901.000,3000001200.000,3000058656.000,21382927872,360902400.000,360909312.000,2887219200.000,2887274496.000,2887219.200,2887274.496,2887.219,2887.274,152731,75340,8070085,"00:00:00.144","00:01:00.118"
