"Tx Port","Rx Port","Traffic Item","Ethernet II:Destination MAC Address","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Last Sequence Number","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:01",31709677,31333029,376648,1.188,528665.500,528653.500,2250000368.000,270676736.000,2165413888.000,2165413.888,2165.414,23318,0,3950405,22934,29814926,31709561,172953,75597,5361385,"00:00:00.114","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:03",45802865,45244055,558810,1.220,763628.000,763632.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,16067,0,1914097,15959,43464112,45802762,152208,74942,5428615,"00:00:00.114","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:05",45802866,45240488,562378,1.228,763628.000,763616.500,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,16523,0,2886845,16428,43437710,45802751,151927,77780,5424877,"00:00:00.113","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 1","00:00:00:01:00:07",59896056,58093825,1802231,3.009,998590.500,980299.000,4250001168.000,511278336.000,4090226688.000,4090226.688,4090.227,19614,0,2732672,18663,58035233,59894289,885341,79457,6065460,"00:00:00.113","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:01",31709677,31333083,376594,1.188,528665.500,528653.500,2250000368.000,270676736.000,2165413888.000,2165413.888,2165.414,19369,0,1975690,20280,29900984,31709562,172651,73835,5362030,"00:00:00.114","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:03",45802866,45244102,558764,1.220,763628.000,763632.000,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,13225,0,1913757,12980,43523972,45802763,153203,76307,5430190,"00:00:00.114","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:05",45802866,45240438,562428,1.228,763628.000,763616.500,3250000768.000,390977536.000,3127820288.000,3127820.288,3127.820,17015,0,2886622,16992,43404054,45802751,152587,78890,5424987,"00:00:00.113","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 2","00:00:00:01:00:07",59896056,58094478,1801578,3.008,998590.500,980294.500,4250001168.000,511278336.000,4090226688.000,4090226.688,4090.227,19018,0,2734402,18260,58032876,59894286,887266,80042,6072395,"00:00:00.113","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:01",28186379,27851655,334724,1.188,469924.500,469914.500,1999998672.000,240601344.000,1924810752.000,1924810.752,1924.811,34186,0,3886165,31818,27397321,28186277,173058,76215,5359835,"00:00:00.114","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:03",42279568,41763566,516002,1.220,704887.000,704891.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,26375,0,1645162,25446,40991863,42279473,152652,76110,5469472,"00:00:00.113","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:05",42279568,41760412,519156,1.228,704887.000,704885.000,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,27263,0,2863605,27460,41024576,42279463,152001,77870,5398497,"00:00:00.113","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 3","00:00:00:01:00:07",56372758,54679154,1693604,3.004,939849.500,923022.000,3999999472.000,481202944.000,3849623552.000,3849623.552,3849.624,12515,0,2367960,15495,54615979,56371463,986429,78235,6065410,"00:00:00.113","00:01:00.079"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:01",28186379,27851685,334694,1.187,469924.500,469914.500,1999998672.000,240601344.000,1924810752.000,1924810.752,1924.811,26751,0,3883962,23989,27442706,28186277,172747,78230,5360407,"00:00:00.114","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:03",42279569,41763657,515912,1.220,704887.500,704891.000,3000001200.000,360902400.000,2887219200.000,2887219.200,2887.219,18346,0,1454947,17306,41013015,42279474,152957,76885,5472340,"00:00:00.113","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:05",42279568,41760470,519098,1.228,704887.000,704886.500,2999999072.000,360902144.000,2887217152.000,2887217.152,2887.217,25382,0,2001527,25446,41028456,42279463,152742,78297,5406242,"00:00:00.113","00:01:00.081"
"Ethernet - 001","Ethernet - 001","Traffic Item 4","00:00:00:01:00:07",56372758,54673762,1698996,3.014,939849.500,922918.000,3999999472.000,481202944.000,3849623552.000,3849623.552,3849.624,11312,0,2368130,12864,54615398,56371463,987932,78662,6066175,"00:00:00.113","00:01:00.079"
