Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408209430.00,3015822585.00,2211603240.00,319.00,1775.00,20229.00,0.00,
38,0.14,408207251.00,3015817054.00,2211599192.00,319.00,1871.00,18734.00,0.00,
39,0.14,408092298.00,3015815992.00,2211598400.00,291.00,1947.00,17877.00,0.00,
40,0.14,408342055.00,3015812478.00,2211595848.00,312.00,1901.00,17625.00,0.00,
51,0.14,408269486.00,3015849860.00,2211623216.00,305.00,2088.00,17465.00,0.00,
52,0.14,408183449.00,3015848735.00,2211622424.00,343.00,2052.00,15519.00,0.00,
53,0.14,408568858.00,3015856785.00,2211628320.00,302.00,1925.00,21547.00,0.00,
54,0.14,408321098.00,3015856410.00,2211628056.00,334.00,2025.00,13990.00,0.00,
*,0.14,35824647501.00,260566715601.00,247699057848.00,964080.00,2327603.00,1611364223.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406583315.00,3000089533.00,2200065648.00,66.00,1669.00,5533.00,0.00,
38,0.14,406929278.00,3000094782.00,2200069520.00,59.00,1694.00,5360.00,0.00,
39,0.14,406813781.00,3000096799.00,2200071016.00,69.00,1704.00,5297.00,0.00,
40,0.14,406859013.00,3000096129.00,2200070488.00,64.00,1709.00,4631.00,0.00,
51,0.14,406683193.00,3000069622.00,2200051040.00,67.00,1806.00,7180.00,0.00,
52,0.14,406810668.00,3000070472.00,2200051656.00,70.00,1601.00,5707.00,0.00,
53,0.14,406772822.00,3000061263.00,2200044880.00,59.00,1684.00,4964.00,0.00,
54,0.14,406581832.00,3000061314.00,2200044968.00,64.00,1806.00,5558.00,0.00,
*,0.14,36182490822.00,259206750731.00,246406500120.00,172898.00,251722.00,1225303571.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407580344.00,2999903411.00,2199929160.00,64.00,1533.00,6083.00,0.00,
38,0.14,407546098.00,2999903926.00,2199929512.00,59.00,1576.00,5871.00,0.00,
39,0.14,408443137.00,2999905973.00,2199931096.00,58.00,1601.00,7478.00,0.00,
40,0.14,407987793.00,2999903641.00,2199929336.00,55.00,1585.00,3951.00,0.00,
51,0.14,407438000.00,2999908397.00,2199932856.00,57.00,1587.00,5305.00,0.00,
52,0.14,407998055.00,2999909386.00,2199933560.00,61.00,1412.00,5359.00,0.00,
53,0.14,407766156.00,2999909706.00,2199933824.00,77.00,1523.00,4602.00,0.00,
54,0.14,407871941.00,2999910840.00,2199934616.00,72.00,1572.00,5507.00,0.00,
*,0.14,35687982004.00,259191454367.00,246391877160.00,151138.00,298635.00,353842530.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408270319.00,2999735780.00,2199806312.00,47.00,1352.00,5336.00,0.00,
38,0.14,408095818.00,2999736766.00,2199807016.00,44.00,1369.00,7231.00,0.00,
39,0.14,408728493.00,2999734491.00,2199805256.00,47.00,1403.00,5998.00,0.00,
40,0.14,408876505.00,2999737591.00,2199807544.00,43.00,1389.00,5246.00,0.00,
51,0.14,408512846.00,2999722528.00,2199796456.00,46.00,1398.00,5396.00,0.00,
52,0.14,408599925.00,2999721453.00,2199795664.00,54.00,1198.00,7226.00,0.00,
53,0.14,408130702.00,2999718802.00,2199793728.00,42.00,1376.00,6103.00,0.00,
54,0.14,408668827.00,2999717929.00,2199793200.00,37.00,1416.00,5604.00,0.00,
*,0.14,35396643253.00,259176626243.00,246377793728.00,44638.00,158413.00,4172098.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.87,2610812834.00,2999707640.00,2199785632.00,406.00,11238.00,775538.00,0.00,
38,0.87,2610042817.00,2999710581.00,2199787744.00,237.00,12970.00,855751.00,0.00,
39,0.87,2608856237.00,2999721871.00,2199796192.00,461.00,13211.00,811188.00,0.00,
40,0.87,2610434611.00,2999729061.00,2199801384.00,232.00,13610.00,858850.00,0.00,
51,1.05,3138076074.00,2999742876.00,2199811504.00,331.00,12857.00,801663.00,0.00,
52,1.05,3141756721.00,2999757015.00,2199821888.00,270.00,11547.00,765313.00,0.00,
53,1.05,3139366135.00,2999764326.00,2199827256.00,249.00,13284.00,766398.00,0.00,
54,1.05,3140623943.00,2999778083.00,2199837200.00,219.00,13416.00,811379.00,0.00,
*,0.21,55110500320.00,259176375493.00,246377422016.00,1084510.00,642096.00,1078868472.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.89,5672611853.00,2999787694.00,2199844416.00,3749.00,2396.00,21054.00,0.00,
38,1.89,5677393975.00,2999782770.00,2199840720.00,131.00,2228.00,41080.00,0.00,
39,1.89,5678009302.00,2999782174.00,2199840104.00,125.00,2198.00,16604.00,0.00,
40,1.89,5682735062.00,2999784078.00,2199841600.00,113.00,2143.00,21764.00,0.00,
51,2.34,7034089512.00,2999781929.00,2199840104.00,131.00,2247.00,15450.00,0.00,
52,2.35,7037713807.00,2999777368.00,2199836672.00,134.00,2476.00,16567.00,0.00,
53,2.35,7037888020.00,2999782148.00,2199840192.00,113.00,2418.00,10126.00,0.00,
54,2.35,7036632586.00,2999777733.00,2199837024.00,111.00,2435.00,13175.00,0.00,
*,0.32,82855559855.00,259182846805.00,246383703280.00,61785.00,136677.00,3341066.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4989839935.00,2999875074.00,2199908304.00,445.00,18360.00,1567504.00,0.00,
38,1.66,4967824429.00,2999882221.00,2199913672.00,148.00,16689.00,1623419.00,0.00,
39,1.66,4983908361.00,2999882826.00,2199914112.00,103.00,16164.00,1577368.00,0.00,
40,1.66,4989041623.00,2999879827.00,2199912088.00,137.00,18571.00,1604754.00,0.00,
51,1.98,5938304172.00,2999879623.00,2199911736.00,245.00,18357.00,1028636.00,0.00,
52,1.98,5942667029.00,2999872948.00,2199906896.00,189.00,17311.00,1047785.00,0.00,
53,1.98,5945860399.00,2999873814.00,2199907512.00,200.00,19271.00,1139432.00,0.00,
54,1.98,5940244652.00,2999874918.00,2199908304.00,168.00,16851.00,1097621.00,0.00,
*,0.29,75725338876.00,259188498445.00,246389082544.00,55750.00,313777.00,18518123.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5984467456.00,2999770266.00,2199831480.00,193.00,1448.00,4872008.00,0.00,
38,1.97,5921723269.00,2999774757.00,2199834736.00,59.00,1517.00,4795144.00,0.00,
39,2.00,5989611827.00,2999774779.00,2199834824.00,59.00,1698.00,4518897.00,0.00,
40,2.00,5996410797.00,2999775984.00,2199835528.00,62.00,1679.00,4652292.00,0.00,
51,2.35,7035483679.00,2999774863.00,2199834824.00,60.00,1452.00,6895.00,0.00,
52,2.34,7032881763.00,2999785545.00,2199842656.00,77.00,1648.00,10607.00,0.00,
53,2.35,7040860832.00,2999783151.00,2199840984.00,75.00,1615.00,9423.00,0.00,
54,2.34,7028960094.00,2999782359.00,2199840368.00,66.00,1719.00,10785.00,0.00,
*,0.32,84028204447.00,259181244029.00,246382177272.00,37779.00,134111.00,21534760.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5982356461.00,2999770738.00,2199831832.00,221.00,1378.00,4868717.00,0.00,
38,1.97,5919238101.00,2999768180.00,2199829984.00,84.00,1482.00,4819889.00,0.00,
39,1.99,5982447519.00,2999767416.00,2199829368.00,77.00,1605.00,4554295.00,0.00,
40,2.00,5987424383.00,2999769825.00,2199831128.00,73.00,1637.00,4649370.00,0.00,
51,2.35,7038403069.00,2999775992.00,2199835792.00,80.00,1428.00,7260.00,0.00,
52,2.34,7032487139.00,2999770909.00,2199832008.00,84.00,1591.00,11136.00,0.00,
