Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408387558.00,3014949417.00,2210962952.00,363.00,1828.00,19576.00,0.00,
38,0.14,408008487.00,3014944388.00,2210959168.00,382.00,1850.00,11431.00,0.00,
39,0.14,408242030.00,3014940501.00,2210956352.00,348.00,1852.00,15272.00,0.00,
40,0.14,408142964.00,3014929893.00,2210948608.00,375.00,1820.00,11801.00,0.00,
51,0.14,408084276.00,3014967808.00,2210976416.00,356.00,1967.00,15744.00,0.00,
52,0.14,408159915.00,3014965740.00,2210974920.00,350.00,1757.00,16079.00,0.00,
53,0.14,408208796.00,3014976342.00,2210982664.00,371.00,1881.00,17257.00,0.00,
54,0.14,408188943.00,3014972322.00,2210979672.00,367.00,1918.00,16135.00,0.00,
*,0.14,35822509364.00,260492699379.00,247628768728.00,1086261.00,2232205.00,1579914764.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406760403.00,2999907022.00,2199931800.00,140.00,1682.00,4530.00,0.00,
38,0.14,406459340.00,2999910181.00,2199934176.00,124.00,1690.00,4267.00,0.00,
39,0.14,406909701.00,2999913978.00,2199936904.00,120.00,1726.00,3265.00,0.00,
40,0.14,406584789.00,2999916124.00,2199938488.00,132.00,1681.00,2836.00,0.00,
51,0.14,406864734.00,2999887860.00,2199917808.00,127.00,1741.00,3009.00,0.00,
52,0.14,406591053.00,2999889359.00,2199918864.00,123.00,1695.00,3089.00,0.00,
53,0.14,406779833.00,2999874495.00,2199907952.00,129.00,1739.00,3524.00,0.00,
54,0.14,406585221.00,2999878048.00,2199910592.00,139.00,1742.00,3761.00,0.00,
*,0.14,36188168949.00,259190356611.00,246390939784.00,153084.00,255597.00,1233255367.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407789760.00,3002596753.00,2201904320.00,122.00,1580.00,4878.00,0.00,
38,0.14,408444892.00,3002599900.00,2201906608.00,123.00,1550.00,4206.00,0.00,
39,0.14,408615734.00,3002599916.00,2201906608.00,124.00,1588.00,3443.00,0.00,
40,0.14,408744543.00,3002601570.00,2201907752.00,127.00,1569.00,3678.00,0.00,
51,0.14,408487397.00,3002592233.00,2201900888.00,107.00,1551.00,3164.00,0.00,
52,0.14,407933015.00,3002591719.00,2201900624.00,127.00,1538.00,3303.00,0.00,
53,0.14,408328108.00,3002592576.00,2201901240.00,115.00,1560.00,3763.00,0.00,
54,0.14,407849718.00,3002592371.00,2201901064.00,109.00,1550.00,3199.00,0.00,
*,0.14,35348326103.00,259423993221.00,246612942048.00,90440.00,253587.00,376787434.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,409166029.00,3002579666.00,2201891736.00,116.00,1381.00,3583.00,0.00,
38,0.14,409040737.00,3002579078.00,2201891296.00,114.00,1360.00,3678.00,0.00,
39,0.14,409226112.00,3002577341.00,2201890064.00,119.00,1397.00,3109.00,0.00,
40,0.14,409072589.00,3002577956.00,2201890504.00,112.00,1370.00,3286.00,0.00,
51,0.14,408549355.00,3002578686.00,2201891032.00,124.00,1372.00,3907.00,0.00,
52,0.14,408465493.00,3002578921.00,2201891208.00,112.00,1376.00,3840.00,0.00,
53,0.14,408795618.00,3002577623.00,2201890240.00,113.00,1398.00,3038.00,0.00,
54,0.14,408659499.00,3002577640.00,2201890328.00,118.00,1359.00,4204.00,0.00,
*,0.14,35525810312.00,259423425820.00,246612387736.00,65969.00,158663.00,6815889.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.83,2488988582.00,2999621327.00,2199722272.00,439.00,11186.00,857340.00,0.00,
38,0.83,2488956183.00,2999627606.00,2199726936.00,406.00,11625.00,825059.00,0.00,
39,0.83,2487655781.00,2999637834.00,2199734416.00,266.00,13215.00,794280.00,0.00,
40,0.83,2500057443.00,2999639522.00,2199735736.00,228.00,12979.00,795349.00,0.00,
51,1.00,2985491276.00,2999650505.00,2199743920.00,380.00,13256.00,766966.00,0.00,
52,1.00,2987259573.00,2999660803.00,2199751224.00,337.00,10848.00,689317.00,0.00,
53,1.00,2990406346.00,2999672645.00,2199759936.00,338.00,12981.00,741022.00,0.00,
54,0.99,2984563736.00,2999677656.00,2199763632.00,299.00,12993.00,785910.00,0.00,
*,0.21,54039902690.00,259168114343.00,246369579632.00,1066907.00,635344.00,1075990118.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.89,5671977491.00,2999640487.00,2199736352.00,4749.00,2705.00,18124.00,0.00,
38,1.89,5677631246.00,2999637356.00,2199734064.00,193.00,2217.00,49114.00,0.00,
39,1.88,5650702953.00,2999637599.00,2199734240.00,183.00,2269.00,13770.00,0.00,
40,1.90,5689617961.00,2999641971.00,2199737408.00,192.00,2323.00,22961.00,0.00,
51,2.34,7028050734.00,2999637053.00,2199733624.00,165.00,2245.00,12072.00,0.00,
52,2.34,7031296871.00,2999638237.00,2199734768.00,170.00,2285.00,10801.00,0.00,
