Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408352008.00,3015250952.00,2211184008.00,366.00,1948.00,13763.00,0.00,
38,0.14,408444794.00,3015247648.00,2211181632.00,355.00,1934.00,16543.00,0.00,
39,0.14,408092453.00,3015256547.00,2211188144.00,348.00,1900.00,19544.00,0.00,
40,0.14,408404181.00,3015257053.00,2211188496.00,368.00,1883.00,11154.00,0.00,
51,0.14,408170658.00,3015284656.00,2211208736.00,343.00,2038.00,10387.00,0.00,
52,0.14,408282979.00,3015263318.00,2211193072.00,351.00,2028.00,18648.00,0.00,
53,0.14,408271710.00,3015269560.00,2211197648.00,349.00,1968.00,15178.00,0.00,
54,0.14,408619477.00,3015266642.00,2211195448.00,358.00,1993.00,20767.00,0.00,
*,0.14,35873910018.00,260518236486.00,247653007096.00,1096744.00,2239624.00,1581970256.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406912868.00,3002947048.00,2202161192.00,152.00,1705.00,3159.00,0.00,
38,0.14,406836825.00,3002949693.00,2202163040.00,137.00,1733.00,3957.00,0.00,
39,0.14,406907861.00,3002942435.00,2202157760.00,126.00,1737.00,3288.00,0.00,
40,0.14,407283402.00,3002942023.00,2202157496.00,146.00,1576.00,3793.00,0.00,
51,0.14,406750582.00,3002921358.00,2202142272.00,138.00,1828.00,3175.00,0.00,
52,0.14,406841585.00,3002921379.00,2202142360.00,134.00,1835.00,2582.00,0.00,
53,0.14,406960237.00,3002913391.00,2202136552.00,132.00,1786.00,3745.00,0.00,
54,0.14,406987790.00,3002911680.00,2202135320.00,134.00,1794.00,3138.00,0.00,
*,0.14,36223647111.00,259452399107.00,246640031968.00,161198.00,258964.00,1235439378.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407990494.00,3002597941.00,2201905112.00,118.00,1520.00,3008.00,0.00,
38,0.14,407879626.00,3002598986.00,2201905992.00,116.00,1551.00,4881.00,0.00,
39,0.14,408259304.00,3002598990.00,2201905904.00,104.00,1524.00,3334.00,0.00,
40,0.14,408372092.00,3002600583.00,2201907136.00,131.00,1326.00,3166.00,0.00,
51,0.14,407911461.00,3002598573.00,2201905640.00,113.00,1564.00,2539.00,0.00,
52,0.14,408169050.00,3002599795.00,2201906432.00,123.00,1550.00,2906.00,0.00,
53,0.14,408165642.00,3002597232.00,2201904584.00,114.00,1542.00,3374.00,0.00,
54,0.14,408524716.00,3002597696.00,2201904936.00,118.00,1506.00,3028.00,0.00,
*,0.14,35350282970.00,259424004873.00,246612956304.00,95053.00,240439.00,374613160.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408364388.00,2999590294.00,2199699568.00,110.00,1369.00,3708.00,0.00,
38,0.14,408407023.00,2999589111.00,2199698600.00,115.00,1391.00,3385.00,0.00,
39,0.14,408329379.00,2999591498.00,2199700448.00,114.00,1389.00,3549.00,0.00,
40,0.14,408812092.00,2999587858.00,2199697720.00,116.00,1153.00,4844.00,0.00,
51,0.14,408299412.00,2999582520.00,2199693848.00,118.00,1398.00,4228.00,0.00,
52,0.14,408535244.00,2999582986.00,2199694288.00,113.00,1383.00,3518.00,0.00,
53,0.14,408613159.00,2999582362.00,2199693760.00,104.00,1383.00,4906.00,0.00,
54,0.14,408698934.00,2999583564.00,2199694640.00,116.00,1341.00,5047.00,0.00,
*,0.14,35396781137.00,259165542113.00,246367230560.00,34174.00,138133.00,3197396.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.85,2540469152.00,2999615989.00,2199718400.00,607.00,11625.00,764863.00,0.00,
38,0.85,2548693166.00,2999622691.00,2199723416.00,344.00,12231.00,784150.00,0.00,
39,0.85,2540763028.00,2999627703.00,2199727024.00,335.00,11551.00,772396.00,0.00,
40,0.85,2543297579.00,2999639781.00,2199735824.00,308.00,10086.00,786700.00,0.00,
51,1.02,3054891099.00,2999649231.00,2199742864.00,428.00,13139.00,804691.00,0.00,
52,1.02,3056015521.00,2999656874.00,2199748320.00,362.00,12577.00,777550.00,0.00,
53,1.02,3060350542.00,2999668116.00,2199756592.00,370.00,11423.00,776901.00,0.00,
54,1.02,3054257163.00,2999676191.00,2199762576.00,326.00,12967.00,726708.00,0.00,
*,0.21,54518718945.00,259167537802.00,246369043360.00,1105019.00,606220.00,1075857548.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.89,5673702999.00,2999676376.00,2199762664.00,4886.00,2612.00,11566.00,0.00,
38,1.89,5674600434.00,2999669999.00,2199757912.00,177.00,2217.00,45994.00,0.00,
39,1.89,5680118392.00,2999677219.00,2199763280.00,160.00,2146.00,17512.00,0.00,
40,1.89,5680404838.00,2999671979.00,2199759496.00,143.00,2097.00,17454.00,0.00,
51,2.34,7029849239.00,2999669062.00,2199757296.00,158.00,2257.00,8013.00,0.00,
52,2.34,7032628463.00,2999669893.00,2199757912.00,144.00,2267.00,6441.00,0.00,
53,2.35,7042081652.00,2999673412.00,2199760552.00,151.00,2501.00,11771.00,0.00,
54,2.34,7032252146.00,2999668505.00,2199756856.00,153.00,2184.00,9370.00,0.00,
