Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408316490.00,3015952147.00,2211698192.00,383.00,1904.00,19652.00,0.00,
38,0.14,408510719.00,3015945631.00,2211693440.00,332.00,1782.00,13603.00,0.00,
39,0.14,408460879.00,3015949858.00,2211697048.00,304.00,1895.00,21119.00,0.00,
40,0.14,408322049.00,3015954937.00,2211700304.00,336.00,1872.00,20710.00,0.00,
51,0.14,408300591.00,3015987216.00,2211723976.00,315.00,1996.00,14802.00,0.00,
52,0.14,408384905.00,3015986453.00,2211723448.00,300.00,1976.00,18871.00,0.00,
53,0.14,408506828.00,3015995444.00,2211729960.00,325.00,1954.00,20127.00,0.00,
54,0.14,408396664.00,3015996931.00,2211731016.00,309.00,1921.00,20598.00,0.00,
*,0.14,35826716036.00,260579249936.00,247710972080.00,973245.00,2320650.00,1610596220.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406509672.00,3000086767.00,2200063624.00,112.00,1668.00,5157.00,0.00,
38,0.14,406875224.00,3000092089.00,2200067496.00,99.00,1645.00,4905.00,0.00,
39,0.14,406636951.00,3000094577.00,2200068816.00,93.00,1717.00,5187.00,0.00,
40,0.14,406566866.00,3000087410.00,2200064064.00,106.00,1589.00,3944.00,0.00,
51,0.14,406704918.00,3000061762.00,2200045320.00,86.00,1812.00,6556.00,0.00,
52,0.14,406285714.00,3000062114.00,2200045496.00,65.00,1785.00,6260.00,0.00,
53,0.14,406769329.00,3000050991.00,2200037400.00,70.00,1756.00,3955.00,0.00,
54,0.14,406487302.00,3000051901.00,2200038104.00,64.00,1781.00,5068.00,0.00,
*,0.14,36182699600.00,259204523124.00,246404397096.00,175276.00,236439.00,1234892538.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408105367.00,2999834800.00,2199878912.00,97.00,1458.00,5755.00,0.00,
38,0.14,407360761.00,2999836893.00,2199880408.00,76.00,1432.00,6580.00,0.00,
39,0.14,408681495.00,2999831359.00,2199876360.00,87.00,1459.00,6901.00,0.00,
40,0.14,408085941.00,2999833129.00,2199877680.00,85.00,1295.00,6577.00,0.00,
51,0.14,407886711.00,2999826602.00,2199872840.00,78.00,1509.00,6332.00,0.00,
52,0.14,407983707.00,2999825050.00,2199871696.00,102.00,1483.00,5703.00,0.00,
53,0.14,408427311.00,2999824561.00,2199871344.00,94.00,1350.00,7586.00,0.00,
54,0.14,408131670.00,2999826988.00,2199873104.00,71.00,1515.00,5895.00,0.00,
*,0.14,35381614693.00,259209993196.00,246410722624.00,138363.00,226291.00,334699944.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408969405.00,3001846657.00,2201354232.00,61.00,1361.00,4735.00,0.00,
38,0.14,408484277.00,3001846412.00,2201354056.00,60.00,1358.00,6362.00,0.00,
39,0.14,409335974.00,3001848054.00,2201355200.00,56.00,1364.00,6129.00,0.00,
40,0.14,409200533.00,3001849365.00,2201356168.00,60.00,1235.00,5824.00,0.00,
51,0.14,408584280.00,3001859651.00,2201363736.00,60.00,1426.00,5372.00,0.00,
52,0.14,408190530.00,3001859881.00,2201363912.00,80.00,1411.00,5828.00,0.00,
53,0.14,409003068.00,3001862313.00,2201365672.00,68.00,1384.00,4973.00,0.00,
54,0.14,409072977.00,3001862065.00,2201365496.00,56.00,1438.00,8558.00,0.00,
*,0.14,35745467590.00,259335959586.00,246528008760.00,77521.00,211687.00,17546165.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.88,2630226572.00,2999813414.00,2199863160.00,280.00,11478.00,799254.00,0.00,
38,0.88,2636881069.00,2999816484.00,2199865448.00,218.00,12076.00,756976.00,0.00,
39,0.88,2628873093.00,2999827329.00,2199873632.00,236.00,12345.00,794593.00,0.00,
40,0.88,2633658764.00,2999834975.00,2199879176.00,296.00,11473.00,827380.00,0.00,
51,1.06,3166240932.00,2999833388.00,2199877856.00,355.00,9811.00,758153.00,0.00,
52,1.05,3157851708.00,2999840743.00,2199883312.00,268.00,12596.00,764561.00,0.00,
53,1.05,3161991946.00,2999849278.00,2199889472.00,472.00,10197.00,714117.00,0.00,
54,1.06,3167686557.00,2999862364.00,2199899152.00,258.00,12532.00,768438.00,0.00,
*,0.21,55295118320.00,259185065767.00,246385702552.00,1091176.00,626719.00,1073786389.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.89,5673330651.00,2999909642.00,2199933736.00,3612.00,2454.00,21271.00,0.00,
38,1.90,5695464682.00,2999909023.00,2199933208.00,179.00,2273.00,53756.00,0.00,
39,1.89,5684281883.00,2999905281.00,2199930304.00,134.00,2355.00,24639.00,0.00,
40,1.89,5682901026.00,2999906410.00,2199931184.00,121.00,1971.00,21827.00,0.00,
51,2.35,7035323105.00,2999908043.00,2199932592.00,115.00,2173.00,16650.00,0.00,
52,2.34,7031446257.00,2999910675.00,2199934440.00,137.00,2343.00,13615.00,0.00,
53,2.34,7033595667.00,2999909561.00,2199933736.00,118.00,2385.00,8882.00,0.00,
54,2.35,7044737555.00,2999903333.00,2199929072.00,117.00,2421.00,11486.00,0.00,
*,0.32,82884413726.00,259192954356.00,246393320096.00,63725.00,131945.00,3334086.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4981001113.00,2999965097.00,2199974392.00,266.00,16479.00,3594616.00,0.00,
