Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408185935.00,3015052078.00,2211038280.00,406.00,1904.00,19399.00,0.00,
38,0.14,408417778.00,3015047379.00,2211034672.00,403.00,1907.00,10856.00,0.00,
39,0.14,408327774.00,3015052323.00,2211038368.00,418.00,1863.00,17471.00,0.00,
40,0.14,408147488.00,3015054424.00,2211039864.00,406.00,1811.00,14722.00,0.00,
51,0.14,408370685.00,3015099352.00,2211072864.00,354.00,1904.00,16134.00,0.00,
52,0.14,408275089.00,3015100837.00,2211074008.00,341.00,2005.00,20219.00,0.00,
53,0.14,408275797.00,3015104085.00,2211076296.00,358.00,1894.00,10728.00,0.00,
54,0.14,408022191.00,3015105213.00,2211077088.00,349.00,1930.00,19993.00,0.00,
*,0.14,35822149509.00,260504040003.00,247639549432.00,1088381.00,2242066.00,1580612062.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,406491580.00,3000026249.00,2200019096.00,172.00,1555.00,2875.00,0.00,
38,0.14,406769898.00,3000031756.00,2200023320.00,156.00,1651.00,2775.00,0.00,
39,0.14,406703101.00,3000028295.00,2200020768.00,151.00,1663.00,3482.00,0.00,
40,0.14,406633108.00,3000024578.00,2200018040.00,166.00,1579.00,2635.00,0.00,
51,0.14,406581116.00,2999999265.00,2199999472.00,122.00,1704.00,3668.00,0.00,
52,0.14,406382286.00,3000000643.00,2200000440.00,120.00,1739.00,2774.00,0.00,
53,0.14,406544919.00,2999995225.00,2199996568.00,134.00,1766.00,3700.00,0.00,
54,0.14,406628534.00,2999993266.00,2199995072.00,123.00,1744.00,2689.00,0.00,
*,0.14,36187474112.00,259199497671.00,246399582440.00,157371.00,257868.00,1219981028.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408107379.00,2999711662.00,2199788624.00,127.00,1410.00,2338.00,0.00,
38,0.14,408053976.00,2999713227.00,2199789680.00,116.00,1556.00,2816.00,0.00,
39,0.14,408367255.00,2999715764.00,2199791528.00,126.00,1519.00,2797.00,0.00,
40,0.14,407788494.00,2999718505.00,2199793640.00,129.00,1531.00,2600.00,0.00,
51,0.14,407384295.00,2999707913.00,2199785808.00,115.00,1535.00,2944.00,0.00,
52,0.14,407939469.00,2999709277.00,2199786776.00,120.00,1579.00,2903.00,0.00,
53,0.14,407762351.00,2999709483.00,2199786952.00,124.00,1590.00,3817.00,0.00,
54,0.14,407961592.00,2999710571.00,2199787744.00,115.00,1577.00,2193.00,0.00,
*,0.14,35372210888.00,259175124803.00,246376351056.00,112197.00,268657.00,392133563.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408560481.00,2999698481.00,2199778856.00,121.00,1161.00,3036.00,0.00,
38,0.14,408376947.00,2999698145.00,2199778680.00,126.00,1350.00,3399.00,0.00,
39,0.14,408545597.00,2999696357.00,2199777360.00,121.00,1284.00,3883.00,0.00,
40,0.14,408349861.00,2999696195.00,2199777184.00,119.00,1334.00,4125.00,0.00,
51,0.14,408342661.00,2999694647.00,2199776040.00,118.00,1340.00,3010.00,0.00,
52,0.14,408530307.00,2999692742.00,2199774720.00,117.00,1380.00,3251.00,0.00,
53,0.14,408688613.00,2999691632.00,2199773840.00,117.00,1378.00,4229.00,0.00,
54,0.14,408874575.00,2999691559.00,2199773840.00,112.00,1380.00,3072.00,0.00,
*,0.14,35404511792.00,259174045664.00,246375330168.00,33850.00,143328.00,3208021.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
