Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408390213.00,3016047224.00,2211767976.00,286.00,1880.00,22617.00,0.00,
38,0.14,408458095.00,3016041271.00,2211763576.00,297.00,1943.00,21536.00,0.00,
39,0.14,408261260.00,3016036053.00,2211759792.00,263.00,1817.00,12525.00,0.00,
40,0.14,408327470.00,3016040279.00,2211762872.00,294.00,1790.00,23462.00,0.00,
51,0.14,408547021.00,3016068184.00,2211783288.00,295.00,2003.00,19101.00,0.00,
52,0.14,408384565.00,3016066445.00,2211782056.00,317.00,2030.00,13634.00,0.00,
53,0.14,408253966.00,3016074153.00,2211787688.00,291.00,1930.00,17364.00,0.00,
54,0.14,408218361.00,3016075341.00,2211788568.00,299.00,2024.00,13810.00,0.00,
*,0.14,35829722404.00,260587623451.00,247718954472.00,961110.00,2334404.00,1611839522.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,407099142.00,3003152812.00,2202312024.00,76.00,1547.00,2027.00,0.00,
38,0.14,406815890.00,3003158606.00,2202316336.00,86.00,1689.00,2477.00,0.00,
39,0.14,406971014.00,3003165405.00,2202321264.00,69.00,1529.00,3183.00,0.00,
40,0.14,406848233.00,3003160853.00,2202318008.00,75.00,1667.00,6016.00,0.00,
51,0.14,406820266.00,3003131936.00,2202296800.00,71.00,1760.00,5899.00,0.00,
52,0.14,406851290.00,3003133785.00,2202298120.00,85.00,1826.00,5099.00,0.00,
53,0.14,406772740.00,3003124211.00,2202291080.00,90.00,1807.00,5338.00,0.00,
54,0.14,407171788.00,3003123744.00,2202290728.00,77.00,1840.00,6455.00,0.00,
*,0.14,36219360802.00,259468722700.00,246655591512.00,174119.00,238518.00,1236128680.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408188475.00,3002789915.00,2202045912.00,62.00,1281.00,1871.00,0.00,
38,0.14,408496218.00,3002790272.00,2202046176.00,53.00,1516.00,2452.00,0.00,
39,0.14,408061110.00,3002790806.00,2202046616.00,54.00,1299.00,2568.00,0.00,
40,0.14,408692835.00,3002790650.00,2202046528.00,61.00,1482.00,4869.00,0.00,
51,0.14,408280736.00,3002784964.00,2202042304.00,59.00,1514.00,5770.00,0.00,
52,0.14,408036223.00,3002784733.00,2202042128.00,63.00,1491.00,5737.00,0.00,
53,0.14,408021346.00,3002787044.00,2202043800.00,55.00,1509.00,4086.00,0.00,
54,0.14,408561163.00,3002787182.00,2202043976.00,53.00,1523.00,5908.00,0.00,
*,0.14,35352137719.00,259440837948.00,246628942560.00,109805.00,240268.00,329202990.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,0.14,408920023.00,3002738915.00,2202008600.00,53.00,1142.00,3468.00,0.00,
38,0.14,409360512.00,3002740375.00,2202009656.00,43.00,1378.00,4449.00,0.00,
39,0.14,408656296.00,3002740096.00,2202009392.00,47.00,1148.00,3413.00,0.00,
40,0.14,409197740.00,3002738628.00,2202008248.00,46.00,1348.00,5933.00,0.00,
