time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.001405558,2.2000002,8.97806544,0.01151321,0.33259862,1.16544106,3.00662703,1.9e-07,2.34e-05,0.28344869,4.93e-06,3.2e-07,6.5e-07,2.5e-07,0.0,6.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,655.42738589,0.0,20.56635494,0.0,0.0,65.63894563,27.06904101,100.0,0.0,0.0,12.42987928,0.00265395,0.01088649,0.11001367,0.07495826,0.01072315,0.02430949,10.01303611,4.43215671,0.15562576,0.13614899,0.01947678,7.90043138,0.69690521,2.27970656,0.0,0.00051931,0.0003415,0.00297963,0.00064172,0.0,0.00069216,0.0,7.20352616,23.49754502,70.69756187,79.51422977,69.87400491,0.34266663,0.22861184,0.11399486,9.64022486
    10.002343236,2.20000004,8.98865384,0.01152579,0.32168077,1.16472578,3.10867198,1.9e-07,1.65e-06,0.28322342,5.06e-06,3.2e-07,6.8e-07,2.6e-07,0.0,7.1e-07,0.0,3e-08,0.0,0.0,0.0,0.0,66.97284753,0.0,20.53114398,0.0,0.0,65.5241869,27.18907346,100.0,0.0,0.0,12.57240795,0.00266764,0.01090679,0.08815815,0.05300365,0.01094476,0.02419772,10.04938243,4.42599441,0.29982277,0.24850816,0.05131461,10.72055194,0.97396782,2.29184082,0.0,0.00054371,0.00031873,0.0030529,0.00056008,0.0,0.00061856,0.0,9.74658412,22.86658753,70.75911058,76.39209398,66.08653706,0.35696727,0.23815594,0.11875386,10.30555692
    15.003258251,2.19999971,8.98739015,0.01356364,0.32147457,1.18866066,3.11066592,1.9e-07,1.2e-06,0.28304904,5e-06,3.4e-07,6e-07,2.4e-07,0.0,6.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,471.17955801,0.0,20.38516644,0.0,0.0,65.52538428,27.18876492,100.0,0.0,0.0,12.84803098,0.00267624,0.01073623,0.06158089,0.02634526,0.01109427,0.02413988,10.03656227,4.42682043,0.34787842,0.24479333,0.10308508,11.43963296,1.08479023,2.5382319,0.0,0.00056296,0.00033201,0.00305972,0.00064424,0.0,0.00071936,0.0,10.35484273,23.94806277,70.73301247,75.34981568,64.83003208,0.36219138,0.24164234,0.12049235,10.51978361
    20.004174763,2.20000002,8.9888376,0.01173228,0.3215231,1.1872195,3.11019639,2.42e-05,7.2e-07,0.28304428,5.03e-06,6.25e-06,6.7e-07,2.5e-07,1e-08,3.06e-06,0.0,0.0,0.0,0.0,0.0,0.0,578.44285714,0.0,19.87168669,0.0,0.0,65.52667697,27.18416747,100.0,0.0,0.0,12.51912911,0.00264388,0.01128047,0.06683237,0.02625816,0.01112561,0.02945017,10.06118738,4.3560612,0.15557843,0.10927745,0.04630098,7.81494003,0.68610351,2.29382178,0.0,0.088144,0.00075818,0.00299963,0.00074394,0.0,0.00069972,4.44e-06,7.12883652,24.02386424,70.71812908,79.51046833,69.86501104,0.34295956,0.2288073,0.1140924,9.6454573
    25.005074181,2.19999999,8.98841552,0.01173064,0.32155043,1.18714324,3.10993206,1.952e-05,9e-07,0.28304793,1.63e-05,3e-07,1.54e-06,2.9e-07,0.0,7e-07,0.0,0.0,0.0,0.0,0.0,0.0,2313.25,0.0,20.2698896,0.0,0.0,65.43568949,27.04982434,100.0,0.0,0.0,12.45654405,0.00370257,0.29493581,0.06095706,0.0257062,0.01112973,0.0241219,10.00738861,4.42114751,0.15415078,0.10757514,0.04657564,7.88117055,0.69471175,2.27835695,0.0,0.07115962,0.00029477,0.00289614,0.00055939,0.0,0.00108884,1.1e-07,7.1864588,23.49286142,70.08025274,79.50812009,69.92655523,0.34105869,0.22781252,0.11318625,9.58156485
    30.005975185,2.20000037,8.98615003,0.0090993,0.34760683,1.32614213,2.87681341,9.7e-06,0.00070236,0.28303564,0.001283,3.2e-07,0.00399032,0.00094365,2.085e-05,7.1e-07,0.0,0.0,1e-08,0.0,0.0,2e-08,440.11801242,56.53825383,20.28144374,0.0,0.0,57.85862071,33.5696862,100.0,0.0,0.0,12.47869403,0.10155109,0.31989676,0.0614121,0.02658801,0.01147494,0.02334897,7.88493593,2.76649346,0.15392638,0.10752178,0.04640461,7.83056303,0.68776561,2.26906188,0.0,0.00027666,0.00032008,0.00318504,0.00060634,0.11740013,1.7557984,0.0,7.14279742,23.52005955,47.39178705,79.5367861,73.05251593,0.18075667,0.11965811,0.05957203,6.48427017
    35.006857127,2.19999982,8.98808358,0.00629842,1.31824144,1.64184539,0.75858638,0.00095494,0.02716966,0.32323796,0.00616505,0.00632089,0.02015014,0.00466539,9.894e-05,1.21e-06,0.0,5e-08,7e-08,0.0,0.0,0.0,509.75680346,373.56666667,57.34808344,0.0,0.0,35.79729426,53.46848139,100.0,0.0,0.0,7.44235122,0.20097666,0.02025709,1.6193367,0.82096855,0.25786795,0.54049125,5.52636627,1.09500772,4.02173856,3.060446,0.96129256,67.56952395,53.09347785,26.52788331,0.0,0.24641449,0.92248602,27.3173482,1.4299207,0.209224,1.9269058,4.02501872,14.4760461,9.37194144,20.56202813,20.96638966,17.79441955,0.06310592,0.04150588,0.0199823,3.17197011
    40.007736636,2.19999993,8.98743203,0.34715668,1.26358441,0.9333757,0.79139944,0.00095842,0.0268763,0.32294626,0.00617515,0.00634139,0.01976939,0.00465465,9.958e-05,1.22e-06,0.0,5e-08,6e-08,0.0,0.0,0.0,525.33905192,0.0,58.43442129,0.0,0.0,35.58401623,53.86204928,100.0,0.0,0.0,7.50575047,0.19980221,0.01849113,1.59236864,0.79842212,0.25359134,0.54041813,5.65028986,1.10686987,3.99144531,3.02929417,0.96215114,66.90273123,52.48550135,26.35085046,0.0,0.24697446,0.91755872,27.08216942,1.45828334,0.21129388,1.91354489,4.07411741,14.41722987,9.4309986,20.50361181,21.60013522,18.37842463,0.0611633,0.04016186,0.01933224,3.22171059
    45.008602403,2.19999887,8.98649499,0.12350962,1.2875821,0.96453204,0.77664951,0.00096677,0.02699721,0.32311994,0.0061569,0.00634386,0.02019515,0.00469181,0.00010229,1.26e-06,0.0,5e-08,5e-08,0.0,0.0,0.0,490.11601027,423.75,53.59168256,0.0,0.0,36.50939696,53.32710864,100.0,0.0,0.0,7.47516103,0.19707053,0.01885035,1.6090592,0.81349204,0.25215706,0.54337485,5.58649035,1.10241998,4.01367689,3.06394872,0.94972817,67.02849145,52.62950624,26.47123698,0.0,0.24920104,0.9199737,27.20777637,1.42940423,0.20629748,1.88715594,4.07186542,14.39898521,9.42073336,20.26723927,21.48274012,18.28767982,0.06123744,0.04021741,0.01935663,3.19506031
    50.009476397,2.20000071,8.98830951,0.01416352,1.31470667,1.84720008,0.76062594,0.00098774,0.02690409,0.32228107,0.00612861,0.00631454,0.02067017,0.00473485,0.00010054,1.19e-06,0.0,6e-08,6e-08,0.0,0.0,1e-08,492.95434521,281.44070513,57.89746351,0.0,0.0,37.31663974,52.72902715,100.0,0.0,0.0,7.38487587,0.19778098,0.01870272,1.62086509,0.81908829,0.25446597,0.54728579,5.50732903,1.09504204,4.03378725,3.07765339,0.95613386,67.75560616,53.44106126,26.57294637,0.0,0.2558718,0.92125666,27.83566217,1.3743521,0.20089989,1.84557702,3.98635701,14.31454491,9.26205535,20.0369978,20.82566464,17.71050286,0.06230998,0.0409866,0.01971797,3.11516178
