metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.199999913,2.2000009515,2.19999803,2.20000155
metric_CPU utilization %,3.6309107325,3.6321293375,3.62192379,3.63224557
metric_CPU utilization% in kernel mode,0.004128781,0.005126821000000023,0.00183267,0.0355979
metric_CPI,0.45947739299999996,0.5546265825,0.32191496,0.55658116
metric_kernel_CPI,1.2516038295,1.444198542,0.95701615,1.46227708
metric_IPC,2.3137162325,3.1045391204999997,1.79668317,3.10641044
metric_locks retired per instr,0.00018822,0.00030318900000000037,1.9e-07,0.00082966
metric_L1D MPI (includes data+rfo w/ prefetches),0.02375527,0.0409678365,6.8e-07,0.04172625
metric_L1D demand data read hits per instr,0.335019847,0.3625494005,0.29531685,0.36374261
metric_L1-I code read misses (w/ prefetches) per instr,0.0006940074999999999,0.0012098565000000002,3.5e-06,0.0012476
metric_L2 demand data read hits per instr,0.0059467985,0.010503559999999999,2.8e-07,0.01069508
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.006580450499999999,0.012088248,5.2e-07,0.01209923
metric_L2 demand data read MPI,0.00041841950000000007,0.000790774,2e-07,0.00079256
metric_L2 demand code MPI,3.650599999999999e-05,7.3436e-05,0.0,7.545e-05
metric_ITLB MPI,1.2935999999999996e-05,8.187450000000003e-05,1.6e-07,0.00011426
metric_ITLB large page MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB load MPI,2.9000000000000008e-08,6.200000000000003e-08,0.0,1e-07
metric_DTLB 4KB page load MPI,2.2999999999999998e-08,4e-08,0.0,4e-08
metric_DTLB 2MB large page load MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,2.95e-08,5.05e-08,0.0,6e-08
metric_DTLB load miss latency (in core clks),457.49125804449994,918.8113309610002,0.0,1028.76522436
metric_DTLB store miss latency (in core clks),43.958370841500006,83.87768327050003,0.0,113.34574468
metric_ITLB miss latency (in core clks),28.148316460500002,40.9037383,19.58397414,42.38626175
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),51.060070752,62.1818475015,43.36859903,62.28225398
metric_% Uops delivered from legacy decode pipeline (MITE),36.867740565,39.523963131,32.85542084,39.53975671
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),17.917402781,19.004784759000003,15.96093309,19.16447556
metric_TMA_....ICache_Misses(%),0.166396607,0.29019297349999995,0.00192548,0.29380798
metric_TMA_....ITLB_Misses(%),0.012598858,0.019622777500000067,0.00484867,0.10866927
metric_TMA_....Branch_Resteers(%),0.7380671334999999,1.244392919,0.03704871,1.27445888
metric_TMA_......Mispredicts_Resteers(%),0.5425257615,0.8973873275,0.01344867,0.97519589
metric_TMA_......Clears_Resteers(%),0.017491846,0.0233657785,0.00819289,0.02377026
metric_TMA_......Unknown_Branches_Resteers(%),0.17820235499999998,0.2785336590000001,0.01513911,0.38933556
metric_TMA_....MITE(%),10.5285761305,13.844946563,8.27745632,13.84652077
metric_TMA_....DSB(%),3.0884986905000003,4.006446116499999,2.44374699,4.01190247
metric_TMA_Bad_Speculation(%),3.3522102664999998,5.561154475,0.10122947,5.94769608
metric_TMA_..Branch_Mispredicts(%),3.2443789529999996,5.4199443665,0.05788848,5.81402748
metric_TMA_..Machine_Clears(%),0.107831313,0.14425581350000002,0.0073409,0.1945827
metric_TMA_Backend_Bound(%),15.2147072625,19.7776045785,5.99733777,19.80387091
metric_TMA_..Memory_Bound(%),3.4366999455000005,5.148007059999999,0.66139377,5.14923237
metric_TMA_....L1_Bound(%),4.8307789795,6.1054365575,2.62072961,6.30668565
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.06175416249999999,0.16093674650000034,0.00054983,0.62665005
metric_TMA_....L2_Bound(%),0.6452011455,1.11185327,0.00021855,1.11377835
metric_TMA_....L3_Bound(%),0.94735967,1.719398101,0.0030919,1.72782443
metric_TMA_....MEM_Bound(%),0.0254247505,0.06743339150000002,0.00126277,0.10078944
metric_TMA_......MEM_Bandwidth(%),0.0,0.0,0.0,0.0
metric_TMA_......MEM_Latency(%),0.0449544145,0.14004174700000002,0.00143021,0.16691434
metric_TMA_....Store_Bound(%),1.0846058104999998,1.8677030655,0.0,1.89839824
metric_TMA_..Core_Bound(%),11.778007318,14.687521954500001,5.19294168,14.83206112
metric_TMA_....Ports_Utilization(%),25.554118932499996,26.542539331,23.06309242,27.45272542
metric_TMA_......Ports_Utilized_3m(%),58.1505208935,69.3486209995,48.84113851,69.4401761
metric_TMA_Retiring(%),63.519325114500006,76.91108354350001,55.6636739,76.95984616
metric_TMA_..Light_Operations(%),52.189150984499996,69.31911528750001,39.59616274,72.2003748
metric_TMA_....FP_Arith(%),0.19076848,0.217700625,0.16139655,0.23758289
metric_TMA_......FP_Scalar(%),0.0578012485,0.1433088485,0.00133175,0.14454496
metric_TMA_......FP_Vector(%),0.028229022000000003,0.071441149,0.00049963,0.0720573
metric_TMA_..Heavy_Operations(%),11.330174128999998,13.618436063500003,4.75947137,16.30339472
