metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.1999999590624997,2.2000010155000003,2.19999833,2.20000159
metric_CPU utilization %,3.63109775953125,3.6323925869999996,3.61669722,3.632448
metric_CPU utilization% in kernel mode,0.040657491718749994,0.31241845399999985,0.00208496,0.80214672
metric_CPI,0.3873737865625,0.549585331,0.32170842,0.55250529
metric_kernel_CPI,1.2698031875,1.5359374889999997,0.94289638,1.7235909
metric_IPC,2.6899778690625,3.1066230065,1.80993743,3.10840478
metric_locks retired per instr,3.5021406250000005e-05,8.782549999999999e-05,1.9e-07,0.00067651
metric_L1D MPI (includes data+rfo w/ prefetches),0.01095093140625,0.04702968,4.8e-07,0.04721434
metric_L1D demand data read hits per instr,0.31237311171875,0.3742622495,0.29436925,0.37476485
metric_L1-I code read misses (w/ prefetches) per instr,0.0006696684375000001,0.0020926,3.1e-06,0.00389797
metric_L2 demand data read hits per instr,0.0022177759375,0.008023619499999999,2.1e-07,0.00804484
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.00443345796875,0.019511774,4.5e-07,0.01955447
metric_L2 demand data read MPI,0.00054752671875,0.0020361675,1.9e-07,0.0020417
metric_L2 demand code MPI,1.408703125e-05,4.723749999999999e-05,0.0,5.625e-05
metric_ITLB MPI,1.3215625e-06,5.55999999999997e-06,1.9e-07,2.776e-05
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,1.203125e-08,6.849999999999995e-08,0.0,9e-08
metric_DTLB 4KB page load MPI,1.484375e-08,6e-08,0.0,1.3e-07
metric_DTLB 2MB large page load MPI,3.125e-10,0.0,0.0,1e-08
metric_DTLB 1GB large page load MPI,3.125e-10,0.0,0.0,2e-08
metric_DTLB store MPI,3.906250000000001e-09,1.8499999999999944e-08,0.0,3e-08
metric_DTLB load miss latency (in core clks),2094.066977906719,11278.507499999998,0.0,22814.9
metric_DTLB store miss latency (in core clks),314.08351283624995,1573.249030438999,0.0,2008.4729064
metric_ITLB miss latency (in core clks),33.814679720625,62.81061121649999,19.52254315,69.60953358
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),55.39975151890625,62.1951658995,31.03219628,62.63650886
metric_% Uops delivered from legacy decode pipeline (MITE),37.63196959390625,51.61745386949999,32.50670202,53.70046476
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),15.606037564687501,21.2845145985,8.25242405,21.57528471
metric_TMA_....ICache_Misses(%),0.07723559609375,0.212698969,0.00178096,0.28076065
metric_TMA_....ITLB_Misses(%),0.199854999375,1.5498925099999994,0.00637346,2.18372163
metric_TMA_....Branch_Resteers(%),0.279064070625,1.0449835649999994,0.03380769,1.08052774
metric_TMA_......Mispredicts_Resteers(%),0.22674455734375,0.9328243954999994,0.01437184,0.97339896
metric_TMA_......Clears_Resteers(%),0.02513776609375,0.06617829949999998,0.00690833,0.07165448
metric_TMA_......Unknown_Branches_Resteers(%),0.02717774546875,0.080549715,0.00352339,0.12432125
metric_TMA_....MITE(%),12.46935189125,14.62520266,6.84706722,14.765118
metric_TMA_....DSB(%),3.313865636875,4.0236407430000005,1.69061454,4.03364835
metric_TMA_Bad_Speculation(%),1.1775019171874999,4.5441902644999965,0.09330193,4.75412857
metric_TMA_..Branch_Mispredicts(%),1.047377986875,4.258512274499997,0.0635084,4.43088978
metric_TMA_..Machine_Clears(%),0.130123930625,0.3231037045,0.00408015,0.33645783
metric_TMA_Backend_Bound(%),14.646738225937499,34.9228797475,6.31370655,35.57675483
metric_TMA_..Memory_Bound(%),4.1141321225,14.3427895155,0.79187911,15.35042716
metric_TMA_....L1_Bound(%),4.66940922375,8.1913998845,2.91069287,9.15385568
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.043904186250000005,0.030965507499999923,1.901e-05,2.04155968
metric_TMA_....L2_Bound(%),0.38597243234375,1.1359520525,0.00025528,1.13928905
metric_TMA_....L3_Bound(%),0.92002251203125,2.5975740524999997,0.00309047,2.65159686
metric_TMA_....MEM_Bound(%),0.1690389328125,0.613828515,0.00124422,0.90619647
metric_TMA_......MEM_Bandwidth(%),2.0525000000000003e-06,3.8424999999999806e-06,0.0,9.818e-05
metric_TMA_......MEM_Latency(%),0.2579608675,1.2682887219999976,0.00150023,1.35266803
metric_TMA_....Store_Bound(%),1.4714646790625,6.531244358999999,0.0,6.58523557
metric_TMA_..Core_Bound(%),10.5326061034375,20.5742414515,5.36082784,21.3537782
metric_TMA_....Ports_Utilization(%),23.71140811671875,26.242921808999995,20.39716041,26.55086617
metric_TMA_......Ports_Utilized_3m(%),62.34471654125,69.03643242000001,49.2283332,69.12614507
metric_TMA_Retiring(%),68.56622381578126,76.89118221800001,54.33166452,76.89621406
metric_TMA_..Light_Operations(%),60.1305848528125,69.1690156905,39.77355833,72.05913681
metric_TMA_....FP_Arith(%),0.1543937346875,0.23425483349999993,0.00693426,0.28462853
metric_TMA_......FP_Scalar(%),0.09203994109375,0.14584765149999998,0.00116096,0.15824082
metric_TMA_......FP_Vector(%),0.04540319171875,0.06951948299999999,0.00043488,0.07888484
metric_TMA_..Heavy_Operations(%),8.4356389621875,11.947247459,4.73580746,14.89688111
