time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000718578,2.20000072,3.62617321,0.00321745,0.33427262,1.1545657,2.99157016,1.9e-07,2.499e-05,0.29541469,3.48e-06,2.9e-07,5.1e-07,2e-07,0.0,4.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.96701731,0.0,0.0,61.86783176,33.26042341,100.0,0.0,0.0,15.93189013,0.00197922,0.00801051,0.17479223,0.15294235,0.00730626,0.0145034,13.8053874,3.99976011,0.15055123,0.14368711,0.00686412,8.13949135,0.87641508,2.92468278,0.0,0.00063383,0.00056438,0.00539685,0.00178222,0.0,0.00156344,0.0,7.26307627,24.2265384,68.67696272,75.77036948,67.71181831,0.19621011,0.13089714,0.06525375,8.05855117
    10.001449979,2.19999998,3.6312348,0.00326499,0.32202842,1.15887007,3.10531594,1.9e-07,6e-07,0.29536907,3.51e-06,2.8e-07,5.1e-07,2.1e-07,0.0,4.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64796061,0.0,0.0,61.83633819,33.29418665,100.0,0.0,0.0,15.91465414,0.00197078,0.00787178,0.03767594,0.01606545,0.00712098,0.01448996,13.83943923,3.99490295,0.51690843,0.35815637,0.15875207,15.2780539,1.72171479,2.91705182,0.0,0.0006306,0.00021037,0.0032469,0.00126448,0.0,0.00142821,0.0,13.55633911,22.88406409,68.77835544,68.23495394,57.99999595,0.21853819,0.14580138,0.07268367,10.23495799
    15.002103931,2.20000029,3.63047527,0.00322897,0.32219837,1.15731318,3.10367804,1.9e-07,1.21e-06,0.29539439,3.63e-06,2.8e-07,5.4e-07,2.1e-07,0.0,4.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55092435,0.0,0.0,61.64742398,33.47682441,100.0,0.0,0.0,17.75090451,0.0018674,0.00789541,0.03709175,0.01562332,0.00701913,0.01444877,13.85912565,4.00383915,0.31365541,0.21642259,0.09723282,9.61994659,1.45517113,5.44342228,0.0,0.0006317,0.00020201,0.00307029,0.00120877,0.0,0.00165435,0.0,8.16477546,23.65957522,69.02423264,72.37031838,63.36636363,0.20567506,0.13721524,0.06840335,9.00395475
    20.002783871,2.20000038,3.63172383,0.00330697,0.32218951,1.1585466,3.1037634,1.9e-07,5.6e-07,0.29538384,3.59e-06,2.8e-07,4.9e-07,2e-07,0.0,4.7e-07,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,38.19148936,20.67750768,0.0,0.0,61.79752772,33.33218011,100.0,0.0,0.0,17.24026845,0.00187158,0.00772876,0.03710498,0.01555846,0.00695986,0.01458607,13.81496466,4.02298126,0.09632987,0.06655668,0.02977319,5.93800833,0.82053221,4.74589043,0.0,0.00063707,0.00022691,0.00322882,0.00115166,0.0,0.00157803,0.0,5.11747612,24.48397771,68.97436454,76.78434271,69.0471415,0.19349972,0.12908795,0.06435179,7.73720121
    25.003435262,2.20000012,3.63118297,0.00324169,0.32220446,1.15630899,3.10361939,1.9e-07,5.8e-07,0.29538241,3.54e-06,2.52e-05,5.1e-07,2.1e-07,1e-08,4.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.90647728,0.0,0.0,61.60405839,33.52127384,100.0,0.0,0.0,16.33529354,0.00181695,0.00796266,0.03701499,0.01559005,0.00701346,0.01441182,13.81655184,4.00186776,0.09684243,0.06679398,0.03004845,6.72074073,0.76654789,3.29951161,0.0,0.00063061,0.00039898,0.00311219,0.00130887,0.0,0.00156315,2.53e-06,5.95419284,24.91981518,68.72503113,76.85731798,69.13081411,0.19337113,0.12900208,0.06430903,7.72650387
    30.004108407,2.19999991,3.63203445,0.00325652,0.32212137,1.15495945,3.10441989,1.9e-07,1.2e-06,0.29538688,3.67e-06,3e-07,5.3e-07,2.1e-07,0.0,4.7e-07,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,39.7957958,20.35414441,0.0,0.0,62.14340723,32.99019179,100.0,0.0,0.0,16.07380269,0.00188631,0.00766697,0.03706271,0.01553577,0.00704341,0.01448304,13.8422412,4.00876635,0.09617062,0.06617089,0.02999973,7.06666095,0.76257371,2.89554842,0.0,0.00062954,0.03773658,0.02274306,0.00941282,0.0,0.00156399,0.0,6.30408724,24.43282805,68.7587375,76.76341998,69.03589313,0.19362542,0.12917172,0.06439369,7.72752685
    35.004749675,2.20000045,3.63240625,0.00323021,0.32242433,1.15618834,3.1015029,1.9e-07,5.8e-07,0.2953723,3.47e-06,2.5e-07,4.9e-07,2.1e-07,0.0,1.646e-05,0.0,0.0,0.0,0.0,0.0,0.0,2517.15789474,0.0,19.51226088,0.0,0.0,62.33495753,32.80340314,100.0,0.0,0.0,16.0603289,0.00190477,0.00784392,0.18203331,0.01568275,0.00703527,0.15971876,13.85633101,4.03031304,0.0961964,0.06640651,0.02978989,7.17265359,0.78037214,2.96467653,0.0,0.00065567,0.0038895,0.00314876,0.00226606,0.0,0.00155903,0.0,6.39228145,24.29708208,68.78942048,76.67059834,68.94522871,0.1938358,0.12931226,0.06446365,7.72536963
    40.005416822,2.19999974,3.63065669,0.0032725,0.32194612,1.15967431,3.10610978,0.00082229,8.9e-07,0.29537471,3.6e-06,2.6e-07,4.7e-07,2e-07,0.0,4.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.78659855,0.0,0.0,61.72608497,33.39968765,100.0,0.0,0.0,15.93779478,0.00188405,0.00780881,0.05125575,0.01558188,0.00700556,0.02867721,13.80836278,4.00295402,0.09631241,0.06644086,0.02987156,7.11179524,0.75962247,2.9125028,0.0,2.3618592,0.00056601,0.00550958,0.0013343,0.0,0.0015916,0.0,6.35217277,24.39153999,68.72976267,76.85414092,69.12313436,0.19339758,0.12901969,0.06431783,7.73100656
    45.006076482,2.199999,3.63312414,0.00267337,0.361587,1.26188713,2.76558616,0.00013421,0.00915315,0.29536399,3.53e-06,3.1e-07,5.1e-07,2.1e-07,0.0,4.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83347312,0.0,0.0,58.64124271,35.22399903,100.0,0.0,0.0,15.92088209,0.00187668,0.00916571,0.03711581,0.01561091,0.00699921,0.01450515,10.33873183,3.08324541,0.09646698,0.06660455,0.02986243,7.22615401,0.77191544,2.90930653,0.0,0.4733619,0.00021819,0.00323902,0.00132732,0.0,0.00606203,0.0,6.45423857,24.25124964,68.73078125,76.75654855,69.02625753,0.2045171,0.12914017,0.06437782,7.73029102
    50.006746415,2.20000081,3.63116502,0.00206044,0.5222364,1.47315347,1.91484162,8.776e-05,0.04695789,0.37419448,0.00100678,0.0080372,0.01931655,0.001954,3.733e-05,2.2e-07,0.0,0.0,1.4e-07,2e-08,2e-08,0.0,0.0,7353.67213115,40.41810391,0.0,0.0,52.54396513,37.26462178,100.0,0.0,0.0,8.97053766,0.18836292,0.0065566,0.32059373,0.24306789,0.07385923,0.00366659,6.86026412,2.13897692,1.63364244,1.25292534,0.38071709,34.78512771,14.24064944,8.03041065,0.0,0.01939687,1.12758648,2.2684037,0.59536332,0.0,0.87497861,6.55234288,20.54447827,20.64736131,48.23013136,54.61031423,45.1720703,0.03857841,0.01543635,0.00497688,9.43824393
