time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.001215815,2.20000128,7.1770783,0.00629581,0.36596648,1.13219475,2.73249073,1.9e-07,8.362e-05,0.29437199,3.9e-06,4.2e-07,6.5e-07,2.2e-07,3e-08,7.1e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,107.01770956,0.0,23.83050602,0.0,0.0,60.80040488,34.3510036,100.0,0.0,0.0,16.421445,0.00189927,0.00949485,0.04837239,0.02603594,0.00750515,0.01482866,13.9531569,3.89903652,0.0997176,0.07740481,0.02231278,7.41215448,0.90834144,3.40493183,0.0,0.00059456,0.00057405,0.00457346,0.00098693,0.0,0.0008317,0.0,6.50381304,24.34747066,68.29884533,76.06652604,68.4752936,0.19314465,0.12885246,0.06423306,7.59123244
    10.002078500,2.20000014,7.20186769,0.00630373,0.32503191,1.13217017,3.07662102,1.9e-07,1e-06,0.29441769,3.82e-06,6.1e-07,5.9e-07,2.1e-07,0.0,7.5e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,86.32231405,0.0,22.45179268,0.0,0.0,61.26194561,33.89244702,100.0,0.0,0.0,16.30827085,0.00189715,0.0093451,0.13874521,0.11616291,0.00765655,0.01489555,13.95593956,3.88756724,0.09861435,0.09251639,0.00609796,7.50752682,0.91483134,3.37331236,0.0,0.00057384,0.00032773,0.00242106,0.00076206,0.0,0.00089681,0.0,6.59269549,24.26277116,68.26974473,76.08561307,68.501265,0.19302661,0.12877374,0.06419374,7.58434807
    15.002959815,2.20000016,7.20314897,0.00787435,0.32498469,1.12681024,3.07706805,1.9e-07,1.37e-06,0.2944193,3.89e-06,5.9e-07,6.3e-07,2.2e-07,0.0,7.4e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,90.60330579,0.0,22.11871511,0.0,0.0,61.31092504,33.84538741,100.0,0.0,0.0,16.47792406,0.001847,0.00919263,0.08988263,0.06757076,0.0073558,0.01494069,13.95963751,3.88590327,0.43361162,0.39104247,0.04256915,13.41923677,1.7296363,3.47311512,0.0,0.0006033,0.00039529,0.00250917,0.00063402,0.0,0.00078542,0.0,11.68960048,23.0735037,68.27649311,69.62632082,60.03637236,0.21162643,0.14118946,0.07038301,9.58994845
    20.003773795,2.1999997,7.20334763,0.00630039,0.32491274,1.13327917,3.07774939,1.9e-07,9.8e-07,0.29436038,3.78e-06,5.8e-07,6.1e-07,2.2e-07,0.0,7.4e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,76.62797619,0.0,22.51448428,0.0,0.0,61.19083103,33.96318528,100.0,0.0,0.0,16.99871168,0.00188613,0.00941659,0.03666279,0.01428903,0.00753918,0.01483396,13.89942795,3.90032366,0.09833442,0.06437099,0.03396343,6.88524241,0.93156197,4.27691018,0.0,0.00058693,0.00039515,0.00246165,0.00072802,0.0,0.00082445,0.0,5.95368044,24.33685437,68.4203216,76.0512924,68.46642145,0.19314833,0.12885503,0.0642342,7.58487094
    25.004577865,2.20000011,7.20229323,0.00636098,0.32493507,1.13303147,3.07753795,1.9e-07,9.1e-07,0.2943633,3.77e-06,2.69e-06,5.5e-07,2.1e-07,0.0,7.4e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,76.5,0.0,22.01823798,0.0,0.0,61.27771983,33.87474673,100.0,0.0,0.0,16.58624152,0.00190207,0.00952843,0.03663862,0.01430318,0.00753008,0.01480538,13.92512402,3.90301862,0.09809078,0.06426022,0.03383056,7.26963566,0.90789278,3.68214523,0.0,0.00060221,0.00038116,0.0023327,0.00067297,0.0,0.00079084,0.0,6.36174289,25.32632675,68.31539156,76.05648743,68.47910514,0.19320871,0.12889525,0.06425431,7.57738229
    30.005404280,2.19999935,7.20263682,0.00492339,0.4318098,1.1706228,2.31583444,0.00020665,0.01109792,0.29435914,0.00073873,1.43e-06,0.00566806,0.00058336,3.702e-05,7.3e-07,0.0,1e-08,1e-08,0.0,0.0,4e-08,78.5297619,44.25863991,23.53086917,0.0,0.0,57.13187411,38.56844616,100.0,0.0,0.0,16.30239003,0.17134194,0.0098678,0.05330442,0.01438242,0.00760184,0.03131971,10.48773383,2.95794571,0.09867334,0.06455351,0.03411982,7.49790249,0.93040359,3.39161709,0.0,0.00535552,0.0224893,0.01773867,0.00686769,5.832e-05,0.01949797,0.0,6.5674989,24.24154777,51.33790583,76.10049486,71.56307526,0.10525721,0.06506283,0.03237263,4.5374196
    35.006190548,2.20000113,7.20233639,0.0090103,0.70711,1.49266009,1.41420713,0.00065366,0.03936965,0.35665928,0.00233086,0.009689,0.01799059,0.00185393,0.00011501,2.064e-05,0.0,1e-08,0.0,0.0,0.0,0.0,3282.22163588,231.17021277,19.77690961,0.0,0.0,49.08453876,47.65297753,100.0,0.0,0.0,7.45833156,0.332697,0.04345007,0.82082632,0.58984042,0.12095053,0.1100318,7.07680666,2.02402274,2.82422893,2.34364883,0.48058011,52.80808965,34.31269804,20.1537038,0.0,0.1756372,1.01106916,13.9575208,0.01903369,1.855e-05,0.02461934,5.88937363,18.49539161,14.14785289,34.40345065,36.90937663,33.03951947,0.01467797,0.00266348,0.00107578,3.86985715
    40.006961447,2.19999998,7.20249769,0.00360298,0.70661529,1.25240656,1.41519722,0.00065618,0.03955641,0.35663021,0.00229411,0.00967989,0.018035,0.00185751,0.0001128,1.957e-05,0.0,1e-08,0.0,0.0,0.0,1e-08,3966.24137931,133.76804124,19.76341273,0.0,0.0,49.27105795,47.44529578,100.0,0.0,0.0,7.46257748,0.33765089,0.00784596,0.92687247,0.591796,0.12182729,0.21369036,7.10951452,2.02494883,2.81930836,2.33800584,0.48130252,52.80033749,34.29482451,17.724074,0.0,0.19901634,1.16530741,16.0971751,0.01656874,1.018e-05,0.02224424,5.84369687,18.50551298,14.14941503,34.33806848,36.91752162,33.05252695,0.01474005,0.00274249,0.0011149,3.86499466
    45.007752128,2.19999927,7.20260882,0.0034851,0.70466926,1.23233628,1.41910547,0.00066403,0.03925253,0.35657399,0.00237928,0.00955867,0.01731713,0.00184966,0.00011404,2.6e-07,0.0,0.0,0.0,0.0,0.0,3e-08,6151.66666667,64.50790754,68.19619758,0.0,0.0,49.05606051,47.68386004,100.0,0.0,0.0,7.49997403,0.33630249,0.00793725,0.98050243,0.59275951,0.12009677,0.26847753,7.0770048,2.0125815,2.78613984,2.31675153,0.46938831,52.6725401,34.175472,17.63366629,0.0,0.20140847,1.17023509,16.05915485,0.02571115,1.836e-05,0.02329781,5.88233455,18.4970681,14.17593802,34.44600946,37.04135244,33.16084284,0.01482679,0.00270007,0.00109442,3.8805096
    50.008548291,2.20000112,7.20252746,0.00372135,0.70511494,1.26994777,1.4182085,0.00071281,0.03929772,0.35656823,0.00231663,0.00965092,0.01737197,0.0018501,0.00011342,2.9e-07,0.0,1e-08,0.0,0.0,0.0,0.0,3794.11403509,294.42975207,55.35509298,0.0,0.0,49.05289279,47.66952656,100.0,0.0,0.0,7.48525632,0.3357685,0.00929536,0.82451741,0.59173535,0.12038994,0.11238971,7.06632766,2.01766343,2.7777687,2.30816679,0.46960191,52.76949192,34.2673624,17.69412154,0.0,0.21578116,1.16540481,16.08150744,0.01577397,2.411e-05,0.04047961,5.90264283,18.50212952,14.14835618,34.38019306,36.96749014,33.05670885,0.01471841,0.00268757,0.00108869,3.9107813
