time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.001178777,2.19999943,7.19336118,0.00656239,0.33493906,1.17383215,2.98561779,1.9e-07,2.562e-05,0.2943854,3.27e-06,2e-07,5.8e-07,2e-07,0.0,8.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.29374979,0.0,0.0,61.09350437,34.04319306,100.0,0.0,0.0,16.65801236,0.0015633,0.01431978,0.09939769,0.07988328,0.0073103,0.01218869,14.07716404,3.9745901,0.09993043,0.09155228,0.00837816,6.57004773,0.83416419,3.48519634,0.0,0.0006731,0.00025609,0.00280174,0.00076465,0.0,0.00109447,0.0,5.73588354,23.9270958,68.82971244,76.67216791,69.01208871,0.19410301,0.12948936,0.06455222,7.6600792
    10.002034215,2.2000002,7.20296479,0.00663629,0.32260931,1.17177935,3.09972459,1.9e-07,5.7e-07,0.29437587,3.18e-06,2e-07,5.3e-07,2.1e-07,0.0,9.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,477.56108597,0.0,21.84481857,0.0,0.0,61.35518127,33.7880368,100.0,0.0,0.0,16.77276777,0.0015855,0.01289493,0.12341791,0.10352154,0.0073683,0.01250718,13.98963552,3.94407627,0.14178703,0.1323657,0.00942133,7.27729183,0.93374197,3.50263525,0.0,0.00067968,0.00044078,0.00495832,0.00060833,0.0,0.00083356,0.0,6.34354986,23.76498759,68.8670501,75.80248011,67.90372644,0.19632268,0.13097231,0.06529146,7.89875367
    15.002846886,2.20000027,7.20212226,0.0066325,0.32273786,1.18153615,3.09848987,1.9e-07,1.21e-06,0.29431597,3.51e-06,1.6e-07,1.04e-06,2.9e-07,0.0,8.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93658944,0.0,0.0,61.47131251,33.67155433,100.0,0.0,0.0,16.62958896,0.00163099,0.0138172,0.03474068,0.01540706,0.00737337,0.01195981,14.01069482,3.94690512,0.53501756,0.36184775,0.17316981,14.50030048,1.91617344,3.43999238,0.0,0.00067641,0.00022155,0.00241326,0.00061975,3.04e-06,0.00134743,8.027e-05,12.58412704,22.52607993,68.90513354,68.27673059,58.04083916,0.21865575,0.14588008,0.07272316,10.23589144
    20.003669420,2.20000016,7.20355785,0.00659836,0.32257923,1.17472941,3.1000136,1.9e-07,4.2e-07,0.29431959,3.08e-06,1.8e-07,5.5e-07,2.1e-07,0.0,9.1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.44062976,0.0,0.0,61.23515087,33.90445418,100.0,0.0,0.0,17.15224756,0.00153476,0.01351844,0.03550114,0.01545126,0.00737709,0.01267226,14.00916999,3.93507757,0.15055043,0.10189936,0.04865107,7.05716666,0.96434444,4.15030865,0.0,0.00067312,0.00020837,0.0025371,0.00056188,3.32e-06,0.00105479,1.69e-06,6.09282222,24.04857183,68.98553856,75.65882475,67.69493313,0.19675741,0.13126222,0.06543599,7.96389161
    25.004387229,2.20000011,7.20243155,0.00675024,0.32277725,1.19140875,3.09811181,1.9e-07,4.6e-07,0.29432667,3.17e-06,1.6e-07,4.9e-07,2e-07,0.0,8.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,600.09392265,0.0,20.03563845,0.0,0.0,61.21299256,33.92485021,100.0,0.0,0.0,16.80890204,0.0017076,0.01393306,0.03560173,0.01550196,0.00740196,0.01269834,14.01572587,3.93623215,0.09982504,0.06756414,0.0322609,6.421583,0.79489246,3.51969923,0.0,0.00067638,0.0002095,0.00239436,0.00061347,0.0,0.00078938,1.29e-06,5.62669053,25.64400772,68.96696002,76.66972261,69.00125451,0.19417516,0.12953901,0.06457701,7.6684681
    30.005175141,2.19999943,7.20204797,0.00661108,0.3225075,1.1780537,3.10070305,1.9e-07,1.23e-06,0.29432284,3.11e-06,2.23e-06,5.2e-07,2e-07,0.0,9e-07,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,41.11830357,19.878854,0.0,0.0,61.2472249,33.89176633,100.0,0.0,0.0,16.8671401,0.00167231,0.01384276,0.03545294,0.0155407,0.00740145,0.01251033,13.98362638,3.93254945,0.09949501,0.06739656,0.03209845,6.33407675,0.75380116,3.45339881,0.0,0.00066715,0.00021224,0.00266717,0.00066547,6.18e-06,0.00123302,7.26e-06,5.58027559,26.78829676,68.97045367,76.6992678,69.03506962,0.19407445,0.1294716,0.0645434,7.66419819
    35.005935730,2.20000016,7.20254001,0.00660328,0.32254903,1.18377186,3.10030388,1.9e-07,4.2e-07,0.29432124,3.45e-06,1.836e-05,1.1e-06,3.1e-07,0.0,9.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,474.68778281,0.0,20.17580321,0.0,0.0,61.07973786,34.05500837,100.0,0.0,0.0,16.66520915,0.00157394,0.01343239,0.0355241,0.01552613,0.00746379,0.01253358,13.98593706,3.93688793,0.09986344,0.06744227,0.03242117,6.61923116,0.84280121,3.48806161,0.0,0.00067473,0.00021898,0.00257028,0.00062092,0.0,0.00108734,0.0,5.77642995,23.85535172,68.86599649,76.61574515,68.96800125,0.19423929,0.12958192,0.06459829,7.6477439
    40.006731067,2.20000017,7.20299709,0.00670737,0.32263783,1.18560219,3.09945052,1.9e-07,7.5e-07,0.2943135,3.03e-06,1.901e-05,5.5e-07,2e-07,0.0,9.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72850191,0.0,0.0,61.46053223,33.68084486,100.0,0.0,0.0,16.7543675,0.00158022,0.01329172,0.03566659,0.0154348,0.00741798,0.01281436,14.013363,3.93730336,0.09987007,0.0674524,0.03241767,6.53667391,0.83175984,3.49431281,0.0,0.00067856,0.00025033,0.00237598,0.00070132,0.0,0.00079793,0.0,5.70491407,23.9238875,68.91192625,76.60912289,68.94721371,0.19420366,0.12955806,0.06458642,7.66190918
    45.007503633,2.20000032,7.20271151,0.00561505,0.33614344,1.32299941,2.97492043,1.9e-07,0.00268789,0.29432014,3.03e-06,1.5e-07,5.4e-07,2.1e-07,0.0,8.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.78864641,0.0,0.0,57.22094801,35.86548606,100.0,0.0,0.0,16.87381639,0.00162536,0.01274102,0.03562247,0.01544443,0.00742507,0.01275257,10.42435328,3.00489137,0.09987584,0.06744902,0.03242682,6.38827458,0.82201761,3.50843779,0.0,0.00066335,0.01745652,0.00441004,0.00616129,6e-06,0.00137039,3.027e-05,5.56625698,23.50903354,68.90592279,76.63805996,68.97216112,0.21833366,0.12957142,0.0645931,7.66589884
    50.008305973,2.20000005,7.20357461,0.00435619,0.54861725,1.5466483,1.82276443,8.753e-05,0.04412292,0.371713,0.00101818,0.01017108,0.01657788,0.00168612,4.695e-05,3.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,4447.21393035,0.0,48.65967233,0.0,0.0,50.4733472,38.34686138,100.0,0.0,0.0,9.88252908,0.1693337,0.00893088,0.39148755,0.31601542,0.04748688,0.02798478,6.74892439,2.07319231,2.054252,1.7858905,0.2683615,34.84253219,15.14441153,9.74396106,0.0,0.01513466,1.47420888,2.53179657,1.34098948,0.00012951,2.27416528,3.94330049,19.69812066,21.36906588,50.26481974,53.22068357,43.33857573,0.04124051,0.00129163,0.00047099,9.88210784
