metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.1999998965625003,2.2000007970000004,2.19999811,2.20000126
metric_CPU utilization %,10.772898065625,10.775738678000002,10.7496898,10.77663561
metric_CPU utilization% in kernel mode,0.030328928124999998,0.1355405484999994,0.00618213,0.60571131
metric_CPI,0.36240200953124996,0.41424125149999996,0.32308969,0.41890269
metric_kernel_CPI,1.3228973434375,1.7733366314999999,0.94658257,1.79585619
metric_IPC,2.788833420625,3.093829865,2.38718924,3.09511578
metric_locks retired per instr,4.457578125e-05,9.034149999999999e-05,1.9e-07,0.00049579
metric_L1D MPI (includes data+rfo w/ prefetches),0.008260310312500001,0.027790216500000003,5.9e-07,0.02810313
metric_L1D demand data read hits per instr,0.28654174828125,0.2973181225,0.26457359,0.29806177
metric_L1-I code read misses (w/ prefetches) per instr,0.0008591606250000001,0.002771857,2.62e-06,0.00297203
metric_L2 demand data read hits per instr,0.0024089409375,0.0069574475,2.6e-07,0.00703557
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0030226459375,0.0092643245,5.6e-07,0.00935528
metric_L2 demand data read MPI,0.00036679703124999996,0.0009684989999999999,2.1e-07,0.00101548
metric_L2 demand code MPI,1.733515625e-05,4.1214e-05,0.0,4.564e-05
metric_ITLB MPI,2.52515625e-06,6.980999999999977e-06,5.1e-07,4.181e-05
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,4.28125e-08,2.1849999999999995e-07,0.0,2.7e-07
metric_DTLB 4KB page load MPI,4.921874999999999e-08,2.269999999999999e-07,0.0,2.4e-07
metric_DTLB 2MB large page load MPI,3.125e-10,0.0,0.0,2e-08
metric_DTLB 1GB large page load MPI,4.6875e-10,0.0,0.0,3e-08
metric_DTLB store MPI,4.218749999999999e-08,1.4e-07,0.0,1.6e-07
metric_DTLB load miss latency (in core clks),564.749460490625,1637.0212347779996,0.0,6750.15
metric_DTLB store miss latency (in core clks),40.7690894596875,110.05465556349998,0.0,124.88217523
metric_ITLB miss latency (in core clks),35.127205421406245,57.96157062449997,20.49419,67.72099796
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),58.5201524934375,62.514653733,49.25636154,62.93021464
metric_% Uops delivered from legacy decode pipeline (MITE),37.37876656640625,46.7296528925,33.61958792,47.19058064
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),15.363505937500001,17.156251906999998,9.93024222,17.373994
metric_TMA_....ICache_Misses(%),0.09742326984375,0.25276426449999995,0.00168788,0.29398141
metric_TMA_....ITLB_Misses(%),0.05150792375,0.20255260399999947,0.00971786,0.69152777
metric_TMA_....Branch_Resteers(%),0.39735612015625,0.9898505994999998,0.03348678,1.01418042
metric_TMA_......Mispredicts_Resteers(%),0.31302707984375,0.8192984109999997,0.01473335,0.84331002
metric_TMA_......Clears_Resteers(%),0.02321155984375,0.051195201999999995,0.00658956,0.05160087
metric_TMA_......Unknown_Branches_Resteers(%),0.061118150937500004,0.139204606,0.01074982,0.15198549
metric_TMA_....MITE(%),13.124815896562499,14.13837019,10.15937632,14.16674946
metric_TMA_....DSB(%),3.49560697421875,3.9516174929999996,2.78606901,3.96563602
metric_TMA_Bad_Speculation(%),1.90198612125,4.249569608499999,0.09596927,4.28805796
metric_TMA_..Branch_Mispredicts(%),1.7711061615625,4.008369373499999,0.06521519,4.03873976
metric_TMA_..Machine_Clears(%),0.1308799590625,0.2588831785,0.00726072,0.26683813
metric_TMA_Backend_Bound(%),13.570081574375,26.795481030999998,6.19684388,27.62956204
metric_TMA_..Memory_Bound(%),3.9312719459375,10.0706213435,0.82777827,10.44599535
metric_TMA_....L1_Bound(%),4.9970270475,7.136212539499999,3.63739928,7.60829837
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.011676836406249998,0.030188822999999983,0.00038446,0.25323957
metric_TMA_....L2_Bound(%),0.5233989289062501,1.4794685175,0.00022215,1.49041635
metric_TMA_....L3_Bound(%),1.30682965,3.2871136264999996,0.00212495,3.52907053
metric_TMA_....MEM_Bound(%),0.25781732203124996,0.564043528,0.00033407,0.63959617
metric_TMA_......MEM_Bandwidth(%),3.6041875e-05,0.00023872949999999998,0.0,0.00026376
metric_TMA_......MEM_Latency(%),0.39003439296875003,0.9144524279999994,0.00047309,0.93859159
metric_TMA_....Store_Bound(%),1.2722573279687501,3.3934231054999993,0.0,3.5242843
metric_TMA_..Core_Bound(%),9.63880962875,16.771608972499997,5.36755593,17.55554024
metric_TMA_....Ports_Utilization(%),23.34958733578125,24.2817929705,20.79425305,25.24463052
metric_TMA_......Ports_Utilized_3m(%),62.1090294546875,68.2862663855,52.98012159,68.33235591
metric_TMA_Retiring(%),69.16390810609376,76.4887579245,58.4419772,76.53705691
metric_TMA_..Light_Operations(%),62.46845520546875,69.190658234,52.08817203,70.14969883
metric_TMA_....FP_Arith(%),0.11830113359375002,0.1948498045,0.00153593,0.217736
metric_TMA_......FP_Scalar(%),0.07882010312500001,0.12998990100000002,0.00103838,0.1452668
metric_TMA_......FP_Vector(%),0.03897153656249999,0.064801363,0.00038271,0.0724172
metric_TMA_..Heavy_Operations(%),6.695452901562501,7.692093101999999,4.9278682,8.95493492
