metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.2000000178125,2.2000003909999997,2.19999816,2.20000217
metric_CPU utilization %,10.771487789375,10.775404728,10.75675381,10.77600016
metric_CPU utilization% in kernel mode,0.03483062578125,0.20907242399999953,0.00652656,0.61255369
metric_CPI,0.3632999990625,0.416690527,0.3228372,0.43097012
metric_kernel_CPI,1.3160152446875,1.7395639935,0.95755996,1.84527635
metric_IPC,2.78191240359375,3.0968822755,2.32034649,3.0975365
metric_locks retired per instr,4.001265625e-05,8.80695e-05,1.9e-07,0.00028718
metric_L1D MPI (includes data+rfo w/ prefetches),0.00814029984375,0.027741466,7.4e-07,0.02806044
metric_L1D demand data read hits per instr,0.28682765953125,0.2975857985,0.26536805,0.29811406
metric_L1-I code read misses (w/ prefetches) per instr,0.0008234065625,0.0025507755,3.02e-06,0.00308874
metric_L2 demand data read hits per instr,0.0022998989062500003,0.0069901295,3.6e-07,0.00704519
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.00300860328125,0.009180124,5.2e-07,0.00927851
metric_L2 demand data read MPI,0.0003688234375,0.0009498535,2e-07,0.00109167
metric_L2 demand code MPI,1.788078125e-05,4.21465e-05,0.0,4.409e-05
metric_ITLB MPI,3.994375e-06,3.5365499999999985e-05,2.1e-07,5.341e-05
metric_ITLB large page MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB load MPI,3.656250000000001e-08,1.6e-07,0.0,1.8e-07
metric_DTLB 4KB page load MPI,3.6875e-08,1.6e-07,0.0,1.8e-07
metric_DTLB 2MB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,4.296875e-08,1.4549999999999984e-07,0.0,1.5e-07
metric_DTLB load miss latency (in core clks),795.4845842868749,2547.7887499999993,0.0,4759.15
metric_DTLB store miss latency (in core clks),49.88699748453125,111.106592921,0.0,366.10526316
metric_ITLB miss latency (in core clks),37.7487943496875,68.6042315295,20.01315594,74.62038523
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),58.51546757187501,62.446941283499996,48.29337813,62.82350749
metric_% Uops delivered from legacy decode pipeline (MITE),37.375741669375,46.93792226799999,33.48224013,47.76568874
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),15.34987340703125,17.0969953715,9.95827094,17.21454072
metric_TMA_....ICache_Misses(%),0.0969944946875,0.246738726,0.00180374,0.29319833
metric_TMA_....ITLB_Misses(%),0.03670567046875,0.07338295699999983,0.00762625,0.44277621
metric_TMA_....Branch_Resteers(%),0.38064613125,0.9172423599999997,0.03407436,0.9551542
metric_TMA_......Mispredicts_Resteers(%),0.3189183271875,0.8069229964999998,0.01442929,0.8336992
metric_TMA_......Clears_Resteers(%),0.023332656562499998,0.0494074595,0.00709051,0.05243317
metric_TMA_......Unknown_Branches_Resteers(%),0.038396179375,0.06359289549999998,0.01168966,0.08219302
metric_TMA_....MITE(%),13.13962991609375,14.1118121605,10.18106237,14.12177442
metric_TMA_....DSB(%),3.4981653853125,3.9480940770000004,2.6752682,3.95357297
metric_TMA_Bad_Speculation(%),1.9252645142187501,4.221252155,0.09652967,4.2754318
metric_TMA_..Branch_Mispredicts(%),1.7890208546875,3.9692290325,0.06457697,4.02952833
metric_TMA_..Machine_Clears(%),0.136243659375,0.25288644400000004,0.00788552,0.48597919
metric_TMA_Backend_Bound(%),13.7658967765625,27.1483199295,6.24077221,27.46439423
metric_TMA_..Memory_Bound(%),3.95013209078125,10.183658471,0.78919419,10.31872624
metric_TMA_....L1_Bound(%),4.958522867031251,7.115297985,2.53774324,8.08473321
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.009368554375000001,0.036587277499999876,9.281e-05,0.08121752
metric_TMA_....L2_Bound(%),0.5066964665625,1.4922466755000001,0.00026352,1.49901303
metric_TMA_....L3_Bound(%),1.2855739078125,3.3775788209999997,0.00217442,3.959954
metric_TMA_....MEM_Bound(%),0.26004455859375,0.563846259,0.00041919,0.63831049
metric_TMA_......MEM_Bandwidth(%),3.40825e-05,0.000220776,0.0,0.00026857
metric_TMA_......MEM_Latency(%),0.386168934375,0.9122181474999995,0.00052743,0.93024742
metric_TMA_....Store_Bound(%),1.22990244171875,3.3505497369999997,0.0,3.37191669
metric_TMA_..Core_Bound(%),9.8157646859375,16.944549064,5.30503076,17.60881225
metric_TMA_....Ports_Utilization(%),23.44121874171875,24.508725246,21.10479052,25.06266388
metric_TMA_......Ports_Utilized_3m(%),62.1578645471875,68.310603065,53.97172813,68.38861874
metric_TMA_Retiring(%),68.95767429015625,76.586430535,58.93794775,76.62055778
metric_TMA_..Light_Operations(%),62.216929265625,69.1294240885,52.53291358,69.87849256
metric_TMA_....FP_Arith(%),0.11844143531250001,0.1982362225,0.00155064,0.21371694
metric_TMA_......FP_Scalar(%),0.07879551984375,0.132250244,0.00104998,0.14258328
metric_TMA_......FP_Vector(%),0.0391312796875,0.0659283465,0.00038695,0.07107927
metric_TMA_..Heavy_Operations(%),6.740745025468749,8.0206041665,4.90065543,9.48678661
