metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.000000376,3.0000040605,2.99999772,3.00000502
metric_CPU utilization %,7.154554679999999,7.1727815244999995,7.13283962,7.17288459
metric_CPU utilization% in kernel mode,0.007373207,0.008319670000000013,0.00501747,0.0257326
metric_CPI,0.9134624805,1.093637878,0.65653541,1.09445788
metric_kernel_CPI,2.610732256,3.6188521420000006,1.31607332,3.61917765
metric_IPC,1.156341756,1.5228961005000001,0.91369437,1.5231471
metric_locks retired per instr,8.6056e-05,0.00013768750000000011,2.8e-07,0.00031168
metric_L1D MPI (includes data+rfo w/ prefetches),0.033786474000000004,0.0577194855,3.56e-06,0.057727
metric_L1D demand data read hits per instr,0.3326769585,0.36111000750000005,0.29211755,0.3611491
metric_L1-I code read misses (w/ prefetches) per instr,0.0022480315,0.0037915075,7.31e-06,0.00379697
metric_L2 demand data read hits per instr,0.0071307674999999985,0.011934232,2.25e-06,0.01193541
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.010270773,0.017281322000000002,4.8e-07,0.01730416
metric_L2 demand data read MPI,0.002089333,0.003515992,2.4e-07,0.00351717
metric_L2 demand code MPI,9.17415e-05,0.00015701999999999998,0.0,0.00015721
metric_ITLB MPI,7.434999999999999e-06,6.81965e-05,2e-07,7.497e-05
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,4.5e-09,3e-08,0.0,3e-08
metric_DTLB 4KB page load MPI,8.5e-09,2.4500000000000064e-08,0.0,1.1e-07
metric_DTLB 2MB large page load MPI,1.4999999999999998e-09,1.500000000000021e-09,0.0,3e-08
metric_DTLB 1GB large page load MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB store MPI,1e-09,1.0000000000000143e-09,0.0,2e-08
metric_DTLB load miss latency (in core clks),2150.5208109245004,7713.962500000007,0.0,17841.2
metric_DTLB store miss latency (in core clks),171.92342700700002,362.5900595205001,0.0,425.89285714
metric_ITLB miss latency (in core clks),60.422125278500005,104.23468749850001,20.03796388,105.95403661
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),48.8643564735,56.434214730499995,42.98566455,56.44164583
metric_% Uops delivered from legacy decode pipeline (MITE),43.691613149,47.4411044465,38.60258103,47.48092553
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),16.935808595999998,25.300806889,11.73822208,26.53286567
metric_TMA_....ICache_Misses(%),0.335323402,0.5621375255000001,0.00163359,0.56266241
metric_TMA_....ITLB_Misses(%),0.1409645955,0.5309658555000003,0.00432376,0.91034219
metric_TMA_....Branch_Resteers(%),0.4178232825000001,0.6785293895,0.02520147,0.68418169
metric_TMA_......Mispredicts_Resteers(%),0.20456727,0.31612743050000003,0.01331403,0.36403214
metric_TMA_......Clears_Resteers(%),0.195846945,0.333231236,0.00197564,0.33488644
metric_TMA_......Unknown_Branches_Resteers(%),0.01741239,0.026347724000000017,0.0095387,0.04844841
metric_TMA_....MITE(%),10.898592222,15.040319126,8.10722623,15.04723429
metric_TMA_....DSB(%),2.6995286174999995,4.055098405500001,1.79051206,4.05510706
metric_TMA_Bad_Speculation(%),0.982483609,1.606627323,0.02147295,1.60811964
metric_TMA_..Branch_Mispredicts(%),0.4880340255,0.8021826000000001,0.01876566,0.87360398
metric_TMA_..Machine_Clears(%),0.494449585,0.8485601265,0.00055866,0.848774
metric_TMA_Backend_Bound(%),20.599672587,34.657911809,-2.24450368,34.66353389
metric_TMA_..Memory_Bound(%),10.197736751999999,17.128666372,-0.56170721,17.13933092
metric_TMA_....L1_Bound(%),16.298921788999998,18.520043111,14.78129564,18.52383629
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.023390081,0.04314892350000003,0.0,0.08362203
metric_TMA_....L2_Bound(%),0.6340296110000001,1.064210482,0.00102149,1.06421147
metric_TMA_....L3_Bound(%),2.571354795,4.312548896499999,0.00157728,4.35691858
metric_TMA_....MEM_Bound(%),5.169914039499999,8.659589421499998,0.00043558,8.66730516
metric_TMA_......MEM_Bandwidth(%),0.1761264315,0.299342072,0.0,0.29976239
metric_TMA_......MEM_Latency(%),5.895146352499999,9.8490797825,0.00054608,9.86211079
metric_TMA_....Store_Bound(%),5.797430577999999,9.674817577999999,3.885e-05,9.67695162
metric_TMA_..Core_Bound(%),10.401935835,17.543215928499997,-1.68279647,17.55466853
metric_TMA_....Ports_Utilization(%),38.5132102175,53.09160001949999,28.81438688,53.16556967
metric_TMA_......Ports_Utilized_3m(%),57.0388087505,68.88610346349999,47.64620167,68.91416197
metric_TMA_Retiring(%),61.482035206499994,75.650144928,51.99402682,75.68248175
metric_TMA_..Light_Operations(%),53.110790818500014,67.8875896385,43.18305644,67.90494953
metric_TMA_....FP_Arith(%),0.09571374449999999,0.204313172,0.00863577,0.21197667
metric_TMA_......FP_Scalar(%),0.05884714099999999,0.135796357,0.00191345,0.1360547
metric_TMA_......FP_Vector(%),0.028556976500000004,0.0676394205,0.00069828,0.06776806
metric_TMA_..Heavy_Operations(%),8.371244388000003,8.919063130000001,7.73673628,9.38692521
