metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.199999964375,2.2000009339999997,2.19999781,2.20000208
metric_CPU utilization %,3.631265101875,3.6325654810000003,3.62303087,3.6331004
metric_CPU utilization% in kernel mode,0.0099163775,0.004032067499999996,0.00195669,0.34217484
metric_CPI,0.4030173284375,0.47434956500000003,0.33898213,0.50798646
metric_kernel_CPI,1.3123877740625,1.8193700444999983,0.94361575,1.91354851
metric_IPC,2.5392291009375,2.949412407,1.96855642,2.95000797
metric_locks retired per instr,6.0458593749999995e-05,0.0002759124999999996,2e-07,0.00057832
metric_L1D MPI (includes data+rfo w/ prefetches),0.0152185575,0.035799344999999996,3.5e-07,0.03586907
metric_L1D demand data read hits per instr,0.3167885434375,0.3363422245,0.30090972,0.33638278
metric_L1-I code read misses (w/ prefetches) per instr,0.00072049046875,0.002291573,2.64e-06,0.00272851
metric_L2 demand data read hits per instr,0.0033559257812499996,0.0075567445,1.1e-07,0.00756812
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0065069996875,0.014918044,4.8e-07,0.01505933
metric_L2 demand data read MPI,0.00107808515625,0.002354663,2.1e-07,0.00238188
metric_L2 demand code MPI,1.893984375e-05,5.6050999999999996e-05,0.0,6.001e-05
metric_ITLB MPI,1.3995312499999999e-05,0.00010949999999999999,1.7e-07,0.000206
metric_ITLB large page MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB load MPI,2.7343750000000003e-08,7.849999999999994e-08,0.0,1e-07
metric_DTLB 4KB page load MPI,2.9062499999999996e-08,8e-08,0.0,1.1e-07
metric_DTLB 2MB large page load MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,9.218750000000001e-09,3e-08,0.0,3e-08
metric_DTLB load miss latency (in core clks),257.31949703359373,759.2696415669998,0.0,991.18843683
metric_DTLB store miss latency (in core clks),51.103032744375,136.32380566549992,0.0,189.58024691
metric_ITLB miss latency (in core clks),32.86133040828125,59.65985236549998,19.58731011,106.05504917
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),74.74571891109375,82.559282377,60.20877462,84.17050899
metric_% Uops delivered from legacy decode pipeline (MITE),22.84419192140625,36.56097724099998,13.29943311,38.266704
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),4.8336477828125,7.712650274,2.99704445,10.83241121
metric_TMA_....ICache_Misses(%),0.17328468453124998,0.5736206469999998,0.00143587,0.58371233
metric_TMA_....ITLB_Misses(%),0.06715884765625,0.4475071814999987,0.0066325,1.56249954
metric_TMA_....Branch_Resteers(%),0.35477607625,1.2676376075,0.05332671,1.31078563
metric_TMA_......Mispredicts_Resteers(%),0.11611162734375,0.453654314,0.01519602,0.46077143
metric_TMA_......Clears_Resteers(%),0.0592499290625,0.12519780099999997,0.02165131,0.13374549
metric_TMA_......Unknown_Branches_Resteers(%),0.1794708934375,0.7088293695,0.01052764,0.74077629
metric_TMA_....MITE(%),6.1254460640624995,8.6163004035,5.07352305,8.72742233
metric_TMA_....DSB(%),4.22919955609375,5.2548443655,2.83287327,5.2612084
metric_TMA_Bad_Speculation(%),0.568333798125,1.5108302825,0.20320528,1.52326773
metric_TMA_..Branch_Mispredicts(%),0.34974644609375,1.2184688425,0.07290714,1.24598774
metric_TMA_..Machine_Clears(%),0.2185873525,0.327795466,0.02408162,0.53673057
metric_TMA_Backend_Bound(%),31.27226309390625,43.9579029055,15.13098571,45.42652669
metric_TMA_..Memory_Bound(%),8.750579900937499,18.137255432,1.10771283,18.87912636
metric_TMA_....L1_Bound(%),4.02359541125,7.4235431259999975,0.0,9.59897955
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.04649325890625,0.19320554999999953,0.00062884,1.06075284
metric_TMA_....L2_Bound(%),0.45378706281250003,1.0381324525,0.00014491,1.04782235
metric_TMA_....L3_Bound(%),2.4434490185937503,5.3708739095,0.00321619,5.53370644
metric_TMA_....MEM_Bound(%),0.18518154281250002,0.41967054149999994,0.00124331,0.4321799
metric_TMA_......MEM_Bandwidth(%),0.001406805625,0.006632477499999999,0.0,0.00822243
metric_TMA_......MEM_Latency(%),0.27748111578125,0.622627542,0.00145315,0.64213252
metric_TMA_....Store_Bound(%),2.40548868609375,5.3044877889999995,0.0,5.32646765
metric_TMA_..Core_Bound(%),22.521683191875,25.944799081,13.21115308,31.00463485
metric_TMA_....Ports_Utilization(%),23.3637543671875,26.27285265099999,20.47090779,27.48808917
metric_TMA_......Ports_Utilized_3m(%),58.817423103593754,68.7509399465,45.25198383,68.99839771
metric_TMA_Retiring(%),63.32671127703125,73.92230225950001,50.53983924,73.94025799
metric_TMA_..Light_Operations(%),58.552348164062494,68.337883845,45.05339938,69.12939175
metric_TMA_....FP_Arith(%),0.1112949678125,0.2108614815,0.00184662,0.24282747
metric_TMA_......FP_Scalar(%),0.07479587734375001,0.141681979,0.00131704,0.16201401
metric_TMA_......FP_Vector(%),0.0364323546875,0.06766573949999999,0.00048107,0.08076569
metric_TMA_..Heavy_Operations(%),4.77436311296875,6.3538595445,3.06550815,9.82124364
