metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.20000008734375,2.2000012105,2.1999988,2.20000147
metric_CPU utilization %,3.63119040671875,3.632460406,3.62291906,3.63295364
metric_CPU utilization% in kernel mode,0.023036368593749995,0.05610653899999973,0.00207562,0.6634047
metric_CPI,0.4010543834375,0.4701648525,0.3359712,0.47027595
metric_kernel_CPI,1.30785527234375,1.7051999954999995,0.88023099,1.76511261
metric_IPC,2.55239372671875,2.975827904,2.12641112,2.97644561
metric_locks retired per instr,9.782546874999999e-05,0.0004963909999999999,2e-07,0.0009477
metric_L1D MPI (includes data+rfo w/ prefetches),0.0160236303125,0.035365294,4e-07,0.03543712
metric_L1D demand data read hits per instr,0.31746238828124995,0.33636005500000005,0.30034567,0.33638401
metric_L1-I code read misses (w/ prefetches) per instr,0.0006143446875,0.002521669499999996,3.01e-06,0.00274024
metric_L2 demand data read hits per instr,0.0034254103125,0.0074730335,1.3e-07,0.00748815
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.006717384375,0.0147469155,4.8e-07,0.01488457
metric_L2 demand data read MPI,0.00109681109375,0.00231722,1.9e-07,0.00236109
metric_L2 demand code MPI,1.632328125e-05,4.7013499999999986e-05,0.0,5.613e-05
metric_ITLB MPI,1.26390625e-05,8.058149999999984e-05,1.6e-07,0.0002425
metric_ITLB large page MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB load MPI,5.3593749999999996e-08,1.6849999999999993e-07,0.0,2e-07
metric_DTLB 4KB page load MPI,5.4374999999999996e-08,1.5849999999999994e-07,0.0,1.8e-07
metric_DTLB 2MB large page load MPI,3.125e-10,0.0,0.0,1e-08
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,8.125e-09,3e-08,0.0,4e-08
metric_DTLB load miss latency (in core clks),100.14122111015625,224.6451151894999,0.0,558.45679012
metric_DTLB store miss latency (in core clks),47.95048374953125,107.2297037415,0.0,126.35532995
metric_ITLB miss latency (in core clks),29.70472680015625,50.60111394899995,19.7074041,65.69686082
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),75.17425093609376,82.59129235,60.65912635,84.02172925
metric_% Uops delivered from legacy decode pipeline (MITE),22.43703375,37.09234271849998,13.34172862,38.56317853
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),4.75068116296875,8.258718435999999,3.1450724,10.19770823
metric_TMA_....ICache_Misses(%),0.0938055884375,0.337251892,0.00150776,0.35523314
metric_TMA_....ITLB_Misses(%),0.06679638,0.1333281309999997,0.00630991,1.6317887
metric_TMA_....Branch_Resteers(%),0.19312953984375,0.7915054054999989,0.04679822,0.94272663
metric_TMA_......Mispredicts_Resteers(%),0.10649551531249998,0.49891685649999906,0.01487022,0.54092681
metric_TMA_......Clears_Resteers(%),0.04166168078125,0.0881606945,0.01741298,0.09739069
metric_TMA_......Unknown_Branches_Resteers(%),0.04506138890625,0.22887340149999988,0.00926905,0.31937256
metric_TMA_....MITE(%),5.99212612234375,8.848217226499992,5.06244839,9.1830216
metric_TMA_....DSB(%),4.25864091765625,5.2866487115,3.21672895,5.30698442
metric_TMA_Bad_Speculation(%),0.522656615,1.348128500999999,0.17237436,1.82444848
metric_TMA_..Branch_Mispredicts(%),0.349720341875,1.1425226124999988,0.06984899,1.57947849
metric_TMA_..Machine_Clears(%),0.17293627421875002,0.26237591299999996,0.00977272,0.34937842
metric_TMA_Backend_Bound(%),30.841758602187497,43.2594972995,19.07731335,44.04665242
metric_TMA_..Memory_Bound(%),9.1844469115625,17.895712604,1.70674175,17.95302568
metric_TMA_....L1_Bound(%),4.53659316234375,6.780056486,2.25183416,10.32002727
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.11302910296874999,0.8649759639999955,0.00053386,2.47027971
metric_TMA_....L2_Bound(%),0.46134858953125,0.9933617754999999,0.00013928,0.99942363
metric_TMA_....L3_Bound(%),2.57707828390625,5.491857168,0.00294938,5.60254543
metric_TMA_....MEM_Bound(%),0.1997252128125,0.43024451599999997,0.00126767,0.4369063
metric_TMA_......MEM_Bandwidth(%),0.0017676746874999997,0.0071740405,0.0,0.00808986
metric_TMA_......MEM_Latency(%),0.2912511634375,0.636763714,0.00151405,0.64442053
metric_TMA_....Store_Bound(%),2.4539660317187497,5.347990215499999,0.0,5.36637975
metric_TMA_..Core_Bound(%),21.657311689375,25.375892473999997,15.17527838,26.47251123
metric_TMA_....Ports_Utilization(%),23.2164400859375,25.3269547345,20.8138914,26.80492114
metric_TMA_......Ports_Utilized_3m(%),58.949940692187496,68.6504612215,44.69575229,68.94283696
metric_TMA_Retiring(%),63.885441182968755,74.544099362,50.98729191,74.55371196
metric_TMA_..Light_Operations(%),59.1472779865625,68.65158261250001,46.02962564,69.74035367
metric_TMA_....FP_Arith(%),0.10975366015625,0.2142667985,0.00155728,0.23321737
metric_TMA_......FP_Scalar(%),0.07397966796875,0.14809938449999996,0.00109251,0.15559967
metric_TMA_......FP_Vector(%),0.035716470624999996,0.067262879,0.00039904,0.07756832
metric_TMA_..Heavy_Operations(%),4.73816319578125,6.364476078499999,3.07891076,8.41128594
