time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000469673,2.19999992,1.84370368,0.00263217,0.33405954,1.23065744,2.99347835,1.9e-07,2.2e-05,0.28918451,5.07e-06,2.8e-07,5.8e-07,2.5e-07,0.0,1.67e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.30725726,0.0,0.0,71.96458706,20.58315828,100.0,0.0,0.0,7.7232294,0.0027502,0.06805816,0.33833069,0.29948117,0.01295974,0.02575173,6.41916646,4.58270319,0.19635355,0.188209,0.00814455,10.97781113,0.64304914,1.40929507,0.0,0.00065894,0.00027892,0.00490243,0.00248894,0.0,0.00310767,0.0,10.33476199,22.61309079,72.62391365,81.10260208,70.60917017,0.36664764,0.2446333,0.12195263,10.49343191
    10.001097194,2.20000005,1.84541683,0.00261371,0.32309563,1.22579762,3.09505891,0.00011074,6.4e-07,0.28780841,4.11e-06,3.91e-06,5.5e-07,2.5e-07,0.0,1.212e-05,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,43.53322259,19.67157216,0.0,0.0,72.069059,20.48293078,100.0,0.0,0.0,7.93775774,0.00271786,0.06728627,0.27861341,0.13098948,0.01427708,0.1333348,6.50166758,4.58405345,0.28676372,0.25858002,0.0281837,12.77164609,0.80771896,1.54959648,0.0,0.39271777,0.00227381,0.00457025,0.00309462,0.0,0.00695138,0.0,11.96392714,22.86809445,72.65519132,78.99867572,68.18967714,0.37687784,0.251461,0.12535644,10.80899858
    15.001691906,2.1999995,1.84524239,0.00262634,0.32317234,1.23266763,3.09432423,1.9e-07,1.55e-06,0.28736769,4.76e-06,2.5e-07,5.9e-07,2.5e-07,0.0,1.66e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.29396114,0.0,0.0,72.00271949,20.54095819,100.0,0.0,0.0,7.70717782,0.00269367,0.0679182,0.07085214,0.0287533,0.01617434,0.02592364,6.42502337,4.56488528,0.19634365,0.12565824,0.0706854,10.99783934,0.65399371,1.42351497,0.0,0.00066114,0.00028218,0.00486921,0.00272843,0.0,0.00431225,0.0,10.34384563,22.54187328,57.57090641,81.09865204,71.82440309,0.36669873,0.24466737,0.12196964,9.27424895
    20.002262727,2.19999995,1.84548699,0.00261268,0.32311365,1.22777353,3.09488627,2e-07,6e-07,0.2873676,4.48e-06,2.4e-07,5.9e-07,2.6e-07,0.0,1.69e-06,0.0,0.0,0.0,0.0,0.0,0.0,344.59223301,0.0,20.59450299,0.0,0.0,71.5727799,20.96789823,100.0,0.0,0.0,7.66586656,0.02261227,0.06706156,0.0707686,0.02881678,0.01622777,0.02572238,6.46990953,4.59675702,0.19538594,0.12499611,0.07038983,11.03266235,0.65400045,1.42621712,0.0,0.00064585,0.00085619,0.00457443,0.00294441,0.0,0.00309421,0.0,10.3786619,22.64315968,63.72074322,81.1061207,71.32659843,0.32549801,0.22270097,0.1027351,9.77952227
    25.002838540,2.19999976,1.84525185,0.00261404,0.32325845,1.2268413,3.09349992,1.9e-07,1.29e-06,0.28736771,6.78e-05,2.4e-07,3.37e-06,5.1e-07,0.0,1.67e-06,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.30816646,0.0,0.0,71.89300935,20.65345979,100.0,0.0,0.0,7.67416824,0.03989936,0.06704192,0.07036225,0.0285982,0.01609874,0.02566587,6.51428166,4.56757078,0.19599268,0.12540094,0.07059175,10.97614135,0.65053125,1.41941187,0.0,0.00065884,0.00081928,0.00507297,0.00253785,0.0,0.00293787,0.0,10.3256101,22.55645947,72.62923158,81.15369973,70.65630016,0.29185444,0.20473161,0.08706065,10.49739957
    30.003400242,2.19999977,1.84627997,0.00262029,0.32305472,1.22764767,3.09545081,1.9e-07,6.5e-07,0.28736748,6.399e-05,2.7e-07,2.831e-05,2.54e-06,1.4e-07,1.64e-06,1e-08,0.0,1e-08,1e-08,0.0,0.0,0.0,0.0,20.29801668,0.0,0.0,71.84972081,20.69376347,100.0,0.0,0.0,7.74687244,0.00271257,0.06710623,0.07053153,0.02861749,0.0160463,0.02586623,6.4945098,4.58100592,0.19577524,0.12543934,0.0703359,10.90429177,0.65220337,1.43607727,0.0,0.00065888,0.00028474,0.00474557,0.00246478,0.0,0.00302876,0.0,10.2520884,22.63282682,72.60766023,81.15304477,70.65764088,0.36630065,0.24440174,0.12183718,10.49540389
    35.003975177,2.20000029,1.84502088,0.00262788,0.32304846,1.23078036,3.09551077,2e-07,5.2e-07,0.28736767,4.17e-06,2.5e-07,5.6e-07,2.6e-07,9e-08,1.7e-06,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,20.15757606,0.0,0.0,71.58069747,20.95556967,100.0,0.0,0.0,7.71657505,0.00266512,0.06741948,0.07047453,0.02870569,0.01617798,0.02558969,6.5023354,4.56350536,0.19598039,0.12534075,0.07063964,10.94374472,0.64621115,1.4164474,0.0,0.0006589,0.0002851,0.00423241,0.00250003,0.0,0.00334677,0.0,10.29753357,22.57417614,72.63970088,81.14372219,70.64662167,0.36645874,0.24450722,0.12188977,10.49710052
    40.004524759,2.19999941,1.84570744,0.00261241,0.32306765,1.22856134,3.09532692,1.9e-07,1.3e-06,0.28736758,4.87e-06,2.6e-07,6.2e-07,2.5e-07,0.0,1.67e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.34077083,0.0,0.0,70.75654327,20.35988004,100.0,0.0,0.0,7.7277425,0.00273642,1.95510586,0.07044939,0.02866563,0.01623652,0.02554705,6.50112691,4.55976459,0.19630628,0.12532236,0.07098393,10.93900762,0.65109803,1.43256447,0.0,0.00066763,0.000294,0.00429352,0.00234966,0.0,0.00291644,0.0,10.28790959,22.65202546,72.66303385,81.13697086,70.63796495,0.36628995,0.24439441,0.12183345,10.49900591
    45.005077670,2.20000011,1.84625072,0.0018927,0.35906405,1.33141547,2.78501844,2e-07,0.02205259,0.28736762,4.22e-06,3.2e-07,6.5e-07,2.6e-07,0.0,1.7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14573134,0.0,0.0,55.82533232,33.85529741,100.0,0.0,0.0,7.69476745,0.00267202,2.53143238,0.07016177,0.02860809,0.01613151,0.02542151,8.93985323,3.5420528,0.19598449,0.12531944,0.07066505,10.95704522,0.65370489,1.43601999,0.0,0.00064591,0.00023128,0.00463358,0.0025677,0.0,0.00309111,0.0,10.30334033,22.66659272,72.60666482,81.15224628,70.65545257,0.36640181,0.24446447,0.12186843,10.49679371
    50.005632971,2.20000044,1.84675023,0.00116502,0.4360882,1.63114407,2.29311412,2.6e-07,0.0696494,0.37345615,0.00212444,0.01221286,0.02538762,0.00574107,4.643e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,13896.65853659,0.0,45.41097005,0.0,0.0,40.5024227,53.97070141,100.0,0.0,0.0,6.08969435,0.39958389,2.04797885,0.22684088,0.10793036,0.11699421,0.00191627,11.41313522,2.53842571,0.88281661,0.42362074,0.45919587,35.1309855,9.67348966,2.27044862,0.0,9.445e-05,0.95216595,3.11953714,0.4815909,0.00103804,0.78502742,3.59129522,25.45749584,25.17647473,54.81819139,57.89651744,53.83953332,0.0040956,0.00291296,0.00112707,4.05698411
