metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.1999999576562503,2.20000089,2.19999809,2.20000104
metric_CPU utilization %,3.6305896637500004,3.6326516175,3.61471059,3.63308107
metric_CPU utilization% in kernel mode,0.029322218125,0.07691951049999998,0.00211155,0.57611668
metric_CPI,0.40863837734374997,0.513067473,0.33505295,0.54547177
metric_kernel_CPI,1.3281087921875,1.7166077824999992,0.94328753,1.76290119
metric_IPC,2.5257589153124997,2.9836750404999997,1.83327544,2.98460291
metric_locks retired per instr,9.23128125e-05,0.0004938459999999996,1.9e-07,0.00090356
metric_L1D MPI (includes data+rfo w/ prefetches),0.016430528906250002,0.03852637749999999,4.6e-07,0.03862933
metric_L1D demand data read hits per instr,0.31877445359375,0.3414934355,0.30093578,0.34153679
metric_L1-I code read misses (w/ prefetches) per instr,0.0006977759375,0.002352903999999999,2.85e-06,0.00240021
metric_L2 demand data read hits per instr,0.0029201021875,0.006313599,1.6e-07,0.00633319
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.007673249531250001,0.0169758375,4.6e-07,0.01711054
metric_L2 demand data read MPI,0.0012842684375,0.0027460535,2e-07,0.00275298
metric_L2 demand code MPI,2.15765625e-05,5.97085e-05,0.0,6.742e-05
metric_ITLB MPI,4.4157812500000005e-06,1.257799999999997e-05,2.3e-07,9.234e-05
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,1.890625e-08,7.849999999999994e-08,0.0,1.8e-07
metric_DTLB 4KB page load MPI,2.3125000000000004e-08,7.849999999999994e-08,0.0,2.1e-07
metric_DTLB 2MB large page load MPI,7.8125e-10,0.0,0.0,5e-08
metric_DTLB 1GB large page load MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB store MPI,1.0468749999999999e-08,4e-08,0.0,6e-08
metric_DTLB load miss latency (in core clks),341.27297157421873,1104.0325912794997,0.0,1249.12080537
metric_DTLB store miss latency (in core clks),62.82120998578125,149.60449126449998,0.0,160.74720358
metric_ITLB miss latency (in core clks),49.39851950859375,87.67446704449998,20.04176432,129.16792079
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),65.2522679140625,73.397247887,53.84051952,74.30484146
metric_% Uops delivered from legacy decode pipeline (MITE),32.388310888125,44.997408963000005,21.78231243,45.1373314
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),6.69712250765625,11.019140358,4.76940845,12.4734705
metric_TMA_....ICache_Misses(%),0.12911537234374998,0.348137365,0.00151921,0.4035313
metric_TMA_....ITLB_Misses(%),0.08774268921874999,0.3590843949999987,0.00934902,2.20107114
metric_TMA_....Branch_Resteers(%),0.20111919640624998,0.6563659095,0.04118871,0.67502585
metric_TMA_......Mispredicts_Resteers(%),0.11676613578125,0.4905862585,0.01543264,0.49379352
metric_TMA_......Clears_Resteers(%),0.05080370390625,0.12709125099999996,0.00938469,0.13243233
metric_TMA_......Unknown_Branches_Resteers(%),0.03356434234375,0.07886290649999997,0.01573954,0.23447766
metric_TMA_....MITE(%),8.442878666875,10.483612599999997,7.88321488,10.62705386
metric_TMA_....DSB(%),3.7631359956250003,4.646880592,2.5107531,4.66468894
metric_TMA_Bad_Speculation(%),0.5429012828125,1.583134864,0.11443249,1.73011023
metric_TMA_..Branch_Mispredicts(%),0.36529711312499996,1.3058437774999996,0.07084857,1.43118935
metric_TMA_..Machine_Clears(%),0.17760417015625002,0.339562408,0.00554677,0.47140791
metric_TMA_Backend_Bound(%),29.876196497031252,43.913514114499996,12.78635145,45.90557691
metric_TMA_..Memory_Bound(%),9.307141516718751,18.686300249,1.41351223,19.70670067
metric_TMA_....L1_Bound(%),4.87397117984375,7.676279311999998,2.10736645,10.70521534
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.08545036734375,0.17619617949999994,0.00023009,2.59967298
metric_TMA_....L2_Bound(%),0.27365852843749994,0.597963876,0.00017201,0.6276921
metric_TMA_....L3_Bound(%),2.7884824603125002,6.178946335,0.0029584,6.20117607
metric_TMA_....MEM_Bound(%),0.202747249375,0.45780437150000003,0.00131185,0.47049951
metric_TMA_......MEM_Bandwidth(%),0.00173345109375,0.0059118194999999985,0.0,0.00658834
metric_TMA_......MEM_Latency(%),0.3041279128125,0.6802966599999999,0.00149276,0.69074957
metric_TMA_....Store_Bound(%),2.7616855096875,6.096005239,0.0,6.11245165
metric_TMA_..Core_Bound(%),20.56905498125,25.256779595999998,11.08923501,26.19887624
metric_TMA_....Ports_Utilization(%),23.45999957515625,26.331639335499997,21.13616521,28.5822112
metric_TMA_......Ports_Utilized_3m(%),58.43390207796875,68.93850279,47.32951401,69.09995296
metric_TMA_Retiring(%),62.88701219296875,74.7355460445,48.29792621,74.75117792
metric_TMA_..Light_Operations(%),58.3301636040625,68.82013752499999,42.62569372,69.89305714
metric_TMA_....FP_Arith(%),0.1071151028125,0.20497013299999997,0.00180513,0.23714379
metric_TMA_......FP_Scalar(%),0.07157677640625,0.14000402849999996,0.00126433,0.15822047
metric_TMA_......FP_Vector(%),0.0354676475,0.06632244500000001,0.00047614,0.07887484
metric_TMA_..Heavy_Operations(%),4.5568485889062496,6.133208859,2.43967157,7.98063557
