time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000716694,2.1999998,3.62942495,0.00330729,0.34046304,1.16219742,2.93717636,1.9e-07,1.171e-05,0.30093578,3.46e-06,2.5e-07,5.8e-07,2.3e-07,0.0,8.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.66538856,0.0,0.0,73.17475422,22.76792361,100.0,0.0,0.0,6.69077177,0.00167549,0.01667176,0.21601098,0.18678728,0.00938469,0.01977495,7.95490355,4.63392735,0.11594636,0.11039959,0.00554677,18.51777541,1.5002907,2.12367052,0.0,0.00067091,0.00018319,0.00311886,0.00140938,0.0,0.00165275,0.0,17.01748472,24.07636144,68.71467015,74.67553565,68.5481226,0.199285,0.13294999,0.06627729,6.12741304
    10.001424045,2.20000036,3.63125222,0.00352409,0.33531851,1.23386039,2.9822392,2e-07,4.8e-07,0.30124176,3.07e-06,2e-07,4.6e-07,2e-07,0.0,9.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.56945396,0.0,0.0,73.20534202,22.73454219,100.0,0.0,0.0,6.75741814,0.00158876,0.01632721,0.12831156,0.09966319,0.00940258,0.01921552,7.90667635,4.63094089,0.39994768,0.36546812,0.03447956,23.35709533,1.97954056,2.13764295,0.0,0.0006764,0.00020046,0.00302332,0.00141602,0.0,0.0017004,0.0,21.37755476,23.00817655,68.72870201,69.47047489,61.8077877,0.21457891,0.14315885,0.07136646,7.66268719
    15.002100178,2.20000004,3.63075533,0.0034695,0.33515448,1.22186101,2.98369875,2e-07,1.19e-06,0.30164348,2.99e-06,3.3e-07,5.4e-07,2.2e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48688178,0.0,0.0,73.22805185,22.71293081,100.0,0.0,0.0,12.4734705,0.00168176,0.01619768,0.04484635,0.01626367,0.00951066,0.01907136,7.91139984,4.62895339,0.1155362,0.07290365,0.04263255,12.78635145,1.69711644,5.00940501,0.0,0.00067203,0.00023183,0.00312116,0.00157858,0.0,0.00153784,0.0,11.08923501,24.31208268,69.09995296,74.69218754,68.56309869,0.19935842,0.13299892,0.06630176,6.12908885
    20.002733440,2.20000028,3.63177605,0.00347191,0.33535953,1.22071224,2.98187443,2e-07,2e-06,0.30164777,3.53e-06,1.8e-07,6.1e-07,2.2e-07,0.0,8.1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8320135,0.0,0.0,73.33848903,22.60174914,100.0,0.0,0.0,8.56905799,0.00172694,0.01601046,0.04510763,0.01620673,0.00941484,0.01948537,7.91032006,4.62685137,0.1152036,0.07287116,0.04233244,16.59579065,1.66217659,3.10551923,0.0,0.00067638,0.00021328,0.00296097,0.00134593,0.0,0.00155129,0.0,14.93361406,26.01330451,68.82524301,74.73470916,68.60497302,0.19912234,0.13284145,0.06622315,6.12973614
    25.003364979,2.2000001,3.63061676,0.00351413,0.33534798,1.23287865,2.9819771,5.101e-05,2.25e-06,0.30164639,1.014e-05,2.42e-06,7.9e-07,2.4e-07,9e-08,7.12e-06,0.0,0.0,3e-08,0.0,0.0,0.0,0.0,0.0,20.05873827,0.0,0.0,73.2317846,22.7092531,100.0,0.0,0.0,6.68381508,0.00423397,0.01529413,0.06476024,0.01622048,0.00949458,0.03906066,7.93114696,4.6272393,0.11572798,0.0729986,0.04272938,18.47966773,1.50502536,2.14212845,0.0,0.17791591,0.00127828,0.00326249,0.00176289,0.0,0.00270975,0.0,16.97464237,24.23953935,65.48466392,74.72079932,68.81422552,0.20046481,0.13444519,0.06596185,5.9065738
    30.004003639,2.19999978,3.63235525,0.00348256,0.33524029,1.22498872,2.98293504,2e-07,5.9e-07,0.30165099,3.49e-06,1.9e-07,6.2e-07,2.2e-07,0.0,9.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.18964577,0.0,0.0,72.21083072,22.38197774,100.0,0.0,0.0,6.78396184,0.00171548,0.93202719,0.04523805,0.01626549,0.00945928,0.01951262,7.96623311,4.64145412,0.11608172,0.0733972,0.04268452,18.40069997,1.47898751,2.10736645,0.0,0.00067642,0.00021892,0.00320645,0.00131185,0.0,0.00191294,0.0,16.92171246,24.10008426,68.71225373,74.69930311,68.5687974,0.19913878,0.13285243,0.0662286,6.13050572
    35.004636388,2.19999989,3.63244888,0.00354348,0.33530083,1.24518593,2.98239645,2e-07,4.7e-07,0.30164833,3.07e-06,1.6e-07,5.2e-07,2.2e-07,0.0,9.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.04176432,0.0,0.0,71.02535698,21.78231243,100.0,0.0,0.0,6.70521612,0.00177639,2.20107114,0.04563595,0.01624361,0.00942099,0.01997058,7.95187084,4.62757673,0.11549231,0.07309725,0.04239506,18.48480223,1.50163473,2.12758905,0.0,0.00067641,0.00020964,0.00307988,0.00145221,0.0,0.00166466,0.0,16.9831675,24.05081505,68.70696654,74.69449969,68.56545873,0.19913542,0.13285021,0.06622748,6.12904097
    40.005281829,2.19999999,3.63158979,0.00353367,0.33529925,1.23377524,2.9824105,2e-07,8.8e-07,0.30165198,3.25e-06,2.5e-07,5.6e-07,2.2e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.18295518,0.0,0.0,71.99577017,22.40467518,100.0,0.0,0.0,6.68167759,0.00175822,1.07361639,0.04513,0.01631719,0.00957689,0.01923653,7.95643873,4.64509867,0.11558319,0.0728349,0.04274829,18.48464012,1.5107448,2.14515181,0.0,0.00066987,0.0002171,0.00331178,0.00151375,0.0,0.00169186,0.0,16.97389532,24.09335089,68.75123822,74.71808716,68.58520567,0.19928976,0.1329531,0.06627892,6.13288149
    45.005902104,2.1999996,3.63103273,0.40936348,0.35766175,0.94391548,2.79593777,2e-07,0.00577624,0.30164704,3.63e-06,2e-07,6.3e-07,2.3e-07,0.0,8.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22554661,0.0,0.0,65.98679112,29.52428298,100.0,0.0,0.0,6.67658749,0.00171785,0.01782695,0.04509505,0.01624721,0.00949216,0.01935497,8.07585902,3.89438694,0.1155643,0.07294651,0.04261779,18.51259125,1.51196613,2.14095365,0.0,0.00067315,0.00020528,0.00322574,0.00163878,0.0,0.00188348,0.0,17.00062512,24.06459335,68.73501542,74.69528421,68.5638109,0.19896632,0.13273124,0.06616805,6.1314733
    50.006510304,2.20000049,3.63197778,0.57611668,0.48456458,0.94364294,2.06370843,8.442e-05,0.03862933,0.34144344,0.00102883,0.00633319,0.01708826,0.00275276,3.214e-05,2.7e-07,0.0,1e-08,1e-08,0.0,0.0,1e-08,793.5065123,105.45441389,62.53650227,0.0,0.0,56.76702497,43.00334364,100.0,0.0,0.0,4.76972517,0.19509189,0.01107908,0.18852244,0.07448388,0.08899196,0.02504606,8.25652386,3.153849,0.63705007,0.2902567,0.34679337,43.9361125,18.6881387,7.22528165,0.0,0.02073168,0.54438818,6.20117607,0.46302387,0.00658834,0.68924157,6.06934359,25.2479738,22.13623553,47.46562939,50.65710995,48.21307674,0.00213052,0.00150823,0.00056816,2.44403321
