metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.0000001095,3.0000011470000003,2.99999888,3.00000128
metric_CPU utilization %,7.171881464500001,7.173010933,7.16504492,7.17347269
metric_CPU utilization% in kernel mode,0.040551848,0.26116337700000003,0.00505308,0.30534364
metric_CPI,0.6935492165,0.717779079,0.65671802,0.71841537
metric_kernel_CPI,1.5571985625000004,1.793351649,1.04151886,1.81488965
metric_IPC,1.4441165455,1.5225396115,1.39195239,1.52272356
metric_locks retired per instr,5.92155e-05,0.000103455,2.8e-07,0.00010393
metric_L1D MPI (includes data+rfo w/ prefetches),0.0020693615,0.003461894,3.59e-06,0.00350092
metric_L1D demand data read hits per instr,0.2924550085,0.292751451,0.29212357,0.29321678
metric_L1-I code read misses (w/ prefetches) per instr,0.00091924,0.0015617445000000003,7.39e-06,0.00157171
metric_L2 demand data read hits per instr,0.0010103635000000002,0.0016848085,2.23e-06,0.00169713
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0005253095,0.000881004,5.1e-07,0.00096905
metric_L2 demand data read MPI,0.00013093150000000002,0.00021794050000000003,2.5e-07,0.00023144
metric_L2 demand code MPI,9.389e-06,1.56945e-05,0.0,1.597e-05
metric_ITLB MPI,1.1145e-06,1.3410000000000036e-06,5.4e-07,6.11e-06
metric_ITLB large page MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB load MPI,1.3500000000000003e-08,2.6000000000000084e-08,0.0,1.4e-07
metric_DTLB 4KB page load MPI,9e-09,2.0500000000000005e-08,0.0,3e-08
metric_DTLB 2MB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,0.0,0.0,0.0,0.0
metric_DTLB load miss latency (in core clks),254.550085765,586.2629885040003,33.26169428,946.8
metric_DTLB store miss latency (in core clks),62.78460760949999,133.8122916635,0.0,134.6
metric_ITLB miss latency (in core clks),32.827925553,65.3349709025,20.25598135,78.64753736
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),50.5390354115,56.4146789215,44.86907918,56.46158596
metric_% Uops delivered from legacy decode pipeline (MITE),41.8286696825,44.4459044475,38.58257812,46.08596046
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),24.352945991000006,24.936302337,23.66642016,25.40269737
metric_TMA_....ICache_Misses(%),0.1053659245,0.1800435705,0.00129115,0.18106578
metric_TMA_....ITLB_Misses(%),0.22164029599999996,0.6914234730000002,0.00512245,0.85940025
metric_TMA_....Branch_Resteers(%),0.32739882299999995,0.5566209875,0.02351607,0.55780483
metric_TMA_......Mispredicts_Resteers(%),0.15670480999999997,0.2767128935,0.01315953,0.27864222
metric_TMA_......Clears_Resteers(%),0.008803627500000001,0.013683417,0.00206723,0.01379489
metric_TMA_......Unknown_Branches_Resteers(%),0.1618853995,0.2699658575,0.00813156,0.2722061
metric_TMA_....MITE(%),14.8097601795,15.0732596675,13.88529246,15.66576607
metric_TMA_....DSB(%),3.6413596554999996,4.0625490755,3.25289524,4.06551147
metric_TMA_Bad_Speculation(%),0.44123892950000004,0.8037859525,0.02122601,0.80433434
metric_TMA_..Branch_Mispredicts(%),0.4172742545,0.7670496775,0.01835176,0.76832947
metric_TMA_..Machine_Clears(%),0.0239646735,0.037677374,0.00138092,0.03849122
metric_TMA_Backend_Bound(%),0.779422061,1.4535140844999999,-1.07567379,1.47857061
metric_TMA_..Memory_Bound(%),0.210753232,0.3912271375,-0.27421811,0.40068035
metric_TMA_....L1_Bound(%),17.906809310999996,18.492673793999998,17.41117922,18.4951832
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.0017829595,0.0023025600000000134,0.0,0.02047834
metric_TMA_....L2_Bound(%),0.23557173099999998,0.39800372500000003,0.0010387,0.41781911
metric_TMA_....L3_Bound(%),0.2548975425,0.427023562,0.00176243,0.43836565
metric_TMA_....MEM_Bound(%),0.3010814855,0.529669198,0.00083614,0.61330412
metric_TMA_......MEM_Bandwidth(%),0.0015797705000000003,0.00509158,0.0,0.00531236
metric_TMA_......MEM_Latency(%),0.33819025299999994,0.5973967040000001,0.00067314,0.72318685
metric_TMA_....Store_Bound(%),0.200982034,0.3432535370000001,1.907e-05,0.49608796
metric_TMA_..Core_Bound(%),0.5686688295,1.0623167390000001,-0.80145568,1.07789026
metric_TMA_....Ports_Utilization(%),52.33806693300001,53.128109566,51.85030443,53.63281561
metric_TMA_......Ports_Utilized_3m(%),67.48646995600001,68.88453070150001,66.54868968,68.90762865
metric_TMA_Retiring(%),74.42639301649999,75.64755390799999,73.47407986,76.06752455
metric_TMA_..Light_Operations(%),64.64097137099998,67.8879911395,62.82711134,67.91402588
metric_TMA_....FP_Arith(%),0.23924492449999996,0.2644926875,0.2020959,0.26739888
metric_TMA_......FP_Scalar(%),0.12366285150000003,0.14264157549999998,0.11375007,0.14614015
metric_TMA_......FP_Vector(%),0.061304071,0.0688710695,0.0566219,0.06950452
metric_TMA_..Heavy_Operations(%),9.785421649000002,10.871070561,7.69623456,10.87179923
